package,old_prefix,real_prefix
cbrf_ind_133,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_134,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_135,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_136,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_137,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_138,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_139,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_14,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_140,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_141,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_142,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_143,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_144,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_145,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_146,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_147,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_148,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_149,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_15,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_150,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_151,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_152,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_153,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_154,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_155,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_156,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_157,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
