6. ЖИЛЫЕ ПОМЕЩЕНИЯ2) ПО ИХ ТИПАМ И ЧИСЛУ ПРОЖИВАЮЩИХ В НИХ ЧАСТНЫХ ДОМОХОЗЯЙСТВ
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
	Всего жилых помещений	в них проживает								
		одно домохозяйство	в том числе состоящее из					два домохозяйства	три домохозяйства	четыре домохозяйства и более
			1 человека 	2 человек	3 человек	4 человек	5 и более человек			
Российская Федерация										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	492015.0	485698.0	125972.0	128953.0	106665.0	81364.0	42744.0	5306.0	759.0	252.0
в том числе:										
индивидуальные дома	142011.0	141710.0	57346.0	41185.0	18862.0	13394.0	10923.0	253.0	25.0	23.0
отдельные квартиры	345032.0	341997.0	68107.0	87288.0	87341.0	67659.0	31602.0	2651.0	327.0	57.0
коммунальные квартиры	4972.0	1991.0	519.0	480.0	462.0	311.0	219.0	2402.0	407.0	172.0
Орловская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	303219.0	300513.0	66570.0	85742.0	71685.0	48893.0	27623.0	2264.0	330.0	112.0
в том числе:										
индивидуальные дома	128903.0	128649.0	34524.0	38679.0	23651.0	18581.0	13214.0	230.0	21.0	3.0
отдельные квартиры	172942.0	171350.0	31901.0	46924.0	47936.0	30236.0	14353.0	1425.0	143.0	24.0
коммунальные квартиры	1374.0	514.0	145.0	139.0	98.0	76.0	56.0	609.0	166.0	85.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	184478.0	182135.0	34566.0	50557.0	49563.0	31316.0	16133.0	1935.0	305.0	103.0
в том числе:										
индивидуальные дома	36535.0	36404.0	7478.0	10007.0	8226.0	6302.0	4391.0	117.0	13.0	1.0
отдельные квартиры	146769.0	145338.0	26975.0	40444.0	41258.0	24958.0	11703.0	1273.0	136.0	22.0
коммунальные квартиры	1174.0	393.0	113.0	106.0	79.0	56.0	39.0	545.0	156.0	80.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	118741.0	118378.0	32004.0	35185.0	22122.0	17577.0	11490.0	329.0	25.0	9.0
в том числе:										
индивидуальные дома	92368.0	92245.0	27046.0	28672.0	15425.0	12279.0	8823.0	113.0	8.0	2.0
отдельные квартиры	26173.0	26012.0	4926.0	6480.0	6678.0	5278.0	2650.0	152.0	7.0	2.0
коммунальные квартиры	200.0	121.0	32.0	33.0	19.0	20.0	17.0	64.0	10.0	5.0
Рязанская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	459882.0	455622.0	114169.0	136653.0	106697.0	66614.0	31489.0	3481.0	466.0	313.0
в том числе:										
индивидуальные дома	153561.0	153264.0	55072.0	50138.0	23263.0	15265.0	9526.0	250.0	33.0	14.0
отдельные квартиры	304183.0	301777.0	58962.0	86354.0	83278.0	51261.0	21922.0	2173.0	195.0	38.0
коммунальные квартиры	2138.0	581.0	135.0	161.0	156.0	88.0	41.0	1058.0	238.0	261.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	298631.0	294771.0	60730.0	86327.0	79216.0	47253.0	21245.0	3106.0	449.0	305.0
в том числе:										
индивидуальные дома	45812.0	45602.0	12384.0	14098.0	9183.0	6155.0	3782.0	166.0	31.0	13.0
отдельные квартиры	250871.0	248665.0	48225.0	72091.0	69899.0	41022.0	17428.0	1983.0	187.0	36.0
коммунальные квартиры	1948.0	504.0	121.0	138.0	134.0	76.0	35.0	957.0	231.0	256.0
Сельские населенные пункты										
