6. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И УРОВНЮ ОБРАЗОВАНИЯ												
												
	Численность населения соответству-ющей националь-ности	в том числе  имеют образование								Не имеют
начального
общего
образова-ния
	из них неграмотные	Не указавшие уровень образова-ния
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Городское и сельское население КМН в возрасте 15 лет и более												
Негидальцы	367.0	-	12.0	1.0	77.0	40.0	55.0	140.0	40.0	2.0	-	-
в том числе в возрасте, лет:												
15 – 19	49.0	-	-	-	1.0	2.0	9.0	32.0	5.0	-	-	-
20 – 24	40.0	-	-	-	4.0	4.0	5.0	22.0	5.0	-	-	-
25 – 29	39.0	-	-	-	5.0	3.0	6.0	21.0	4.0	-	-	-
30 – 39	74.0	-	4.0	-	28.0	11.0	13.0	17.0	-	1.0	-	-
40 – 49	79.0	-	3.0	-	18.0	13.0	14.0	29.0	2.0	-	-	-
50 – 59	42.0	-	5.0	1.0	13.0	6.0	4.0	11.0	2.0	-	-	-
60 и более	44.0	-	-	-	8.0	1.0	4.0	8.0	22.0	1.0	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ненцы	25237.0	15.0	664.0	181.0	3388.0	1631.0	4262.0	8543.0	4714.0	1774.0	1588.0	65.0
в том числе в возрасте, лет:												
15 – 19	4469.0	-	-	2.0	64.0	66.0	546.0	2359.0	1314.0	114.0	81.0	4.0
20 – 24	3244.0	2.0	54.0	51.0	333.0	179.0	611.0	1339.0	601.0	74.0	56.0	-
25 – 29	2707.0	3.0	74.0	22.0	329.0	144.0	465.0	1283.0	334.0	50.0	37.0	3.0
30 – 39	5630.0	2.0	199.0	59.0	1184.0	577.0	1479.0	1670.0	361.0	95.0	78.0	4.0
40 – 49	4684.0	5.0	202.0	26.0	987.0	478.0	974.0	1281.0	606.0	119.0	98.0	6.0
50 – 59	2061.0	1.0	80.0	14.0	321.0	136.0	161.0	445.0	666.0	230.0	207.0	7.0
60 и более	2442.0	2.0	55.0	7.0	170.0	51.0	26.0	166.0	832.0	1092.0	1031.0	41.0
