6. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И УРОВНЮ ОБРАЗОВАНИЯ												
												
	Численность населения соответству-ющей националь-ности	в том числе  имеют образование								Не имеют
начального
общего
образова-ния
	из них неграмотные	Не указавшие уровень образова-ния
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Городское и сельское население КМН в возрасте 15 лет и более												
25 – 29	46.0	-	1.0	-	13.0	18.0	6.0	7.0	1.0	-	-	-
30 – 39	113.0	-	3.0	3.0	29.0	36.0	28.0	13.0	1.0	-	-	-
40 – 49	167.0	-	8.0	2.0	54.0	45.0	37.0	17.0	4.0	-	-	-
50 – 59	97.0	-	11.0	1.0	23.0	16.0	13.0	23.0	10.0	-	-	-
60 и более	92.0	-	3.0	2.0	11.0	6.0	15.0	24.0	30.0	1.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Кеты	679.0	-	12.0	7.0	99.0	54.0	161.0	227.0	95.0	24.0	17.0	-
в том числе в возрасте, лет:												
15 – 19	113.0	-	-	-	1.0	-	18.0	60.0	31.0	3.0	1.0	-
20 – 24	72.0	-	1.0	1.0	6.0	8.0	11.0	37.0	6.0	2.0	2.0	-
25 – 29	64.0	-	-	1.0	10.0	2.0	16.0	33.0	2.0	-	-	-
30 – 39	165.0	-	6.0	3.0	33.0	19.0	52.0	40.0	8.0	4.0	4.0	-
40 – 49	151.0	-	3.0	1.0	32.0	18.0	51.0	34.0	9.0	3.0	1.0	-
50 – 59	54.0	-	1.0	-	11.0	2.0	9.0	15.0	12.0	4.0	3.0	-
60 и более	60.0	-	1.0	1.0	6.0	5.0	4.0	8.0	27.0	8.0	6.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Коряки	4165.0	-	90.0	35.0	788.0	360.0	952.0	1375.0	494.0	71.0	62.0	-
в том числе в возрасте, лет:												
15 – 19	652.0	-	-	-	7.0	12.0	57.0	400.0	174.0	2.0	2.0	-
20 – 24	437.0	-	2.0	1.0	67.0	25.0	107.0	185.0	45.0	5.0	4.0	-
25 – 29	443.0	-	8.0	2.0	80.0	32.0	107.0	195.0	18.0	1.0	1.0	-
30 – 39	1040.0	-	27.0	15.0	272.0	130.0	320.0	257.0	16.0	3.0	3.0	-
40 – 49	920.0	-	41.0	14.0	246.0	122.0	292.0	175.0	25.0	5.0	5.0	-
50 – 59	337.0	-	8.0	2.0	88.0	25.0	57.0	112.0	44.0	1.0	1.0	-
60 и более	336.0	-	4.0	1.0	28.0	14.0	12.0	51.0	172.0	54.0	46.0	-
Возраст не указан	2.0	-	-	-	-	-	1.0	-	-	-	-	1.0
Кумандинцы	1130.0	1.0	82.0	10.0	194.0	264.0	132.0	204.0	175.0	68.0	47.0	-
в том числе в возрасте, лет:												
15 – 19	85.0	-	-	1.0	3.0	3.0	13.0	48.0	16.0	1.0	1.0	-
20 – 24	80.0	-	4.0	1.0	7.0	22.0	16.0	25.0	4.0	1.0	-	-
25 – 29	74.0	1.0	9.0	-	13.0	24.0	12.0	14.0	1.0	-	-	-
30 – 39	202.0	-	22.0	4.0	58.0	64.0	23.0	24.0	4.0	3.0	3.0	-
40 – 49	290.0	-	23.0	2.0	53.0	108.0	49.0	45.0	9.0	1.0	1.0	-
50 – 59	137.0	-	12.0	1.0	39.0	32.0	13.0	23.0	17.0	-	-	-
60 и более	262.0	-	12.0	1.0	21.0	11.0	6.0	25.0	124.0	62.0	42.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Манси	3582.0	3.0	118.0	34.0	736.0	432.0	656.0	1100.0	437.0	64.0	50.0	2.0
в том числе в возрасте, лет:												
15 – 19	573.0	-	-	2.0	7.0	16.0	105.0	351.0	89.0	2.0	1.0	1.0
20 – 24	387.0	-	9.0	11.0	56.0	32.0	121.0	125.0	29.0	4.0	2.0	-
25 – 29	357.0	-	24.0	8.0	56.0	40.0	80.0	124.0	20.0	5.0	4.0	-
30 – 39	830.0	1.0	38.0	9.0	234.0	136.0	182.0	201.0	26.0	3.0	3.0	-
40 – 49	770.0	1.0	24.0	2.0	236.0	133.0	135.0	182.0	52.0	5.0	5.0	-
50 – 59	270.0	1.0	14.0	-	91.0	46.0	17.0	65.0	34.0	2.0	1.0	-
60 и более	395.0	-	9.0	2.0	56.0	29.0	16.0	52.0	187.0	43.0	34.0	1.0
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Нагайбаки	6359.0	1.0	423.0	82.0	1139.0	1342.0	1032.0	954.0	1225.0	161.0	101.0	-
в том числе в возрасте, лет:												
15 – 19	583.0	-	-	7.0	12.0	29.0	168.0	333.0	33.0	1.0	1.0	-
20 – 24	340.0	-	16.0	15.0	71.0	91.0	90.0	42.0	12.0	3.0	3.0	-
25 – 29	364.0	-	35.0	8.0	69.0	124.0	71.0	47.0	9.0	1.0	1.0	-
30 – 39	938.0	-	68.0	23.0	285.0	296.0	213.0	35.0	13.0	5.0	5.0	-
40 – 49	1575.0	1.0	174.0	16.0	449.0	495.0	339.0	73.0	24.0	4.0	4.0	-
50 – 59	759.0	-	88.0	7.0	162.0	186.0	106.0	124.0	84.0	2.0	2.0	-
60 и более	1800.0	-	42.0	6.0	91.0	121.0	45.0	300.0	1050.0	145.0	85.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Нанайцы	6056.0	6.0	326.0	97.0	987.0	1152.0	977.0	1920.0	543.0	37.0	25.0	11.0
в том числе в возрасте, лет:												
15 – 19	910.0	-	-	-	19.0	60.0	125.0	577.0	119.0	5.0	3.0	5.0
20 – 24	793.0	-	17.0	24.0	101.0	156.0	172.0	275.0	42.0	4.0	4.0	2.0
25 – 29	643.0	-	34.0	14.0	104.0	106.0	119.0	241.0	23.0	2.0	2.0	-
30 – 39	1224.0	2.0	86.0	27.0	239.0	258.0	250.0	329.0	27.0	5.0	5.0	1.0
40 – 49	1320.0	3.0	91.0	21.0	304.0	396.0	200.0	252.0	49.0	2.0	2.0	2.0
50 – 59	565.0	1.0	56.0	9.0	132.0	116.0	80.0	130.0	39.0	1.0	1.0	1.0
60 и более	601.0	-	42.0	2.0	88.0	60.0	31.0	116.0	244.0	18.0	8.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Нганасаны	433.0	-	9.0	2.0	50.0	22.0	135.0	151.0	55.0	9.0	9.0	-
в том числе в возрасте, лет:												
15 – 19	70.0	-	-	-	2.0	-	9.0	44.0	15.0	-	-	-
20 – 24	44.0	-	-	-	-	5.0	16.0	18.0	5.0	-	-	-
25 – 29	48.0	-	2.0	-	3.0	3.0	12.0	24.0	3.0	1.0	1.0	-
30 – 39	111.0	-	3.0	1.0	20.0	7.0	54.0	24.0	2.0	-	-	-
40 – 49	80.0	-	1.0	-	16.0	6.0	33.0	22.0	2.0	-	-	-
50 – 59	48.0	-	2.0	1.0	8.0	1.0	8.0	18.0	7.0	3.0	3.0	-
60 и более	32.0	-	1.0	-	1.0	-	3.0	1.0	21.0	5.0	5.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Негидальцы	274.0	-	8.0	-	54.0	25.0	35.0	119.0	31.0	2.0	-	-
в том числе в возрасте, лет:												
15 – 19	32.0	-	-	-	1.0	-	2.0	24.0	5.0	-	-	-
20 – 24	34.0	-	-	-	2.0	2.0	4.0	21.0	5.0	-	-	-
25 – 29	32.0	-	-	-	3.0	2.0	4.0	19.0	4.0	-	-	-
30 – 39	52.0	-	2.0	-	19.0	9.0	7.0	14.0	-	1.0	-	-
40 – 49	64.0	-	2.0	-	12.0	9.0	12.0	27.0	2.0	-	-	-
50 – 59	28.0	-	4.0	-	9.0	3.0	3.0	8.0	1.0	-	-	-
60 и более	32.0	-	-	-	8.0	-	3.0	6.0	14.0	1.0	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ненцы	20524.0	3.0	272.0	102.0	2296.0	1131.0	3239.0	7488.0	4408.0	1527.0	1383.0	58.0
в том числе в возрасте, лет:												
15 – 19	3445.0	-	-	2.0	39.0	40.0	235.0	1850.0	1202.0	73.0	57.0	4.0
20 – 24	2576.0	1.0	21.0	25.0	218.0	101.0	407.0	1193.0	569.0	41.0	26.0	-
25 – 29	2201.0	1.0	29.0	13.0	190.0	79.0	368.0	1174.0	316.0	28.0	19.0	3.0
30 – 39	4511.0	-	89.0	35.0	797.0	408.0	1260.0	1545.0	334.0	40.0	31.0	3.0
40 – 49	3868.0	-	94.0	16.0	714.0	356.0	831.0	1194.0	576.0	83.0	63.0	4.0
50 – 59	1737.0	-	24.0	7.0	225.0	112.0	119.0	392.0	641.0	211.0	191.0	6.0
60 и более	2186.0	1.0	15.0	4.0	113.0	35.0	19.0	140.0	770.0	1051.0	996.0	38.0
Возраст не указан	43.0	-	1.0	-	1.0	-	7.0	11.0	10.0	8.0	8.0	5.0
Нивхи	1789.0	-	53.0	8.0	271.0	302.0	298.0	642.0	182.0	25.0	14.0	8.0
в том числе в возрасте, лет:												
15 – 19	258.0	-	-	-	3.0	8.0	25.0	179.0	36.0	5.0	4.0	2.0
20 – 24	240.0	-	2.0	1.0	28.0	29.0	55.0	100.0	21.0	4.0	2.0	-
25 – 29	200.0	-	5.0	-	29.0	39.0	32.0	84.0	9.0	2.0	1.0	-
30 – 39	365.0	-	14.0	5.0	80.0	84.0	82.0	88.0	8.0	1.0	1.0	3.0
40 – 49	396.0	-	18.0	1.0	76.0	99.0	85.0	104.0	11.0	1.0	-	1.0
50 – 59	186.0	-	9.0	1.0	41.0	30.0	16.0	67.0	21.0	-	-	1.0
60 и более	144.0	-	5.0	-	14.0	13.0	3.0	20.0	76.0	12.0	6.0	1.0
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Орочи	203.0	-	9.0	3.0	18.0	37.0	33.0	85.0	16.0	2.0	1.0	-
в том числе в возрасте, лет:												
15 – 19	34.0	-	-	-	-	-	4.0	22.0	7.0	1.0	-	-
20 – 24	25.0	-	2.0	2.0	2.0	4.0	5.0	9.0	1.0	-	-	-
25 – 29	20.0	-	-	-	1.0	4.0	7.0	8.0	-	-	-	-
30 – 39	45.0	-	2.0	-	7.0	12.0	7.0	17.0	-	-	-	-
40 – 49	42.0	-	2.0	-	4.0	12.0	7.0	16.0	1.0	-	-	-
50 – 59	22.0	-	1.0	1.0	2.0	4.0	3.0	9.0	2.0	-	-	-
60 и более	15.0	-	2.0	-	2.0	1.0	-	4.0	5.0	1.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Саамы	807.0	1.0	37.0	15.0	72.0	202.0	159.0	209.0	100.0	12.0	6.0	-
в том числе в возрасте, лет:												
15 – 19	108.0	-	-	1.0	1.0	3.0	16.0	70.0	17.0	-	-	-
20 – 24	70.0	-	1.0	1.0	8.0	29.0	16.0	13.0	1.0	1.0	1.0	-
25 – 29	86.0	-	9.0	2.0	7.0	43.0	12.0	11.0	1.0	1.0	-	-
30 – 39	153.0	1.0	7.0	4.0	16.0	53.0	46.0	20.0	6.0	-	-	-
40 – 49	180.0	-	9.0	3.0	22.0	57.0	45.0	37.0	6.0	1.0	1.0	-
50 – 59	101.0	-	5.0	3.0	14.0	15.0	16.0	39.0	9.0	-	-	-
60 и более	109.0	-	6.0	1.0	4.0	2.0	8.0	19.0	60.0	9.0	4.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Селькупы	2494.0	2.0	63.0	20.0	362.0	376.0	387.0	757.0	452.0	70.0	45.0	5.0
в том числе в возрасте, лет:												
15 – 19	369.0	-	-	-	8.0	15.0	45.0	206.0	92.0	2.0	1.0	1.0
20 – 24	327.0	-	7.0	9.0	36.0	46.0	76.0	92.0	56.0	4.0	3.0	1.0
25 – 29	259.0	-	8.0	2.0	50.0	44.0	46.0	74.0	32.0	3.0	1.0	-
30 – 39	481.0	2.0	16.0	3.0	97.0	93.0	92.0	140.0	33.0	3.0	2.0	2.0
40 – 49	535.0	-	17.0	5.0	107.0	118.0	87.0	149.0	46.0	6.0	4.0	-
50 – 59	226.0	-	6.0	1.0	42.0	40.0	31.0	55.0	42.0	8.0	5.0	1.0
60 и более	297.0	-	9.0	-	22.0	20.0	10.0	41.0	151.0	44.0	29.0	-
Возраст не указан	7.0	-	-	-	1.0	-	-	-	-	-	-	6.0
Сойоты	1729.0	-	181.0	60.0	337.0	174.0	569.0	261.0	122.0	25.0	18.0	-
в том числе в возрасте, лет:												
15 – 19	226.0	-	-	1.0	4.0	6.0	71.0	132.0	9.0	3.0	1.0	-
20 – 24	247.0	-	19.0	21.0	29.0	20.0	114.0	39.0	4.0	1.0	1.0	-
25 – 29	205.0	-	9.0	15.0	35.0	27.0	106.0	13.0	-	-	-	-
30 – 39	367.0	-	56.0	15.0	105.0	43.0	131.0	15.0	2.0	-	-	-
40 – 49	329.0	-	53.0	7.0	93.0	44.0	105.0	16.0	6.0	5.0	5.0	-
50 – 59	151.0	-	35.0	1.0	48.0	14.0	33.0	13.0	6.0	1.0	-	-
60 и более	204.0	-	9.0	-	23.0	20.0	9.0	33.0	95.0	15.0	11.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тазы	136.0	-	11.0	1.0	39.0	17.0	22.0	18.0	20.0	7.0	7.0	1.0
в том числе в возрасте, лет:												
15 – 19	19.0	-	-	1.0	1.0	1.0	2.0	7.0	7.0	-	-	-
20 – 24	8.0	-	1.0	-	3.0	-	2.0	1.0	1.0	-	-	-
25 – 29	16.0	-	1.0	-	10.0	2.0	2.0	1.0	-	-	-	-
30 – 39	19.0	-	3.0	-	5.0	3.0	6.0	2.0	-	-	-	-
40 – 49	36.0	-	4.0	-	11.0	8.0	8.0	2.0	1.0	2.0	2.0	-
50 – 59	15.0	-	2.0	-	8.0	1.0	1.0	1.0	2.0	-	-	-
60 и более	23.0	-	-	-	1.0	2.0	1.0	4.0	9.0	5.0	5.0	1.0
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Теленгиты	1528.0	1.0	145.0	29.0	322.0	147.0	378.0	295.0	176.0	35.0	24.0	-
в том числе в возрасте, лет:												
15 – 19	221.0	-	-	1.0	4.0	3.0	40.0	126.0	37.0	10.0	6.0	-
20 – 24	176.0	-	9.0	3.0	37.0	16.0	67.0	31.0	12.0	1.0	-	-
25 – 29	159.0	1.0	22.0	5.0	37.0	14.0	49.0	26.0	5.0	-	-	-
30 – 39	321.0	-	40.0	9.0	106.0	39.0	87.0	29.0	8.0	3.0	2.0	-
40 – 49	370.0	-	39.0	8.0	92.0	54.0	110.0	53.0	13.0	1.0	1.0	-
50 – 59	117.0	-	24.0	3.0	37.0	12.0	18.0	9.0	14.0	-	-	-
60 и более	164.0	-	11.0	-	9.0	9.0	7.0	21.0	87.0	20.0	15.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Телеуты	1169.0	-	70.0	12.0	219.0	199.0	221.0	246.0	164.0	38.0	25.0	-
в том числе в возрасте, лет:												
15 – 19	140.0	-	-	-	5.0	8.0	44.0	68.0	14.0	1.0	-	-
20 – 24	109.0	-	3.0	3.0	21.0	30.0	23.0	23.0	6.0	-	-	-
25 – 29	105.0	-	12.0	4.0	14.0	23.0	27.0	22.0	3.0	-	-	-
30 – 39	217.0	-	16.0	2.0	74.0	53.0	41.0	31.0	-	-	-	-
40 – 49	271.0	-	24.0	2.0	74.0	59.0	62.0	43.0	5.0	2.0	1.0	-
50 – 59	120.0	-	10.0	1.0	21.0	22.0	18.0	33.0	14.0	1.0	-	-
60 и более	207.0	-	5.0	-	10.0	4.0	6.0	26.0	122.0	34.0	24.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тофалары	478.0	-	10.0	-	23.0	25.0	112.0	207.0	99.0	2.0	2.0	-
в том числе в возрасте, лет:												
15 – 19	94.0	-	-	-	-	1.0	9.0	46.0	38.0	-	-	-
20 – 24	75.0	-	-	-	2.0	-	21.0	34.0	18.0	-	-	-
25 – 29	31.0	-	-	-	3.0	3.0	7.0	16.0	2.0	-	-	-
30 – 39	85.0	-	2.0	-	4.0	13.0	25.0	36.0	4.0	1.0	1.0	-
40 – 49	116.0	-	4.0	-	8.0	8.0	37.0	49.0	10.0	-	-	-
50 – 59	43.0	-	1.0	-	4.0	-	10.0	19.0	9.0	-	-	-
60 и более	34.0	-	3.0	-	2.0	-	3.0	7.0	18.0	1.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тубалары	1013.0	-	49.0	9.0	237.0	165.0	183.0	230.0	105.0	35.0	27.0	-
в том числе в возрасте, лет:												
15 – 19	116.0	-	-	-	4.0	3.0	12.0	74.0	20.0	3.0	3.0	-
20 – 24	76.0	-	2.0	1.0	13.0	9.0	19.0	25.0	7.0	-	-	-
25 – 29	82.0	-	7.0	2.0	23.0	11.0	10.0	29.0	-	-	-	-
30 – 39	228.0	-	13.0	2.0	79.0	42.0	58.0	34.0	-	-	-	-
40 – 49	263.0	-	15.0	2.0	76.0	71.0	68.0	26.0	5.0	-	-	-
50 – 59	92.0	-	4.0	2.0	29.0	19.0	8.0	23.0	7.0	-	-	-
60 и более	156.0	-	8.0	-	13.0	10.0	8.0	19.0	66.0	32.0	24.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тувинцы-тоджинцы	2992.0	-	113.0	16.0	529.0	231.0	839.0	911.0	312.0	41.0	17.0	-
в том числе в возрасте, лет:												
15 – 19	491.0	-	-	-	7.0	9.0	81.0	339.0	50.0	5.0	3.0	-
20 – 24	365.0	-	1.0	1.0	60.0	43.0	142.0	100.0	15.0	3.0	3.0	-
25 – 29	370.0	-	15.0	3.0	68.0	28.0	143.0	98.0	12.0	3.0	2.0	-
30 – 39	656.0	-	34.0	4.0	148.0	62.0	244.0	135.0	22.0	7.0	5.0	-
40 – 49	538.0	-	28.0	4.0	127.0	53.0	167.0	126.0	30.0	3.0	-	-
50 – 59	258.0	-	24.0	3.0	79.0	20.0	41.0	54.0	35.0	2.0	1.0	-
60 и более	314.0	-	11.0	1.0	40.0	16.0	21.0	59.0	148.0	18.0	3.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Удэгейцы	856.0	2.0	37.0	16.0	171.0	98.0	173.0	264.0	81.0	14.0	10.0	-
в том числе в возрасте, лет:												
15 – 19	111.0	-	-	-	2.0	3.0	15.0	71.0	18.0	2.0	1.0	-
20 – 24	78.0	-	1.0	4.0	8.0	8.0	25.0	29.0	3.0	-	-	-
25 – 29	93.0	-	1.0	-	15.0	12.0	25.0	36.0	3.0	1.0	1.0	-
30 – 39	186.0	1.0	6.0	4.0	46.0	29.0	51.0	42.0	6.0	1.0	1.0	-
40 – 49	222.0	1.0	11.0	6.0	71.0	34.0	44.0	41.0	13.0	1.0	1.0	-
50 – 59	75.0	-	11.0	1.0	16.0	8.0	11.0	22.0	5.0	1.0	1.0	-
60 и более	91.0	-	7.0	1.0	13.0	4.0	2.0	23.0	33.0	8.0	5.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ульта (oроки)	95.0	-	1.0	1.0	8.0	14.0	26.0	27.0	17.0	1.0	-	-
в том числе в возрасте, лет:												
15 – 19	17.0	-	-	-	-	1.0	5.0	6.0	5.0	-	-	-
20 – 24	10.0	-	-	-	1.0	1.0	-	3.0	5.0	-	-	-
25 – 29	16.0	-	-	-	1.0	5.0	-	6.0	4.0	-	-	-
30 – 39	18.0	-	-	1.0	2.0	2.0	7.0	3.0	2.0	1.0	-	-
40 – 49	20.0	-	-	-	-	3.0	11.0	6.0	-	-	-	-
50 – 59	6.0	-	-	-	1.0	-	3.0	2.0	-	-	-	-
60 и более	8.0	-	1.0	-	3.0	2.0	-	1.0	1.0	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ульчи	1632.0	-	114.0	20.0	339.0	212.0	305.0	501.0	130.0	11.0	9.0	-
в том числе в возрасте, лет:												
15 – 19	242.0	-	-	-	3.0	6.0	49.0	146.0	37.0	1.0	1.0	-
20 – 24	212.0	-	2.0	2.0	39.0	20.0	59.0	77.0	12.0	1.0	1.0	-
25 – 29	168.0	-	10.0	2.0	21.0	19.0	27.0	73.0	16.0	-	-	-
30 – 39	302.0	-	27.0	4.0	73.0	46.0	63.0	82.0	6.0	1.0	1.0	-
40 – 49	385.0	-	39.0	7.0	117.0	75.0	77.0	59.0	8.0	3.0	3.0	-
50 – 59	160.0	-	19.0	2.0	51.0	31.0	18.0	34.0	5.0	-	-	-
60 и более	163.0	-	17.0	3.0	35.0	15.0	12.0	30.0	46.0	5.0	3.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ханты	12114.0	6.0	313.0	114.0	2068.0	1130.0	2039.0	3784.0	2119.0	509.0	390.0	32.0
в том числе в возрасте, лет:												
15 – 19	1961.0	-	-	2.0	31.0	29.0	281.0	1090.0	498.0	25.0	18.0	5.0
20 – 24	1461.0	-	26.0	37.0	159.0	121.0	358.0	503.0	232.0	21.0	15.0	4.0
25 – 29	1370.0	2.0	43.0	20.0	188.0	114.0	252.0	556.0	166.0	28.0	20.0	1.0
30 – 39	2804.0	-	103.0	26.0	660.0	359.0	611.0	784.0	203.0	54.0	31.0	4.0
40 – 49	2439.0	3.0	77.0	19.0	651.0	367.0	436.0	589.0	261.0	32.0	22.0	4.0
50 – 59	979.0	-	45.0	4.0	234.0	103.0	82.0	180.0	269.0	58.0	40.0	4.0
60 и более	1100.0	1.0	19.0	6.0	145.0	37.0	19.0	82.0	490.0	291.0	244.0	10.0
Возраст не указан	20.0	-	-	-	-	-	-	2.0	1.0	-	-	17.0
Челканцы	514.0	-	57.0	3.0	153.0	92.0	75.0	91.0	38.0	5.0	5.0	-
в том числе в возрасте, лет:												
15 – 19	59.0	-	-	-	3.0	2.0	10.0	41.0	3.0	-	-	-
20 – 24	44.0	-	3.0	1.0	9.0	7.0	10.0	12.0	2.0	-	-	-
25 – 29	53.0	-	2.0	1.0	19.0	6.0	12.0	13.0	-	-	-	-
30 – 39	107.0	-	13.0	1.0	41.0	28.0	20.0	3.0	1.0	-	-	-
40 – 49	130.0	-	23.0	-	56.0	29.0	16.0	6.0	-	-	-	-
50 – 59	52.0	-	9.0	-	15.0	15.0	3.0	7.0	3.0	-	-	-
60 и более	69.0	-	7.0	-	10.0	5.0	4.0	9.0	29.0	5.0	5.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Чуванцы	473.0	-	15.0	8.0	69.0	77.0	83.0	177.0	41.0	3.0	1.0	-
в том числе в возрасте, лет:												
15 – 19	73.0	-	-	-	2.0	1.0	4.0	53.0	13.0	-	-	-
20 – 24	39.0	-	-	1.0	2.0	4.0	10.0	18.0	3.0	1.0	-	-
25 – 29	45.0	-	1.0	1.0	3.0	7.0	8.0	21.0	4.0	-	-	-
30 – 39	114.0	-	3.0	3.0	22.0	27.0	31.0	28.0	-	-	-	-
40 – 49	94.0	-	4.0	1.0	17.0	28.0	18.0	25.0	1.0	-	-	-
50 – 59	58.0	-	5.0	2.0	14.0	10.0	6.0	19.0	2.0	-	-	-
60 и более	50.0	-	2.0	-	9.0	-	6.0	13.0	18.0	2.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Чукчи	7882.0	1.0	190.0	53.0	1125.0	883.0	2042.0	2543.0	800.0	218.0	164.0	27.0
в том числе в возрасте, лет:												
15 – 19	1247.0	-	-	-	25.0	58.0	187.0	750.0	201.0	18.0	9.0	8.0
20 – 24	916.0	-	3.0	2.0	97.0	126.0	208.0	390.0	80.0	10.0	6.0	-
25 – 29	860.0	1.0	9.0	1.0	108.0	99.0	200.0	400.0	31.0	8.0	6.0	3.0
30 – 39	1937.0	-	84.0	29.0	368.0	265.0	716.0	443.0	22.0	8.0	5.0	2.0
40 – 49	1686.0	-	66.0	20.0	355.0	248.0	612.0	332.0	37.0	11.0	10.0	5.0
50 – 59	658.0	-	20.0	1.0	113.0	74.0	110.0	172.0	146.0	19.0	13.0	3.0
60 и более	578.0	-	8.0	-	59.0	13.0	9.0	56.0	283.0	144.0	115.0	6.0
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Чулымцы	476.0	-	4.0	2.0	43.0	136.0	34.0	132.0	101.0	24.0	8.0	-
в том числе в возрасте, лет:												
15 – 19	78.0	-	-	-	-	8.0	7.0	46.0	16.0	1.0	-	-
20 – 24	44.0	-	2.0	-	5.0	16.0	-	15.0	5.0	1.0	1.0	-
25 – 29	38.0	-	-	-	5.0	17.0	1.0	9.0	5.0	1.0	1.0	-
30 – 39	81.0	-	1.0	-	11.0	40.0	7.0	19.0	2.0	1.0	-	-
40 – 49	109.0	-	1.0	1.0	12.0	41.0	16.0	19.0	17.0	2.0	-	-
50 – 59	51.0	-	-	-	7.0	11.0	2.0	14.0	16.0	1.0	1.0	-
60 и более	75.0	-	-	1.0	3.0	3.0	1.0	10.0	40.0	17.0	5.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Шапсуги	1934.0	1.0	251.0	47.0	351.0	206.0	624.0	268.0	170.0	16.0	14.0	-
в том числе в возрасте, лет:												
15 – 19	207.0	-	-	8.0	9.0	10.0	81.0	93.0	3.0	3.0	1.0	-
20 – 24	178.0	-	27.0	25.0	30.0	18.0	62.0	15.0	1.0	-	-	-
25 – 29	154.0	-	35.0	5.0	28.0	15.0	56.0	14.0	1.0	-	-	-
30 – 39	322.0	-	52.0	3.0	70.0	59.0	124.0	12.0	2.0	-	-	-
40 – 49	425.0	1.0	68.0	3.0	119.0	59.0	155.0	17.0	3.0	-	-	-
50 – 59	173.0	-	27.0	1.0	45.0	26.0	51.0	18.0	5.0	-	-	-
60 и более	475.0	-	42.0	2.0	50.0	19.0	95.0	99.0	155.0	13.0	13.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Шорцы	2824.0	-	74.0	10.0	239.0	625.0	459.0	722.0	558.0	137.0	88.0	-
в том числе в возрасте, лет:												
15 – 19	316.0	-	-	1.0	2.0	8.0	45.0	209.0	45.0	6.0	5.0	-
20 – 24	240.0	-	7.0	3.0	19.0	45.0	51.0	92.0	20.0	3.0	3.0	-
25 – 29	234.0	-	9.0	1.0	15.0	51.0	71.0	75.0	10.0	2.0	-	-
30 – 39	546.0	-	10.0	4.0	67.0	219.0	127.0	97.0	17.0	5.0	4.0	-
40 – 49	641.0	-	23.0	1.0	93.0	221.0	123.0	143.0	33.0	4.0	2.0	-
50 – 59	252.0	-	9.0	-	23.0	61.0	27.0	58.0	66.0	8.0	8.0	-
60 и более	595.0	-	16.0	-	20.0	20.0	15.0	48.0	367.0	109.0	66.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Эвенки	17995.0	4.0	894.0	260.0	3264.0	1694.0	4706.0	5032.0	1855.0	275.0	188.0	11.0
в том числе в возрасте, лет:												
15 – 19	2802.0	-	-	11.0	46.0	65.0	558.0	1673.0	423.0	25.0	19.0	1.0
20 – 24	2068.0	-	50.0	51.0	305.0	213.0	691.0	599.0	138.0	19.0	10.0	2.0
25 – 29	1981.0	1.0	105.0	46.0	324.0	221.0	622.0	575.0	76.0	9.0	8.0	2.0
30 – 39	3929.0	3.0	245.0	71.0	1015.0	497.0	1280.0	729.0	75.0	13.0	11.0	1.0
40 – 49	3702.0	-	246.0	51.0	921.0	473.0	1139.0	721.0	139.0	10.0	8.0	2.0
50 – 59	1653.0	-	130.0	18.0	418.0	149.0	322.0	428.0	170.0	18.0	12.0	-
