4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
Иркутская область													
Все население в возрасте 15-64 лет, занятое в экономике	1041054.0	22672.0	118984.0	143886.0	130056.0	130175.0	162871.0	152014.0	117132.0	39347.0	23917.0	998267.0	38.6
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	106090.0	3287.0	11601.0	12352.0	11874.0	13454.0	19197.0	17788.0	12014.0	3180.0	1343.0	104151.0	38.7
рыболовство, рыбоводство	494.0	9.0	35.0	73.0	65.0	44.0	85.0	102.0	51.0	14.0	16.0	473.0	39.8
добыча полезных ископаемых	23865.0	189.0	2162.0	3000.0	2904.0	3034.0	4327.0	3862.0	3034.0	949.0	404.0	23220.0	39.8
обрабатывающие производства	168125.0	3109.0	19688.0	23217.0	20319.0	19977.0	26110.0	25324.0	20260.0	6579.0	3542.0	162179.0	38.8
производство и распределение электроэнергии, газа и воды	29341.0	188.0	2186.0	3433.0	3260.0	3519.0	4461.0	5126.0	4517.0	1685.0	966.0	27932.0	41.3
строительство	62672.0	1479.0	7004.0	8308.0	6544.0	7494.0	9859.0	9722.0	7965.0	2753.0	1544.0	60438.0	39.2
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	126406.0	5130.0	19075.0	22074.0	18721.0	17142.0	18213.0	14463.0	8295.0	2200.0	1093.0	123834.0	35.4
гостиницы и рестораны	19068.0	1106.0	2872.0	2632.0	2042.0	2306.0	2830.0	2781.0	1825.0	436.0	238.0	18464.0	36.6
транспорт и связь	112420.0	1511.0	10982.0	14501.0	14295.0	14675.0	19110.0	17610.0	13635.0	4151.0	1950.0	109320.0	39.2
финансовая деятельность	12663.0	74.0	1340.0	2095.0	1967.0	1689.0	1922.0	1717.0	1373.0	346.0	140.0	12285.0	37.9
операции с недвижимым имуществом, аренда и предоставление услуг	24495.0	499.0	3155.0	3447.0	2761.0	2653.0	3262.0	3155.0	2957.0	1384.0	1222.0	22492.0	39.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	73955.0	1303.0	10370.0	13494.0	11883.0	10142.0	10730.0	7849.0	5398.0	1818.0	968.0	72055.0	36.1
образование	111330.0	1660.0	11476.0	14569.0	13510.0	13146.0	17230.0	16355.0	13208.0	5741.0	4435.0	102441.0	39.8
здравоохранение и предоставление социальных услуг	80710.0	987.0	7479.0	10108.0	9903.0	10345.0	12134.0	12288.0	10554.0	4033.0	2879.0	74591.0	40.1
предоставление прочих коммунальных, социальных и персональных услуг	69845.0	1631.0	7280.0	8092.0	7635.0	8113.0	10434.0	11231.0	9642.0	3263.0	2524.0	65813.0	40.0
предоставление услуг по ведению домашнего хозяйства	441.0	17.0	48.0	39.0	51.0	83.0	63.0	50.0	42.0	19.0	29.0	399.0	39.4
деятельность экстерриториальных организаций	47.0	-	4.0	8.0	8.0	8.0	-	7.0	8.0	-	4.0	43.0	39.8
не распределенные по видам деятельности и неточно указавшие вид деятельности	19087.0	493.0	2227.0	2444.0	2314.0	2351.0	2904.0	2584.0	2354.0	796.0	620.0	18137.0	39.0
Усть-Ордынский Бурятский автономный округ													
Все население в возрасте 15-64 лет, занятое в экономике	41434.0	1026.0	4304.0	5194.0	5323.0	6069.0	7191.0	6343.0	4200.0	1222.0	562.0	40322.0	38.4
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	14682.0	642.0	1481.0	1645.0	1713.0	2105.0	2668.0	2440.0	1469.0	397.0	122.0	14470.0	38.2
рыболовство, рыбоводство	17.0	1.0	-	-	1.0	3.0	3.0	3.0	4.0	2.0	-	16.0	44.6
добыча полезных ископаемых	403.0	-	33.0	35.0	51.0	61.0	74.0	75.0	60.0	12.0	2.0	400.0	40.5
обрабатывающие производства	1193.0	36.0	123.0	149.0	136.0	158.0	218.0	173.0	150.0	31.0	19.0	1161.0	38.7
производство и распределение электроэнергии, газа и воды	456.0	1.0	29.0	56.0	53.0	66.0	67.0	83.0	67.0	26.0	8.0	444.0	41.0
строительство	1181.0	23.0	135.0	146.0	135.0	167.0	216.0	163.0	139.0	39.0	18.0	1157.0	38.7
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	3076.0	87.0	351.0	418.0	406.0	478.0	541.0	424.0	272.0	67.0	32.0	3012.0	37.5
гостиницы и рестораны	476.0	25.0	95.0	52.0	47.0	68.0	75.0	66.0	40.0	5.0	3.0	468.0	35.7
транспорт и связь	1425.0	15.0	123.0	162.0	183.0	236.0	249.0	253.0	158.0	35.0	11.0	1405.0	39.2
финансовая деятельность	380.0	-	38.0	74.0	70.0	67.0	51.0	39.0	32.0	6.0	3.0	373.0	36.6
операции с недвижимым имуществом, аренда и предоставление услуг	708.0	11.0	74.0	100.0	89.0	87.0	98.0	104.0	96.0	27.0	22.0	680.0	39.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	4124.0	40.0	551.0	715.0	587.0	597.0	622.0	520.0	348.0	96.0	48.0	4028.0	36.9
образование	8055.0	68.0	765.0	952.0	1130.0	1144.0	1476.0	1243.0	809.0	317.0	151.0	7690.0	39.2
здравоохранение и предоставление социальных услуг	3986.0	42.0	376.0	532.0	524.0	643.0	631.0	581.0	443.0	122.0	92.0	3801.0	39.0
предоставление прочих коммунальных, социальных и персональных услуг	1156.0	21.0	109.0	148.0	188.0	172.0	195.0	163.0	103.0	33.0	24.0	1111.0	38.3
не распределенные по видам деятельности и неточно указавшие вид деятельности	116.0	14.0	21.0	10.0	10.0	17.0	7.0	13.0	10.0	7.0	7.0	106.0	36.5
Кемеровская область													
Все население в возрасте 15-64 лет, занятое в экономике	1200097.0	26800.0	136342.0	158823.0	142511.0	143470.0	200116.0	185500.0	139259.0	44325.0	22951.0	1155787.0	38.8
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	52325.0	2190.0	5484.0	5684.0	4917.0	6142.0	9807.0	9245.0	6472.0	1923.0	461.0	51387.0	39.0
рыболовство, рыбоводство	84.0	-	8.0	21.0	9.0	-	18.0	12.0	4.0	4.0	8.0	76.0	39.6
добыча полезных ископаемых	150934.0	1604.0	14153.0	17767.0	16942.0	19114.0	29599.0	26640.0	18283.0	4799.0	2033.0	147778.0	39.7
обрабатывающие производства	184650.0	3818.0	21784.0	23912.0	19379.0	20268.0	29195.0	30228.0	24252.0	8110.0	3704.0	178026.0	39.3
производство и распределение электроэнергии, газа и воды	43537.0	469.0	3501.0	4926.0	4864.0	5026.0	7881.0	7696.0	6120.0	2011.0	1043.0	41846.0	40.7
строительство	69101.0	2235.0	8258.0	8913.0	7504.0	8124.0	11527.0	11168.0	7736.0	2463.0	1173.0	67341.0	38.5
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	149332.0	6412.0	24306.0	24580.0	21665.0	19591.0	22143.0	16935.0	10254.0	2292.0	1154.0	146579.0	35.2
гостиницы и рестораны	29345.0	1362.0	4253.0	4033.0	2923.0	3278.0	4827.0	4384.0	3209.0	718.0	358.0	28355.0	37.3
транспорт и связь	125416.0	1847.0	11815.0	15847.0	16030.0	15617.0	23326.0	20291.0	14814.0	4197.0	1632.0	122692.0	39.2
финансовая деятельность	11492.0	80.0	1118.0	1781.0	1859.0	1507.0	1995.0	1694.0	1127.0	226.0	105.0	11194.0	38.0
операции с недвижимым имуществом, аренда и предоставление услуг	71028.0	1397.0	8568.0	8510.0	7492.0	8153.0	11430.0	11210.0	9301.0	2991.0	1976.0	67767.0	39.5
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	61033.0	880.0	8255.0	10866.0	9641.0	8532.0	9135.0	6948.0	4703.0	1415.0	658.0	59594.0	36.4
образование	109760.0	1842.0	11317.0	14381.0	13086.0	12489.0	16550.0	15984.0	13626.0	6361.0	4124.0	100705.0	39.9
здравоохранение и предоставление социальных услуг	93773.0	1287.0	8183.0	11468.0	10723.0	10158.0	15026.0	15598.0	13463.0	4589.0	3278.0	86594.0	40.6
предоставление прочих коммунальных, социальных и персональных услуг	38406.0	1119.0	4141.0	4880.0	4444.0	4389.0	6074.0	5938.0	4603.0	1785.0	1033.0	36373.0	39.2
предоставление услуг по ведению домашнего хозяйства	215.0	12.0	29.0	16.0	16.0	37.0	26.0	32.0	30.0	13.0	4.0	203.0	39.1
деятельность экстерриториальных организаций	40.0	4.0	8.0	4.0	-	-	4.0	4.0	8.0	4.0	4.0	32.0	40.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	9626.0	242.0	1161.0	1234.0	1017.0	1045.0	1553.0	1493.0	1254.0	424.0	203.0	9245.0	39.1
Новосибирская область													
Все население в возрасте 15-64 лет, занятое в экономике	1159467.0	27878.0	127769.0	151131.0	136773.0	142294.0	186154.0	176501.0	136876.0	48614.0	25477.0	1113879.0	39.0
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	112096.0	3639.0	10657.0	11985.0	11596.0	14463.0	21452.0	19754.0	13602.0	4120.0	828.0	110640.0	39.3
рыболовство, рыбоводство	785.0	33.0	80.0	103.0	57.0	64.0	149.0	172.0	94.0	25.0	8.0	777.0	39.3
добыча полезных ископаемых	7146.0	89.0	665.0	741.0	774.0	916.0	1468.0	1167.0	989.0	242.0	95.0	7010.0	40.0
обрабатывающие производства	201108.0	4806.0	21887.0	23351.0	20138.0	22120.0	31379.0	33305.0	28130.0	10200.0	5792.0	192091.0	40.0
производство и распределение электроэнергии, газа и воды	32140.0	295.0	2214.0	3446.0	3007.0	3133.0	5476.0	6039.0	5263.0	2290.0	977.0	30830.0	42.1
строительство	84076.0	2168.0	9360.0	10454.0	8926.0	9680.0	13413.0	14153.0	10707.0	3615.0	1600.0	81873.0	39.3
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	186060.0	6620.0	27036.0	31184.0	27404.0	25012.0	27900.0	22010.0	13917.0	3498.0	1479.0	182658.0	35.8
гостиницы и рестораны	31135.0	1891.0	4648.0	3822.0	3371.0	3676.0	4694.0	4461.0	3372.0	830.0	370.0	30091.0	36.9
транспорт и связь	119657.0	1691.0	10430.0	14843.0	15132.0	15475.0	20293.0	19563.0	15509.0	4817.0	1904.0	116527.0	39.7
финансовая деятельность	14617.0	130.0	1771.0	2451.0	2224.0	2044.0	2214.0	1865.0	1385.0	362.0	171.0	14230.0	37.3
операции с недвижимым имуществом, аренда и предоставление услуг	70798.0	1271.0	8742.0	8972.0	7295.0	7594.0	9833.0	10153.0	9163.0	4451.0	3324.0	65412.0	40.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	70444.0	1225.0	8773.0	11471.0	10209.0	9609.0	11358.0	8775.0	6041.0	2073.0	910.0	68475.0	37.2
образование	96486.0	1454.0	8732.0	12100.0	11822.0	11993.0	14716.0	14398.0	11710.0	5623.0	3938.0	88621.0	40.2
здравоохранение и предоставление социальных услуг	80828.0	815.0	6925.0	10149.0	8983.0	10131.0	13743.0	13138.0	10858.0	3634.0	2452.0	75577.0	40.4
предоставление прочих коммунальных, социальных и персональных услуг	41326.0	1507.0	4813.0	4740.0	4570.0	4826.0	6294.0	5849.0	5016.0	2327.0	1384.0	38817.0	39.3
предоставление услуг по ведению домашнего хозяйства	528.0	51.0	41.0	46.0	42.0	57.0	129.0	89.0	45.0	20.0	8.0	499.0	38.5
деятельность экстерриториальных организаций	28.0	-	-	8.0	4.0	-	4.0	4.0	4.0	4.0	-	28.0	41.1
не распределенные по видам деятельности и неточно указавшие вид деятельности	10209.0	193.0	995.0	1265.0	1219.0	1501.0	1639.0	1606.0	1071.0	483.0	237.0	9723.0	39.3
Омская область													
Все население в возрасте 15-64 лет, занятое в экономике	827109.0	17002.0	92369.0	108591.0	98436.0	110588.0	141610.0	123047.0	92631.0	30055.0	12780.0	802629.0	38.6
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	105849.0	3541.0	10896.0	12228.0	11434.0	14304.0	20064.0	17263.0	11761.0	3547.0	811.0	104485.0	38.7
рыболовство, рыбоводство	166.0	-	20.0	4.0	4.0	16.0	37.0	49.0	24.0	4.0	8.0	158.0	43.3
добыча полезных ископаемых	5024.0	12.0	323.0	523.0	580.0	757.0	1089.0	844.0	669.0	183.0	44.0	4968.0	40.6
обрабатывающие производства	136116.0	2754.0	15814.0	16360.0	13380.0	15786.0	22681.0	21482.0	18435.0	6491.0	2933.0	131096.0	39.6
производство и распределение электроэнергии, газа и воды	20783.0	165.0	1485.0	2158.0	2034.0	2589.0	3766.0	3810.0	3289.0	1095.0	392.0	20212.0	41.4
строительство	60584.0	1165.0	7077.0	7925.0	6451.0	7815.0	10815.0	9552.0	6768.0	2195.0	821.0	59473.0	38.7
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	115655.0	3840.0	16617.0	19145.0	16979.0	16910.0	18576.0	13183.0	7932.0	1786.0	687.0	114055.0	35.7
гостиницы и рестораны	17897.0	870.0	3056.0	2457.0	1798.0	2169.0	2962.0	2549.0	1584.0	344.0	108.0	17507.0	36.2
транспорт и связь	73391.0	798.0	5900.0	8505.0	9216.0	10487.0	14024.0	12387.0	8615.0	2642.0	817.0	72057.0	39.7
финансовая деятельность	9285.0	77.0	814.0	1518.0	1476.0	1345.0	1420.0	1389.0	950.0	232.0	64.0	9066.0	38.1
операции с недвижимым имуществом, аренда и предоставление услуг	39388.0	689.0	4753.0	4754.0	4284.0	4762.0	6166.0	6109.0	5149.0	1819.0	903.0	37895.0	39.4
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	52778.0	675.0	7043.0	9293.0	8052.0	8002.0	8086.0	5619.0	3984.0	1437.0	587.0	51497.0	36.5
образование	81520.0	812.0	6995.0	9845.0	10034.0	11317.0	13854.0	12244.0	10111.0	4007.0	2301.0	76479.0	40.1
здравоохранение и предоставление социальных услуг	67844.0	688.0	7157.0	8981.0	7935.0	8939.0	11327.0	10663.0	8300.0	2499.0	1355.0	64572.0	39.3
предоставление прочих коммунальных, социальных и персональных услуг	30492.0	756.0	3430.0	3684.0	3626.0	4081.0	4999.0	4366.0	3593.0	1301.0	656.0	29228.0	38.9
предоставление услуг по ведению домашнего хозяйства	309.0	20.0	49.0	8.0	36.0	32.0	88.0	36.0	28.0	8.0	4.0	297.0	37.8
деятельность экстерриториальных организаций	24.0	4.0	4.0	4.0	-	-	8.0	-	-	4.0	-	20.0	35.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	10004.0	136.0	936.0	1199.0	1117.0	1277.0	1648.0	1502.0	1439.0	461.0	289.0	9564.0	40.2
Томская область													
Все население в возрасте 15-64 лет, занятое в экономике	430823.0	9661.0	49407.0	57123.0	52646.0	52440.0	68213.0	63972.0	49358.0	17531.0	10472.0	412428.0	38.8
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	29118.0	1086.0	2986.0	3215.0	2923.0	3496.0	5507.0	5264.0	3569.0	838.0	234.0	28676.0	39.0
рыболовство, рыбоводство	388.0	14.0	42.0	37.0	32.0	29.0	98.0	71.0	47.0	16.0	2.0	385.0	39.7
добыча полезных ископаемых	13505.0	61.0	1358.0	1778.0	1763.0	1678.0	2329.0	2488.0	1420.0	486.0	144.0	13274.0	39.2
обрабатывающие производства	74171.0	1339.0	7989.0	9300.0	7667.0	8306.0	11230.0	11412.0	10281.0	4029.0	2618.0	70192.0	40.1
производство и распределение электроэнергии, газа и воды	9797.0	69.0	760.0	1032.0	1107.0	1167.0	1590.0	1751.0	1480.0	509.0	332.0	9347.0	41.3
строительство	32185.0	863.0	3955.0	4141.0	3700.0	3775.0	5200.0	4923.0	3762.0	1242.0	624.0	31300.0	38.6
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	56640.0	2152.0	9216.0	9356.0	8357.0	7615.0	8443.0	6343.0	3782.0	907.0	469.0	55590.0	35.3
гостиницы и рестораны	9149.0	549.0	1515.0	1161.0	1070.0	924.0	1343.0	1216.0	987.0	231.0	153.0	8811.0	36.6
транспорт и связь	41012.0	660.0	3588.0	4632.0	5193.0	5426.0	7238.0	7049.0	5129.0	1516.0	581.0	40058.0	39.7
финансовая деятельность	5527.0	68.0	611.0	938.0	841.0	776.0	799.0	754.0	530.0	151.0	59.0	5347.0	37.5
операции с недвижимым имуществом, аренда и предоставление услуг	33134.0	649.0	3672.0	4094.0	3750.0	3515.0	5145.0	5149.0	4357.0	1749.0	1054.0	31486.0	39.8
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	30448.0	654.0	4298.0	5073.0	4631.0	4133.0	4385.0	3587.0	2538.0	739.0	410.0	29642.0	36.5
образование	48918.0	544.0	4601.0	6087.0	5562.0	5625.0	7745.0	7139.0	6452.0	2955.0	2208.0	44597.0	40.6
здравоохранение и предоставление социальных услуг	33694.0	443.0	3156.0	4505.0	4272.0	4430.0	5335.0	4967.0	3805.0	1544.0	1237.0	31292.0	39.7
предоставление прочих коммунальных, социальных и персональных услуг	11254.0	404.0	1445.0	1530.0	1498.0	1360.0	1543.0	1596.0	1030.0	538.0	310.0	10607.0	38.0
предоставление услуг по ведению домашнего хозяйства	202.0	16.0	26.0	10.0	21.0	22.0	40.0	30.0	29.0	7.0	1.0	201.0	38.4
деятельность экстерриториальных организаций	16.0	4.0	4.0	4.0	-	-	-	4.0	-	-	-	16.0	28.8
не распределенные по видам деятельности и неточно указавшие вид деятельности	1665.0	86.0	185.0	230.0	259.0	163.0	243.0	229.0	160.0	74.0	36.0	1607.0	37.6
Читинская область													
Все население в возрасте 15-64 лет, занятое в экономике	410344.0	8541.0	49075.0	59236.0	50331.0	50218.0	65130.0	61396.0	45821.0	14246.0	6350.0	397820.0	38.3
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	39847.0	1314.0	4086.0	4426.0	4196.0	5061.0	7272.0	6886.0	4935.0	1335.0	336.0	39258.0	39.0
рыболовство, рыбоводство	53.0	-	-	9.0	-	6.0	13.0	8.0	12.0	5.0	-	53.0	43.8
добыча полезных ископаемых	22622.0	307.0	2472.0	3085.0	2268.0	2570.0	3867.0	4047.0	2941.0	678.0	387.0	22085.0	39.3
обрабатывающие производства	19096.0	535.0	2433.0	2404.0	2022.0	2073.0	3026.0	3065.0	2466.0	793.0	279.0	18594.0	38.8
производство и распределение электроэнергии, газа и воды	11445.0	112.0	1077.0	1468.0	1320.0	1401.0	1839.0	1859.0	1604.0	559.0	206.0	11106.0	40.0
строительство	19157.0	568.0	2458.0	2567.0	2223.0	2278.0	3042.0	2857.0	2206.0	700.0	258.0	18745.0	38.1
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	42036.0	1357.0	6097.0	6547.0	6093.0	5570.0	6242.0	5554.0	3257.0	953.0	366.0	41150.0	36.3
гостиницы и рестораны	6345.0	386.0	1069.0	917.0	739.0	600.0	929.0	886.0	600.0	155.0	64.0	6161.0	36.0
транспорт и связь	55749.0	612.0	5872.0	7850.0	6958.0	6859.0	8930.0	9269.0	6980.0	1882.0	537.0	54841.0	38.9
финансовая деятельность	4678.0	43.0	530.0	775.0	658.0	531.0	768.0	712.0	530.0	98.0	33.0	4587.0	37.9
операции с недвижимым имуществом, аренда и предоставление услуг	25807.0	571.0	2987.0	3302.0	2723.0	2767.0	4044.0	4143.0	3283.0	1345.0	642.0	24804.0	39.5
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	53877.0	688.0	7482.0	10230.0	8056.0	7038.0	8276.0	6194.0	4018.0	1371.0	524.0	52699.0	36.3
образование	51615.0	874.0	5789.0	7120.0	6102.0	6559.0	8129.0	7583.0	5997.0	2148.0	1314.0	48662.0	39.0
здравоохранение и предоставление социальных услуг	40361.0	641.0	4610.0	6285.0	4936.0	4912.0	6021.0	5638.0	4821.0	1492.0	1005.0	38216.0	38.6
предоставление прочих коммунальных, социальных и персональных услуг	12607.0	349.0	1479.0	1564.0	1499.0	1457.0	1949.0	1993.0	1552.0	481.0	284.0	12044.0	38.9
предоставление услуг по ведению домашнего хозяйства	56.0	6.0	5.0	9.0	-	4.0	15.0	12.0	1.0	4.0	-	56.0	37.6
деятельность экстерриториальных организаций	20.0	-	-	-	4.0	4.0	-	-	8.0	-	4.0	16.0	47.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	4973.0	178.0	629.0	678.0	534.0	528.0	768.0	690.0	610.0	247.0	111.0	4743.0	38.5
Агинский Бурятский автономный округ													
Все население в возрасте 15-64 лет, занятое в экономике	20965.0	299.0	2088.0	2834.0	2744.0	3180.0	3785.0	3154.0	2017.0	624.0	240.0	20467.0	38.4
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	4114.0	68.0	265.0	412.0	511.0	647.0	836.0	765.0	439.0	133.0	38.0	4054.0	39.9
рыболовство, рыбоводство	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	37.5
добыча полезных ископаемых	479.0	13.0	43.0	51.0	42.0	39.0	108.0	77.0	74.0	25.0	7.0	465.0	40.6
обрабатывающие производства	469.0	16.0	59.0	76.0	72.0	58.0	66.0	64.0	41.0	8.0	9.0	457.0	36.7
производство и распределение электроэнергии, газа и воды	565.0	10.0	70.0	75.0	73.0	73.0	92.0	83.0	65.0	17.0	7.0	557.0	38.2
строительство	775.0	18.0	102.0	110.0	85.0	101.0	160.0	97.0	76.0	23.0	3.0	770.0	37.5
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1724.0	32.0	221.0	250.0	233.0	288.0	307.0	224.0	126.0	34.0	9.0	1694.0	36.9
гостиницы и рестораны	416.0	33.0	84.0	57.0	49.0	49.0	53.0	44.0	37.0	5.0	5.0	408.0	34.5
транспорт и связь	953.0	4.0	73.0	112.0	99.0	163.0	193.0	173.0	98.0	31.0	7.0	944.0	39.8
финансовая деятельность	164.0	1.0	13.0	31.0	22.0	32.0	32.0	15.0	12.0	4.0	2.0	159.0	37.4
операции с недвижимым имуществом, аренда и предоставление услуг	255.0	4.0	50.0	40.0	30.0	32.0	32.0	27.0	21.0	14.0	5.0	245.0	36.6
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	2682.0	20.0	382.0	452.0	420.0	402.0	384.0	316.0	224.0	66.0	16.0	2650.0	36.5
образование	4992.0	31.0	434.0	685.0	666.0	774.0	910.0	787.0	473.0	154.0	78.0	4811.0	38.9
здравоохранение и предоставление социальных услуг	2126.0	22.0	169.0	305.0	272.0	353.0	410.0	310.0	193.0	63.0	29.0	2050.0	38.7
предоставление прочих коммунальных, социальных и персональных услуг	1172.0	22.0	110.0	162.0	165.0	156.0	195.0	162.0	131.0	45.0	24.0	1126.0	38.8
предоставление услуг по ведению домашнего хозяйства	5.0	2.0	1.0	1.0	-	-	-	-	1.0	-	-	5.0	27.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	73.0	3.0	12.0	15.0	5.0	12.0	7.0	10.0	6.0	2.0	1.0	71.0	35.8
Дальневосточный федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике	2869370.0	52939.0	298796.0	387306.0	365985.0	362046.0	435065.0	415642.0	339834.0	134598.0	77159.0	2730109.0	39.2
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	155235.0	3901.0	13669.0	16942.0	16123.0	19621.0	26762.0	27660.0	20414.0	7183.0	2960.0	150514.0	40.1
рыболовство, рыбоводство	58725.0	606.0	5105.0	8030.0	8333.0	8760.0	9820.0	8336.0	6409.0	2200.0	1126.0	57250.0	39.0
добыча полезных ископаемых	102723.0	1027.0	8523.0	12149.0	11862.0	12034.0	17936.0	18431.0	14075.0	4509.0	2177.0	99509.0	40.4
обрабатывающие производства	282873.0	6159.0	30411.0	35689.0	31898.0	32151.0	39828.0	43159.0	38602.0	15788.0	9188.0	268141.0	39.8
производство и распределение электроэнергии, газа и воды	91337.0	661.0	6500.0	9953.0	10201.0	10052.0	13771.0	15751.0	14415.0	6508.0	3525.0	86199.0	41.9
строительство	185105.0	4139.0	19574.0	23492.0	20666.0	21726.0	29165.0	28466.0	24032.0	9312.0	4533.0	178512.0	39.5
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	369256.0	11925.0	50888.0	60616.0	55085.0	50931.0	53290.0	43856.0	29239.0	9073.0	4353.0	359450.0	36.3
гостиницы и рестораны	65888.0	3726.0	10104.0	9319.0	7986.0	7532.0	9141.0	8269.0	6515.0	2132.0	1164.0	62898.0	36.6
транспорт и связь	349127.0	3953.0	30612.0	43227.0	44123.0	44839.0	55682.0	54883.0	46877.0	16778.0	8153.0	336197.0	40.0
финансовая деятельность	34785.0	261.0	3635.0	5862.0	5363.0	4719.0	5125.0	4776.0	3517.0	1067.0	460.0	33613.0	37.9
операции с недвижимым имуществом, аренда и предоставление услуг	147398.0	2560.0	15322.0	17969.0	16345.0	16886.0	21713.0	22319.0	20395.0	8494.0	5395.0	138587.0	40.2
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	337048.0	3516.0	42155.0	58976.0	53734.0	48243.0	50750.0	37901.0	26335.0	10288.0	5150.0	327024.0	36.9
образование	284422.0	3706.0	25415.0	35544.0	35219.0	35545.0	42527.0	41365.0	35044.0	17759.0	12298.0	258435.0	40.4
здравоохранение и предоставление социальных услуг	216989.0	2275.0	18009.0	27301.0	27287.0	27035.0	32886.0	32533.0	28425.0	11913.0	9325.0	198026.0	40.6
предоставление прочих коммунальных, социальных и персональных услуг	157990.0	3769.0	15362.0	17998.0	17708.0	18142.0	22312.0	24044.0	22101.0	10100.0	6454.0	146792.0	40.5
предоставление услуг по ведению домашнего хозяйства	611.0	36.0	74.0	73.0	75.0	50.0	87.0	98.0	60.0	32.0	26.0	562.0	38.6
деятельность экстерриториальных организаций	455.0	16.0	53.0	32.0	66.0	72.0	61.0	77.0	53.0	18.0	7.0	439.0	38.9
не распределенные по видам деятельности и неточно указавшие вид деятельности	29403.0	703.0	3385.0	4134.0	3911.0	3708.0	4209.0	3718.0	3326.0	1444.0	865.0	27961.0	38.6
Республика Саха (Якутия)													
Все население в возрасте 15-64 лет, занятое в экономике	418585.0	8539.0	42416.0	55800.0	54395.0	58307.0	71611.0	61865.0	42286.0	14894.0	8472.0	402621.0	38.7
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	25221.0	598.0	1803.0	2471.0	2818.0	4137.0	5340.0	4388.0	2400.0	851.0	415.0	24607.0	39.7
рыболовство, рыбоводство	1129.0	31.0	96.0	115.0	132.0	176.0	211.0	162.0	115.0	54.0	37.0	1078.0	39.7
добыча полезных ископаемых	38090.0	405.0	3326.0	4843.0	4578.0	4533.0	6889.0	6646.0	4801.0	1406.0	663.0	37033.0	39.8
обрабатывающие производства	17645.0	463.0	2131.0	2590.0	2376.0	2327.0	2662.0	2527.0	1705.0	553.0	311.0	17086.0	37.7
производство и распределение электроэнергии, газа и воды	14951.0	132.0	1114.0	1912.0	1812.0	1869.0	2497.0	2523.0	1971.0	712.0	409.0	14342.0	40.5
строительство	26541.0	633.0	2716.0	3393.0	3067.0	3681.0	4836.0	4087.0	2835.0	818.0	475.0	25838.0	38.7
