4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
рыболовство, рыбоводство	666.0	17.0	42.0	59.0	75.0	87.0	137.0	102.0	95.0	36.0	16.0	634.0	41.0
добыча полезных ископаемых	4217.0	47.0	395.0	481.0	453.0	518.0	747.0	784.0	552.0	199.0	41.0	4124.0	40.1
обрабатывающие производства	169108.0	2957.0	15727.0	18568.0	16797.0	20571.0	29028.0	29078.0	24332.0	7863.0	4187.0	162539.0	40.4
производство и распределение электроэнергии, газа и воды	18795.0	101.0	1301.0	1906.0	2047.0	2199.0	3444.0	3305.0	3061.0	994.0	437.0	18213.0	41.6
строительство	56414.0	1138.0	5581.0	6485.0	5985.0	6991.0	10158.0	9512.0	7260.0	2386.0	918.0	55000.0	39.7
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	118941.0	3464.0	15645.0	18284.0	16885.0	17579.0	19018.0	15153.0	9748.0	2273.0	892.0	116815.0	36.6
гостиницы и рестораны	19293.0	842.0	2399.0	2434.0	2271.0	2583.0	3098.0	2787.0	2171.0	487.0	221.0	18703.0	37.6
транспорт и связь	83320.0	860.0	6602.0	9206.0	10433.0	12088.0	15403.0	14002.0	10442.0	3213.0	1071.0	81417.0	40.0
финансовая деятельность	9133.0	50.0	859.0	1380.0	1345.0	1307.0	1422.0	1385.0	1051.0	265.0	69.0	8920.0	38.5
операции с недвижимым имуществом, аренда и предоставление услуг	23387.0	409.0	2694.0	3196.0	2931.0	2754.0	3183.0	3235.0	3012.0	1183.0	790.0	22097.0	39.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	52385.0	525.0	6166.0	8758.0	7922.0	7595.0	8471.0	6209.0	4471.0	1482.0	786.0	50964.0	37.3
образование	76831.0	968.0	6190.0	8875.0	9807.0	10282.0	12489.0	11161.0	9749.0	4583.0	2727.0	70902.0	40.5
здравоохранение и предоставление социальных услуг	70085.0	920.0	6180.0	9255.0	9279.0	9771.0	10911.0	10197.0	8758.0	2829.0	1985.0	65975.0	39.6
предоставление прочих коммунальных, социальных и персональных услуг	47959.0	928.0	4032.0	4859.0	5418.0	5934.0	8261.0	8056.0	6748.0	2385.0	1338.0	45540.0	40.6
предоставление услуг по ведению домашнего хозяйства	447.0	8.0	38.0	46.0	45.0	52.0	70.0	82.0	74.0	20.0	12.0	427.0	41.0
деятельность экстерриториальных организаций	325.0	8.0	64.0	49.0	46.0	16.0	65.0	40.0	16.0	8.0	13.0	308.0	36.3
не распределенные по видам деятельности и неточно указавшие вид деятельности	17275.0	403.0	1749.0	2005.0	1953.0	2420.0	2679.0	2541.0	2186.0	808.0	531.0	16402.0	39.6
Ивановская область													
Все население в возрасте 15-64 лет, занятое в экономике	477036.0	11816.0	50257.0	60663.0	58003.0	61394.0	74175.0	72125.0	59364.0	19778.0	9461.0	458668.0	39.0
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	30312.0	727.0	2177.0	2659.0	2909.0	4213.0	5970.0	5685.0	4298.0	1276.0	398.0	29555.0	40.7
рыболовство, рыбоводство	134.0	-	4.0	16.0	4.0	20.0	41.0	25.0	16.0	8.0	-	134.0	42.1
добыча полезных ископаемых	1101.0	12.0	101.0	136.0	66.0	111.0	180.0	203.0	221.0	47.0	24.0	1069.0	41.4
обрабатывающие производства	153802.0	5167.0	17749.0	19369.0	16670.0	18128.0	23039.0	24850.0	20414.0	6125.0	2291.0	149319.0	38.8
производство и распределение электроэнергии, газа и воды	9250.0	61.0	518.0	1024.0	965.0	1156.0	1433.0	1658.0	1637.0	551.0	247.0	8902.0	42.0
