4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике 	1041054.0	22672.0	118984.0	143886.0	130056.0	130175.0	162871.0	152014.0	117132.0	39347.0	23917.0	998267.0	38.6
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	112123.0	592.0	6006.0	11948.0	13472.0	15617.0	19920.0	19687.0	16115.0	5793.0	2973.0	106660.0	41.4
специалисты высшего уровня квалификации	152876.0	950.0	15272.0	20576.0	18534.0	19479.0	23639.0	21916.0	18719.0	8163.0	5628.0	141469.0	40.0
специалисты среднего уровня квалификации	129085.0	1775.0	15143.0	18356.0	16935.0	15804.0	19902.0	18657.0	15062.0	4757.0	2694.0	123452.0	38.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	24707.0	791.0	3254.0	3564.0	2814.0	2757.0	3669.0	3627.0	2918.0	865.0	448.0	23456.0	38.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	135158.0	5752.0	22854.0	24454.0	19219.0	16659.0	17971.0	15049.0	9295.0	2374.0	1531.0	131926.0	35.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	18654.0	684.0	2353.0	2529.0	2282.0	2630.0	3186.0	2975.0	1620.0	296.0	99.0	18484.0	37.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	154037.0	4419.0	20490.0	22050.0	18006.0	17777.0	22825.0	22366.0	17589.0	5696.0	2819.0	150307.0	38.0
операторы, аппаратчики, машинисты установок и машин	168630.0	1960.0	16343.0	21614.0	22852.0	23217.0	30228.0	26501.0	18273.0	5414.0	2228.0	165562.0	38.9
неквалифицированные рабочие	109094.0	4666.0	12510.0	13047.0	10947.0	11500.0	15777.0	16769.0	14199.0	4920.0	4759.0	101533.0	39.4
занятые на военной службе	8849.0	45.0	1129.0	1961.0	1617.0	1490.0	1545.0	767.0	221.0	56.0	18.0	8820.0	34.6
лица, неточно указавшие или не указавшие  занятия 	27841.0	1038.0	3630.0	3787.0	3378.0	3245.0	4209.0	3700.0	3121.0	1013.0	720.0	26598.0	38.0
Усть-Ордынский Бурятский автономный округ													
Все население в возрасте 15-64 лет, занятое в экономике 	41434.0	1026.0	4304.0	5194.0	5323.0	6069.0	7191.0	6343.0	4200.0	1222.0	562.0	40322.0	38.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	4138.0	16.0	147.0	305.0	481.0	683.0	883.0	800.0	566.0	175.0	82.0	3971.0	42.0
специалисты высшего уровня квалификации	5592.0	18.0	494.0	673.0	736.0	869.0	992.0	829.0	596.0	252.0	133.0	5271.0	39.7
специалисты среднего уровня квалификации	5690.0	49.0	643.0	739.0	832.0	837.0	922.0	833.0	593.0	163.0	79.0	5523.0	38.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1246.0	19.0	132.0	185.0	171.0	171.0	190.0	184.0	141.0	29.0	24.0	1195.0	38.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	4227.0	115.0	651.0	705.0	564.0	618.0	656.0	521.0	304.0	58.0	35.0	4143.0	35.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	2075.0	84.0	212.0	250.0	273.0	316.0	433.0	327.0	144.0	29.0	7.0	2061.0	37.3
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	3022.0	95.0	282.0	354.0	358.0	415.0	496.0	515.0	381.0	99.0	27.0	2976.0	39.0
операторы, аппаратчики, машинисты установок и машин	7337.0	167.0	768.0	930.0	970.0	1158.0	1329.0	1157.0	636.0	172.0	50.0	7280.0	38.0
неквалифицированные рабочие	6745.0	365.0	758.0	865.0	776.0	848.0	1071.0	1011.0	727.0	210.0	114.0	6560.0	37.8
занятые на военной службе	23.0	-	2.0	5.0	1.0	2.0	8.0	5.0	-	-	-	23.0	37.7
лица, неточно указавшие или не указавшие  занятия 	1339.0	98.0	215.0	183.0	161.0	152.0	211.0	161.0	112.0	35.0	11.0	1319.0	35.6
Кемеровская область													
Все население в возрасте 15-64 лет, занятое в экономике 	1200097.0	26800.0	136342.0	158823.0	142511.0	143470.0	200116.0	185500.0	139259.0	44325.0	22951.0	1155787.0	38.8
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	122643.0	357.0	5226.0	11733.0	14384.0	16460.0	23595.0	23063.0	18324.0	6457.0	3044.0	116735.0	42.0
специалисты высшего уровня квалификации	143958.0	853.0	14374.0	20454.0	17945.0	17184.0	22412.0	20777.0	17899.0	7530.0	4530.0	134083.0	39.8
специалисты среднего уровня квалификации	149399.0	2134.0	16230.0	21018.0	19347.0	17720.0	23410.0	22666.0	18361.0	5634.0	2879.0	142806.0	38.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	30817.0	960.0	4032.0	3941.0	3217.0	3249.0	5198.0	4882.0	3746.0	1073.0	519.0	29311.0	38.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	165256.0	7383.0	29707.0	27623.0	22343.0	19526.0	22949.0	18695.0	12521.0	2935.0	1574.0	161596.0	35.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	12409.0	549.0	1262.0	1573.0	1350.0	1520.0	2348.0	2189.0	1312.0	249.0	57.0	12200.0	38.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	256389.0	6914.0	33162.0	34106.0	27658.0	28511.0	43132.0	41269.0	29283.0	8700.0	3654.0	251302.0	38.3
операторы, аппаратчики, машинисты установок и машин	193002.0	2421.0	18065.0	24301.0	24622.0	26165.0	37119.0	31472.0	20913.0	5972.0	1952.0	190049.0	39.0
неквалифицированные рабочие	113416.0	4867.0	12700.0	12272.0	10103.0	11516.0	17947.0	18564.0	15581.0	5408.0	4458.0	105339.0	39.9
занятые на военной службе	2261.0	8.0	354.0	488.0	398.0	332.0	348.0	223.0	90.0	16.0	4.0	2249.0	34.6
лица, неточно указавшие или не указавшие  занятия 	10547.0	354.0	1230.0	1314.0	1144.0	1287.0	1658.0	1700.0	1229.0	351.0	280.0	10117.0	38.8
Новосибирская область													
Все население в возрасте 15-64 лет, занятое в экономике 	1159467.0	27878.0	127769.0	151131.0	136773.0	142294.0	186154.0	176501.0	136876.0	48614.0	25477.0	1113879.0	39.0
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	149080.0	562.0	8403.0	17133.0	18667.0	20023.0	25929.0	24855.0	20774.0	8455.0	4279.0	141638.0	41.3
специалисты высшего уровня квалификации	172316.0	1007.0	16446.0	23919.0	20338.0	21712.0	26371.0	24789.0	20877.0	10202.0	6655.0	159651.0	40.1
специалисты среднего уровня квалификации	151759.0	2871.0	18601.0	21065.0	19003.0	18353.0	23073.0	22319.0	18086.0	5568.0	2820.0	145652.0	38.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	30101.0	1520.0	4447.0	3455.0	3032.0	3323.0	4372.0	4556.0	3762.0	1086.0	548.0	28613.0	37.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	158573.0	7015.0	25945.0	25537.0	21177.0	19143.0	23093.0	19244.0	12646.0	3266.0	1507.0	154977.0	35.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	24457.0	686.0	2188.0	2823.0	2762.0	3443.0	4847.0	4609.0	2512.0	481.0	106.0	24227.0	38.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	177595.0	5730.0	20699.0	22292.0	18800.0	19059.0	27772.0	29045.0	22838.0	7837.0	3523.0	173207.0	39.0
операторы, аппаратчики, машинисты установок и машин	149518.0	2216.0	14126.0	17756.0	18306.0	19992.0	27823.0	24599.0	16995.0	5845.0	1860.0	147108.0	39.4
неквалифицированные рабочие	123451.0	6003.0	14370.0	13723.0	11548.0	13596.0	18949.0	19513.0	16717.0	5193.0	3839.0	116840.0	39.2
занятые на военной службе	11277.0	42.0	1377.0	2019.0	1809.0	2057.0	2139.0	1273.0	417.0	111.0	33.0	11211.0	35.9
лица, неточно указавшие или не указавшие  занятия 	11340.0	226.0	1167.0	1409.0	1331.0	1593.0	1786.0	1699.0	1252.0	570.0	307.0	10755.0	39.4
Омская область													
Все население в возрасте 15-64 лет, занятое в экономике 	827109.0	17002.0	92369.0	108591.0	98436.0	110588.0	141610.0	123047.0	92631.0	30055.0	12780.0	802629.0	38.6
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	83910.0	195.0	3619.0	7818.0	9306.0	12292.0	15865.0	15163.0	12660.0	4733.0	2259.0	79851.0	42.1
специалисты высшего уровня квалификации	113173.0	458.0	11013.0	15449.0	13368.0	14931.0	18423.0	16773.0	13902.0	5602.0	3254.0	106409.0	39.9
специалисты среднего уровня квалификации	116394.0	1701.0	14334.0	16526.0	14856.0	15910.0	18687.0	16670.0	12774.0	3542.0	1394.0	112954.0	38.1
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	23513.0	759.0	3296.0	2864.0	2578.0	2777.0	4072.0	3424.0	2636.0	771.0	336.0	22532.0	38.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	109625.0	4172.0	17956.0	18240.0	15024.0	14751.0	16489.0	12399.0	8166.0	1768.0	660.0	107967.0	35.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	21696.0	666.0	2029.0	2749.0	2644.0	3048.0	4470.0	3589.0	2094.0	345.0	62.0	21538.0	38.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	128351.0	3190.0	15653.0	16189.0	14252.0	15417.0	21425.0	20072.0	15063.0	5302.0	1788.0	126024.0	38.7
операторы, аппаратчики, машинисты установок и машин	122207.0	1490.0	11831.0	15502.0	14924.0	17898.0	23959.0	18949.0	12590.0	4087.0	977.0	120871.0	38.9
неквалифицированные рабочие	95511.0	4134.0	11103.0	11219.0	9739.0	11626.0	16048.0	14536.0	11652.0	3574.0	1880.0	92069.0	38.6
занятые на военной службе	4775.0	28.0	713.0	893.0	771.0	859.0	937.0	374.0	127.0	61.0	12.0	4743.0	34.9
лица, неточно указавшие или не указавшие  занятия 	7954.0	209.0	822.0	1142.0	974.0	1079.0	1235.0	1098.0	967.0	270.0	158.0	7671.0	38.5
Томская область													
Все население в возрасте 15-64 лет, занятое в экономике 	430823.0	9661.0	49407.0	57123.0	52646.0	52440.0	68213.0	63972.0	49358.0	17531.0	10472.0	412428.0	38.8
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	54247.0	203.0	2838.0	5527.0	6652.0	7365.0	9723.0	9608.0	7820.0	2920.0	1591.0	51486.0	41.6
специалисты высшего уровня квалификации	72947.0	347.0	7440.0	10811.0	8810.0	8953.0	10509.0	9997.0	8945.0	4307.0	2828.0	67483.0	39.9
специалисты среднего уровня квалификации	55963.0	738.0	6487.0	7730.0	7257.0	6670.0	8764.0	8369.0	6476.0	2183.0	1289.0	53378.0	38.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10455.0	481.0	1524.0	1295.0	1183.0	1213.0	1451.0	1595.0	1155.0	391.0	167.0	9939.0	37.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	56342.0	2555.0	10462.0	9102.0	7867.0	6713.0	7784.0	6242.0	4029.0	1015.0	573.0	55034.0	35.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	5168.0	165.0	566.0	599.0	567.0	644.0	1140.0	866.0	519.0	91.0	11.0	5124.0	38.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	63759.0	2025.0	8108.0	8572.0	7295.0	6939.0	9596.0	9277.0	7746.0	2840.0	1361.0	61987.0	38.5
операторы, аппаратчики, машинисты установок и машин	64074.0	741.0	5916.0	7773.0	8118.0	8995.0	11986.0	10790.0	6895.0	1969.0	891.0	62973.0	39.2
неквалифицированные рабочие	40171.0	2121.0	5052.0	4577.0	3834.0	3987.0	6049.0	6273.0	5057.0	1595.0	1626.0	37562.0	38.9
занятые на военной службе	1891.0	5.0	258.0	409.0	365.0	331.0	288.0	169.0	47.0	12.0	7.0	1880.0	34.5
лица, неточно указавшие или не указавшие  занятия 	5806.0	280.0	756.0	728.0	698.0	630.0	923.0	786.0	669.0	208.0	128.0	5582.0	37.9
Читинская область													
Все население в возрасте 15-64 лет, занятое в экономике 	410344.0	8541.0	49075.0	59236.0	50331.0	50218.0	65130.0	61396.0	45821.0	14246.0	6350.0	397820.0	38.3
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	40427.0	144.0	1739.0	3844.0	4365.0	5393.0	7639.0	7774.0	6343.0	2259.0	927.0	38557.0	42.2
специалисты высшего уровня квалификации	56619.0	524.0	5979.0	8097.0	6831.0	6988.0	8586.0	8371.0	7037.0	2640.0	1566.0	53220.0	39.4
специалисты среднего уровня квалификации	53771.0	769.0	6417.0	8259.0	6896.0	6718.0	8297.0	7857.0	6029.0	1727.0	802.0	51951.0	38.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12786.0	433.0	1673.0	1752.0	1580.0	1402.0	2070.0	1901.0	1403.0	395.0	177.0	12246.0	37.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	50181.0	1609.0	8466.0	8781.0	6945.0	6062.0	7009.0	6225.0	3826.0	923.0	335.0	49225.0	35.5
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	8120.0	290.0	1038.0	1035.0	909.0	1085.0	1602.0	1160.0	745.0	199.0	57.0	8018.0	37.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	60284.0	1667.0	8753.0	9248.0	6881.0	6607.0	9063.0	8861.0	6573.0	2084.0	547.0	59525.0	37.4
операторы, аппаратчики, машинисты установок и машин	61481.0	705.0	5855.0	7898.0	7925.0	8442.0	11280.0	9814.0	7010.0	1919.0	633.0	60668.0	39.0
неквалифицированные рабочие	44947.0	1955.0	5907.0	5932.0	4628.0	4641.0	6371.0	7156.0	5573.0	1649.0	1135.0	43036.0	38.3
занятые на военной службе	12749.0	41.0	2013.0	3162.0	2273.0	1859.0	1967.0	996.0	333.0	82.0	23.0	12702.0	33.8
лица, неточно указавшие или не указавшие  занятия 	8979.0	404.0	1235.0	1228.0	1098.0	1021.0	1246.0	1281.0	949.0	369.0	148.0	8672.0	37.5
Агинский Бурятский автономный округ													
Все население в возрасте 15-64 лет, занятое в экономике 	20965.0	299.0	2088.0	2834.0	2744.0	3180.0	3785.0	3154.0	2017.0	624.0	240.0	20467.0	38.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2107.0	1.0	72.0	158.0	216.0	335.0	449.0	442.0	302.0	90.0	42.0	2035.0	42.4
специалисты высшего уровня квалификации	3676.0	12.0	324.0	536.0	451.0	555.0	603.0	555.0	423.0	155.0	62.0	3511.0	39.4
специалисты среднего уровня квалификации	2896.0	30.0	302.0	428.0	398.0	509.0	520.0	384.0	224.0	76.0	25.0	2823.0	37.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	600.0	5.0	88.0	99.0	83.0	84.0	99.0	71.0	47.0	17.0	7.0	578.0	36.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	2323.0	75.0	376.0	384.0	338.0	352.0	373.0	243.0	140.0	26.0	16.0	2285.0	35.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1587.0	29.0	124.0	207.0	221.0	243.0	308.0	250.0	151.0	40.0	14.0	1564.0	38.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1334.0	25.0	152.0	168.0	170.0	186.0	235.0	213.0	134.0	39.0	12.0	1321.0	38.3
операторы, аппаратчики, машинисты установок и машин	3325.0	35.0	274.0	413.0	479.0	526.0	656.0	499.0	324.0	94.0	25.0	3296.0	38.8
неквалифицированные рабочие	2685.0	80.0	292.0	351.0	330.0	329.0	490.0	453.0	248.0	76.0	36.0	2626.0	38.2
занятые на военной службе	322.0	-	65.0	69.0	50.0	47.0	38.0	31.0	16.0	6.0	-	321.0	34.2
лица, неточно указавшие или не указавшие  занятия 	110.0	7.0	19.0	21.0	8.0	14.0	14.0	13.0	8.0	5.0	1.0	107.0	35.4
Дальневосточный федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике 	2869370.0	52939.0	298796.0	387306.0	365985.0	362046.0	435065.0	415642.0	339834.0	134598.0	77159.0	2730109.0	39.2
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	331706.0	1172.0	14900.0	31640.0	38097.0	45124.0	59080.0	59604.0	50679.0	21264.0	10146.0	312465.0	42.3
специалисты высшего уровня квалификации	391742.0	2193.0	36338.0	53269.0	48801.0	49990.0	58133.0	55276.0	49245.0	23724.0	14773.0	360708.0	40.2
специалисты среднего уровня квалификации	407301.0	4999.0	43328.0	57753.0	55528.0	52322.0	60083.0	56628.0	48167.0	18152.0	10341.0	386455.0	39.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	82155.0	2580.0	10980.0	11508.0	9935.0	9205.0	11286.0	11995.0	9647.0	3251.0	1768.0	77462.0	38.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	381532.0	14360.0	59012.0	64218.0	54965.0	47581.0	51191.0	43956.0	30872.0	9644.0	5733.0	369141.0	35.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	38942.0	994.0	3686.0	4925.0	4741.0	5561.0	6935.0	6457.0	3987.0	1173.0	483.0	38088.0	38.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	421846.0	11007.0	50115.0	58370.0	51103.0	48948.0	60519.0	60825.0	51643.0	20024.0	9292.0	409687.0	38.7
операторы, аппаратчики, машинисты установок и машин	407433.0	4162.0	35418.0	50676.0	53241.0	54009.0	69302.0	65533.0	49662.0	17659.0	7771.0	397817.0	39.7
неквалифицированные рабочие	277894.0	10179.0	28308.0	30738.0	28303.0	29065.0	38127.0	42159.0	38585.0	17049.0	15381.0	252029.0	40.5
занятые на военной службе	90091.0	296.0	12321.0	18784.0	16293.0	15119.0	14925.0	8172.0	2924.0	851.0	406.0	89381.0	34.9
лица, неточно указавшие или не указавшие  занятия 	38728.0	997.0	4390.0	5425.0	4978.0	5122.0	5484.0	5037.0	4423.0	1807.0	1065.0	36876.0	38.6
Республика Саха (Якутия)													
Все население в возрасте 15-64 лет, занятое в экономике 	418585.0	8539.0	42416.0	55800.0	54395.0	58307.0	71611.0	61865.0	42286.0	14894.0	8472.0	402621.0	38.7
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	50747.0	170.0	1813.0	4675.0	5988.0	7003.0	10121.0	9672.0	7210.0	2784.0	1311.0	48209.0	42.2
специалисты высшего уровня квалификации	61784.0	361.0	6189.0	9108.0	7869.0	8571.0	9878.0	8473.0	6426.0	2999.0	1910.0	57857.0	39.2
специалисты среднего уровня квалификации	63602.0	816.0	7419.0	9308.0	9012.0	8876.0	10115.0	8543.0	6226.0	2249.0	1038.0	61042.0	38.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11739.0	300.0	1452.0	1612.0	1591.0	1475.0	1829.0	1743.0	1155.0	379.0	203.0	11213.0	37.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	50738.0	2149.0	7530.0	7942.0	7258.0	7216.0	7930.0	6047.0	3079.0	1007.0	580.0	49449.0	35.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	9689.0	252.0	655.0	923.0	1148.0	1769.0	2116.0	1600.0	775.0	287.0	164.0	9471.0	39.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	59711.0	1800.0	7116.0	8624.0	7590.0	7742.0	9639.0	8386.0	6117.0	1799.0	898.0	58563.0	37.8
операторы, аппаратчики, машинисты установок и машин	65158.0	665.0	5485.0	8406.0	8835.0	9664.0	12304.0	10762.0	6593.0	1702.0	742.0	64187.0	39.0
неквалифицированные рабочие	42389.0	1942.0	4420.0	4740.0	4701.0	5506.0	7142.0	6280.0	4477.0	1604.0	1577.0	39691.0	38.9
занятые на военной службе	740.0	2.0	106.0	143.0	138.0	143.0	144.0	59.0	5.0	-	-	740.0	34.3
лица, неточно указавшие или не указавшие  занятия 	2288.0	82.0	231.0	319.0	265.0	342.0	393.0	300.0	223.0	84.0	49.0	2199.0	38.2
Приморский край													
Все население в возрасте 15-64 лет, занятое в экономике 	868386.0	15052.0	88483.0	114823.0	111530.0	109383.0	129184.0	122642.0	107054.0	45170.0	25065.0	823008.0	39.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	97807.0	426.0	4932.0	9838.0	11672.0	13513.0	16794.0	16534.0	14425.0	6501.0	3172.0	91899.0	42.0
специалисты высшего уровня квалификации	117420.0	647.0	10148.0	14741.0	14494.0	14955.0	17447.0	16703.0	15933.0	7851.0	4501.0	107550.0	40.7
специалисты среднего уровня квалификации	125184.0	1421.0	12573.0	17263.0	16722.0	16642.0	18458.0	17001.0	15361.0	6207.0	3536.0	118410.0	39.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	23227.0	668.0	3214.0	3191.0	2713.0	2512.0	3147.0	3328.0	2918.0	1001.0	535.0	21783.0	38.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	120803.0	4202.0	17832.0	19410.0	17690.0	14908.0	16448.0	13943.0	10941.0	3476.0	1953.0	116474.0	36.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	8656.0	218.0	826.0	1178.0	1045.0	1148.0	1375.0	1499.0	954.0	331.0	82.0	8443.0	38.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	130993.0	3287.0	15022.0	17534.0	16157.0	15074.0	18454.0	18428.0	16587.0	7158.0	3292.0	126615.0	39.1
операторы, аппаратчики, машинисты установок и машин	118489.0	1179.0	10417.0	14703.0	15995.0	15570.0	19191.0	18318.0	14606.0	5834.0	2676.0	115296.0	39.8
неквалифицированные рабочие	80633.0	2523.0	7767.0	8914.0	7920.0	7980.0	10618.0	12127.0	12442.0	5623.0	4719.0	72466.0	41.2
занятые на военной службе	30895.0	123.0	4234.0	6091.0	5305.0	5215.0	5297.0	3000.0	1049.0	380.0	201.0	30566.0	35.3
лица, неточно указавшие или не указавшие  занятия 	14279.0	358.0	1518.0	1960.0	1817.0	1866.0	1955.0	1761.0	1838.0	808.0	398.0	13506.0	39.1
Хабаровский край													
Все население в возрасте 15-64 лет, занятое в экономике 	629433.0	12683.0	68849.0	86082.0	79813.0	77831.0	90055.0	87636.0	74836.0	31689.0	19959.0	594586.0	39.1
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	72586.0	277.0	3851.0	7255.0	8391.0	9956.0	12196.0	12392.0	10918.0	4912.0	2438.0	68015.0	42.0
специалисты высшего уровня квалификации	96478.0	631.0	9268.0	13027.0	12062.0	11989.0	13746.0	13253.0	12177.0	6080.0	4245.0	88071.0	40.3
специалисты среднего уровня квалификации	79495.0	1043.0	8675.0	11208.0	10881.0	9979.0	11157.0	10957.0	9494.0	3794.0	2307.0	74978.0	39.1
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	17918.0	592.0	2286.0	2454.0	2132.0	2065.0	2344.0	2678.0	2154.0	764.0	449.0	16783.0	38.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	86529.0	3649.0	13842.0	15228.0	12529.0	10561.0	10452.0	9351.0	7111.0	2285.0	1521.0	83501.0	35.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7939.0	206.0	996.0	1177.0	1011.0	948.0	1304.0	1215.0	853.0	167.0	62.0	7814.0	37.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	94188.0	2711.0	12031.0	12935.0	10963.0	10606.0	12770.0	12817.0	11745.0	5179.0	2431.0	91009.0	38.7
операторы, аппаратчики, машинисты установок и машин	79253.0	808.0	7054.0	9824.0	10151.0	10167.0	13201.0	12510.0	10023.0	3742.0	1773.0	76905.0	39.9
неквалифицированные рабочие	60571.0	2375.0	6477.0	6628.0	6114.0	6032.0	7316.0	8788.0	8396.0	4084.0	4361.0	53674.0	40.8
занятые на военной службе	22619.0	54.0	2899.0	4609.0	4018.0	3943.0	3881.0	2098.0	837.0	208.0	72.0	22475.0	35.2
лица, неточно указавшие или не указавшие  занятия 	11857.0	337.0	1470.0	1737.0	1561.0	1585.0	1688.0	1577.0	1128.0	474.0	300.0	11361.0	37.8
Амурская область													
Все население в возрасте 15-64 лет, занятое в экономике 	363927.0	6901.0	39933.0	51579.0	46183.0	44706.0	55339.0	53864.0	43250.0	15310.0	6862.0	350816.0	38.8
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	37428.0	125.0	1620.0	3625.0	4178.0	5068.0	6747.0	6924.0	6000.0	2200.0	941.0	35585.0	42.2
специалисты высшего уровня квалификации	43932.0	115.0	3929.0	6407.0	5646.0	5471.0	6450.0	6318.0	5592.0	2640.0	1364.0	40770.0	40.1
специалисты среднего уровня квалификации	49531.0	703.0	5524.0	7084.0	6721.0	5926.0	7383.0	7355.0	6044.0	1871.0	920.0	47468.0	38.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11721.0	336.0	1346.0	1521.0	1380.0	1403.0	1780.0	1878.0	1459.0	428.0	190.0	11144.0	38.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	48794.0	1755.0	8105.0	8821.0	6798.0	5933.0	6535.0	5495.0	3892.0	959.0	501.0	47668.0	35.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	4317.0	140.0	419.0	529.0	476.0	538.0	703.0	745.0	537.0	143.0	87.0	4203.0	39.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	57254.0	1361.0	7360.0	8534.0	6907.0	6265.0	8180.0	8576.0	6864.0	2316.0	891.0	56148.0	38.2
