4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
занятые на военной службе	7252.0	39.0	885.0	1147.0	1284.0	1387.0	1574.0	607.0	217.0	75.0	37.0	7199.0	35.8
лица, неточно указавшие или не указавшие  занятия 	9617.0	270.0	993.0	1247.0	1189.0	1086.0	1440.0	1384.0	1327.0	393.0	288.0	9149.0	39.3
Костромская область													
Все население в возрасте 15-64 лет, занятое в экономике 	312787.0	7254.0	33402.0	38092.0	36626.0	40644.0	53688.0	47528.0	37271.0	12013.0	6269.0	301293.0	39.1
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	36755.0	162.0	1719.0	3311.0	4146.0	5269.0	7228.0	6616.0	5527.0	1825.0	952.0	35075.0	41.9
специалисты высшего уровня квалификации	40944.0	257.0	3888.0	5292.0	5226.0	5191.0	6604.0	5995.0	5019.0	2180.0	1292.0	38218.0	40.0
специалисты среднего уровня квалификации	41117.0	571.0	4304.0	5132.0	5089.0	5418.0	7050.0	6216.0	4960.0	1521.0	856.0	39304.0	39.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8049.0	358.0	978.0	967.0	907.0	1015.0	1350.0	1157.0	956.0	233.0	128.0	7716.0	38.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	39748.0	1716.0	6716.0	6095.0	5308.0	4945.0	5750.0	4712.0	3314.0	759.0	433.0	38837.0	35.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7727.0	168.0	659.0	782.0	835.0	1180.0	1648.0	1396.0	869.0	145.0	45.0	7613.0	39.3
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	52422.0	1775.0	6687.0	6793.0	5391.0	6107.0	8384.0	8019.0	6448.0	2017.0	801.0	51319.0	38.4
операторы, аппаратчики, машинисты установок и машин	46762.0	714.0	3959.0	5301.0	5638.0	6817.0	9231.0	7578.0	5292.0	1665.0	567.0	45924.0	39.5
неквалифицированные рабочие	34585.0	1471.0	3939.0	3651.0	3322.0	3954.0	5542.0	5377.0	4626.0	1562.0	1141.0	32717.0	39.5
занятые на военной службе	2494.0	4.0	269.0	466.0	453.0	515.0	529.0	190.0	40.0	20.0	8.0	2486.0	35.4
лица, неточно указавшие или не указавшие  занятия 	2184.0	58.0	284.0	302.0	311.0	233.0	372.0	272.0	220.0	86.0	46.0	2084.0	37.8
Курская область													
Все население в возрасте 15-64 лет, занятое в экономике 	477108.0	7702.0	45248.0	59226.0	58922.0	65843.0	83900.0	75089.0	56374.0	17296.0	7508.0	462700.0	39.2
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51418.0	98.0	2043.0	4442.0	5577.0	6995.0	9931.0	9588.0	8461.0	2918.0	1365.0	48834.0	42.6
специалисты высшего уровня квалификации	69551.0	444.0	6328.0	9824.0	9219.0	9551.0	11314.0	9480.0	8227.0	3305.0	1859.0	65586.0	39.5
специалисты среднего уровня квалификации	52920.0	797.0	5724.0	7188.0	7114.0	6996.0	8741.0	7564.0	6280.0	1666.0	850.0	51197.0	38.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12069.0	306.0	1540.0	1472.0	1265.0	1668.0	2193.0	1871.0	1262.0	280.0	212.0	11622.0	38.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	59726.0	2000.0	8706.0	10017.0	8777.0	8387.0	8722.0	7271.0	4500.0	944.0	402.0	58705.0	35.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	14573.0	306.0	842.0	1400.0	1856.0	2331.0	2940.0	2530.0	1867.0	374.0	127.0	14292.0	40.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	74513.0	1374.0	7718.0	8566.0	7970.0	9828.0	13300.0	12977.0	9215.0	2778.0	787.0	73392.0	39.4
