8. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Все население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
65-69	9565.0	8379.0	7740.0	639.0	47.0	913.0	226.0	-	12153.0	5965.0	5550.0	415.0	211.0	5414.0	562.0	1.0
70 и более	12200.0	9455.0	8602.0	853.0	28.0	2532.0	184.0	1.0	20484.0	5284.0	4832.0	452.0	369.0	14225.0	605.0	1.0
возраст не указан	20.0	7.0	6.0	1.0	8.0	-	1.0	4.0	14.0	11.0	9.0	2.0	1.0	-	-	2.0
Белорусы	353808.0	269850.0	246422.0	23428.0	39203.0	17603.0	26041.0	1111.0	412372.0	239130.0	219033.0	20097.0	33333.0	92499.0	46576.0	834.0
в том числе в возрасте, лет:																
до 16	3.0	3.0	2.0	1.0		-	-		3.0	2.0	-	2.0		1.0	-	
16-17	5312.0	26.0	15.0	11.0	5208.0	3.0	4.0	71.0	4862.0	87.0	38.0	49.0	4712.0	3.0	2.0	58.0
18-19	5226.0	149.0	90.0	59.0	5029.0	1.0	6.0	41.0	4908.0	612.0	396.0	216.0	4258.0	1.0	18.0	19.0
20-24	15984.0	4331.0	3447.0	884.0	11271.0	8.0	248.0	126.0	14576.0	6325.0	5068.0	1257.0	7627.0	43.0	514.0	67.0
25-29	21090.0	13268.0	11304.0	1964.0	6424.0	33.0	1250.0	115.0	19264.0	13415.0	11563.0	1852.0	3629.0	201.0	1962.0	57.0
30-34	27715.0	21329.0	18751.0	2578.0	3561.0	75.0	2616.0	134.0	26368.0	19972.0	17770.0	2202.0	2211.0	517.0	3601.0	67.0
35-39	36828.0	30471.0	27451.0	3020.0	2314.0	212.0	3683.0	148.0	35961.0	27943.0	25623.0	2320.0	1787.0	1105.0	5050.0	76.0
40-44	45704.0	38679.0	35290.0	3389.0	1873.0	467.0	4548.0	137.0	46977.0	35889.0	33281.0	2608.0	1751.0	2338.0	6913.0	86.0
45-49	39907.0	34011.0	31268.0	2743.0	1239.0	588.0	3973.0	96.0	41695.0	30947.0	28675.0	2272.0	1321.0	3345.0	6015.0	67.0
50-54	34920.0	29951.0	27594.0	2357.0	772.0	976.0	3148.0	73.0	40617.0	28010.0	25978.0	2032.0	1171.0	5314.0	6066.0	56.0
55-59	22902.0	19552.0	18113.0	1439.0	407.0	1022.0	1880.0	41.0	29007.0	18184.0	16916.0	1268.0	668.0	6261.0	3854.0	40.0
60-64	35498.0	29884.0	27765.0	2119.0	529.0	2763.0	2291.0	31.0	44668.0	24507.0	22920.0	1587.0	944.0	13927.0	5240.0	50.0
65-69	28668.0	23597.0	22096.0	1501.0	310.0	3281.0	1450.0	30.0	37846.0	17344.0	16124.0	1220.0	886.0	16101.0	3457.0	58.0
70 и более	33967.0	24555.0	23195.0	1360.0	260.0	8170.0	930.0	52.0	65536.0	15848.0	14639.0	1209.0	2355.0	43335.0	3875.0	123.0
возраст не указан	84.0	44.0	41.0	3.0	6.0	4.0	14.0	16.0	84.0	45.0	42.0	3.0	13.0	7.0	9.0	10.0
