10. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И УРОВНЮ ОБРАЗОВАНИЯ												
												
												
	Численность населения соответ-ствующей националь-ности	в том числе имеют образование								Не имеют начального общего образования	из них негра-мотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Все население в возрасте 15 лет и более												
15-17	29412.0	-	-	38.0	353.0	388.0	5614.0	18960.0	3700.0	210.0	92.0	149.0
18-19	17329.0	-	8.0	1643.0	1290.0	861.0	9605.0	3218.0	573.0	79.0	44.0	52.0
20-24	46053.0	90.0	3679.0	3963.0	6235.0	3478.0	19974.0	6980.0	1254.0	197.0	77.0	203.0
25-29	55218.0	170.0	6870.0	1395.0	10069.0	5304.0	23357.0	6477.0	1076.0	201.0	59.0	299.0
30-34	76580.0	208.0	9784.0	1463.0	17369.0	9132.0	29896.0	6968.0	1144.0	231.0	71.0	385.0
35-39	80023.0	256.0	12242.0	1390.0	19383.0	10348.0	27684.0	6787.0	1330.0	207.0	76.0	396.0
40-44	64766.0	227.0	10970.0	1042.0	16287.0	8347.0	20353.0	5715.0	1311.0	180.0	77.0	334.0
45-49	34402.0	150.0	6476.0	562.0	8738.0	4224.0	9491.0	3518.0	961.0	123.0	56.0	159.0
50-54	18690.0	110.0	3685.0	331.0	4623.0	2002.0	4681.0	2250.0	804.0	104.0	61.0	100.0
55-59	7557.0	65.0	1570.0	104.0	1683.0	727.0	1722.0	998.0	569.0	82.0	55.0	37.0
60-64	8712.0	68.0	1399.0	101.0	1616.0	754.0	1598.0	1508.0	1419.0	231.0	160.0	18.0
65-69	6174.0	44.0	791.0	64.0	856.0	423.0	806.0	1078.0	1683.0	408.0	309.0	21.0
70 и более	7173.0	53.0	675.0	41.0	684.0	286.0	750.0	1076.0	2597.0	989.0	797.0	22.0
Возраст не указан	261.0	1.0	16.0	7.0	34.0	26.0	60.0	28.0	6.0	2.0	-	81.0
Марийцы	501365.0	419.0	39360.0	6938.0	119297.0	110518.0	82876.0	81546.0	52721.0	7520.0	4195.0	170.0
в том числе в возрасте, лет:												
15-17	33761.0	-	-	1.0	175.0	589.0	5716.0	23861.0	3265.0	147.0	116.0	7.0
18-19	19960.0	-	-	499.0	2822.0	3530.0	9196.0	3601.0	230.0	79.0	65.0	3.0
20-24	44251.0	12.0	2628.0	3129.0	12919.0	11357.0	8690.0	4736.0	549.0	210.0	189.0	21.0
25-29	41432.0	58.0	4729.0	858.0	12907.0	10910.0	7011.0	4369.0	408.0	167.0	143.0	15.0
30-34	42661.0	55.0	4531.0	455.0	15661.0	11981.0	6957.0	2582.0	263.0	164.0	140.0	12.0
35-39	55644.0	55.0	5729.0	512.0	20293.0	15918.0	9893.0	2789.0	292.0	144.0	117.0	19.0
40-44	66281.0	54.0	6537.0	420.0	21150.0	19488.0	13898.0	4101.0	428.0	185.0	162.0	20.0
45-49	55010.0	54.0	5524.0	350.0	15113.0	16838.0	10169.0	5974.0	820.0	149.0	117.0	19.0
50-54	38711.0	46.0	3850.0	233.0	9379.0	10497.0	5750.0	7258.0	1570.0	114.0	93.0	14.0
55-59	15858.0	13.0	1749.0	107.0	2951.0	3158.0	1897.0	3861.0	2031.0	82.0	51.0	9.0
60-64	25779.0	21.0	1863.0	122.0	2637.0	3217.0	1849.0	7806.0	7930.0	324.0	155.0	10.0
65-69	22142.0	27.0	1208.0	75.0	1560.0	1683.0	946.0	4851.0	10690.0	1097.0	510.0	5.0
70 и более	39875.0	24.0	1012.0	177.0	1730.0	1352.0	904.0	5757.0	24245.0	4658.0	2337.0	16.0
Возраст не указан	37.0	-	1.0	-	2.0	9.0	6.0	6.0	5.0	1.0	-	7.0
Немцы	521151.0	979.0	53696.0	12326.0	133344.0	78132.0	92189.0	77393.0	61777.0	11058.0	6656.0	257.0
в том числе в возрасте, лет:												
15-17	29076.0	-	-	9.0	206.0	473.0	5752.0	19640.0	2845.0	121.0	84.0	30.0
18-19	21472.0	-	3.0	1073.0	2594.0	2238.0	11315.0	3734.0	432.0	70.0	49.0	13.0
