10. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И УРОВНЮ ОБРАЗОВАНИЯ												
												
												
	Численность населения соответ-ствующей националь-ности	в том числе имеют образование								Не имеют начального общего образования	из них негра-мотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Все население в возрасте 15 лет и более												
50-54	9466.0	4.0	777.0	65.0	1593.0	3232.0	1562.0	1885.0	309.0	39.0	33.0	-
55-59	3827.0	3.0	348.0	39.0	549.0	1073.0	492.0	956.0	347.0	20.0	18.0	-
60-64	6856.0	3.0	475.0	37.0	584.0	1236.0	493.0	1905.0	2040.0	81.0	55.0	2.0
65-69	6047.0	1.0	297.0	19.0	355.0	777.0	189.0	1261.0	3025.0	122.0	69.0	1.0
70 и более	7213.0	1.0	260.0	43.0	395.0	504.0	160.0	1217.0	4368.0	265.0	116.0	-
Возраст не указан	8.0	-	-	-	-	-	2.0	4.0	1.0	-	-	1.0
Азербайджанцы	56927.0	90.0	5985.0	1227.0	10303.0	8325.0	17214.0	10052.0	3231.0	449.0	317.0	51.0
в том числе в возрасте, лет:												
15-17	4948.0	-	-	-	41.0	82.0	704.0	3411.0	656.0	47.0	28.0	7.0
18-19	2529.0	-	-	174.0	180.0	197.0	1229.0	593.0	140.0	12.0	9.0	4.0
20-24	5722.0	4.0	437.0	414.0	577.0	545.0	2348.0	1113.0	250.0	32.0	25.0	2.0
25-29	5495.0	7.0	555.0	119.0	868.0	812.0	2235.0	738.0	136.0	20.0	12.0	5.0
30-34	7635.0	16.0	756.0	129.0	1626.0	1418.0	2789.0	761.0	115.0	15.0	10.0	10.0
35-39	8803.0	21.0	1065.0	124.0	2071.0	1695.0	2837.0	801.0	158.0	21.0	17.0	10.0
40-44	8366.0	12.0	1229.0	106.0	2025.0	1550.0	2448.0	801.0	172.0	19.0	14.0	4.0
45-49	5057.0	14.0	823.0	70.0	1238.0	916.0	1261.0	569.0	143.0	21.0	15.0	2.0
50-54	2889.0	10.0	508.0	52.0	723.0	492.0	601.0	364.0	125.0	9.0	6.0	5.0
55-59	1197.0	2.0	179.0	11.0	291.0	178.0	255.0	162.0	106.0	13.0	9.0	-
60-64	1666.0	3.0	223.0	13.0	337.0	233.0	251.0	293.0	283.0	30.0	16.0	-
65-69	1287.0	-	118.0	11.0	189.0	144.0	148.0	218.0	394.0	64.0	41.0	1.0
70 и более	1333.0	1.0	92.0	4.0	137.0	63.0	108.0	228.0	553.0	146.0	115.0	1.0
Возраст не указан	5.0	-	-	-	2.0	-	2.0	-	-	-	-	1.0
Марийцы	130279.0	44.0	6375.0	810.0	22616.0	40942.0	21699.0	24290.0	12472.0	1028.0	718.0	3.0
в том числе в возрасте, лет:												
15-17	9712.0	-	-	-	45.0	223.0	951.0	7077.0	1347.0	69.0	58.0	-
18-19	4377.0	-	-	34.0	561.0	1037.0	1345.0	1238.0	128.0	34.0	29.0	-
20-24	11251.0	3.0	292.0	149.0	2134.0	3521.0	2545.0	2182.0	325.0	100.0	93.0	-
25-29	11310.0	6.0	466.0	105.0	2142.0	3855.0	2394.0	2032.0	230.0	80.0	72.0	-
30-34	12361.0	6.0	534.0	73.0	3037.0	4650.0	2622.0	1222.0	146.0	71.0	65.0	-
35-39	16004.0	4.0	919.0	96.0	4155.0	6141.0	3293.0	1214.0	130.0	51.0	44.0	1.0
40-44	18252.0	7.0	1126.0	77.0	4020.0	7335.0	3884.0	1544.0	176.0	81.0	71.0	2.0
45-49	14503.0	7.0	1032.0	79.0	2952.0	6086.0	2370.0	1603.0	315.0	59.0	45.0	-
50-54	9541.0	6.0	711.0	64.0	1728.0	3855.0	1184.0	1474.0	472.0	47.0	43.0	-
55-59	3858.0	-	332.0	29.0	570.0	1293.0	348.0	769.0	490.0	27.0	19.0	-
60-64	6502.0	2.0	438.0	35.0	542.0	1564.0	387.0	1529.0	1946.0	59.0	31.0	-
65-69	5470.0	2.0	285.0	27.0	366.0	818.0	195.0	1144.0	2520.0	113.0	61.0	-
70 и более	7138.0	1.0	240.0	42.0	364.0	564.0	181.0	1262.0	4247.0	237.0	87.0	-
Возраст не указан	4.0	-	-	-	-	1.0	-	1.0	1.0	-	-	1.0
Немцы	105014.0	57.0	5017.0	885.0	18926.0	23574.0	18965.0	19589.0	15489.0	2501.0	1633.0	11.0
в том числе в возрасте, лет:												
15-17	6846.0	-	-	-	31.0	115.0	716.0	4915.0	1006.0	62.0	43.0	1.0
18-19	3540.0	-	-	48.0	375.0	513.0	1307.0	1032.0	227.0	38.0	26.0	-
20-24	10579.0	4.0	364.0	303.0	1916.0	2300.0	2482.0	2617.0	521.0	72.0	63.0	-
25-29	8706.0	5.0	489.0	81.0	1699.0	2217.0	2049.0	1884.0	230.0	49.0	39.0	3.0
30-34	6926.0	6.0	370.0	65.0	1782.0	1963.0	1657.0	894.0	132.0	56.0	52.0	1.0
35-39	8835.0	-	493.0	68.0	2294.0	2487.0	2501.0	804.0	123.0	64.0	53.0	1.0
40-44	13161.0	8.0	722.0	77.0	3352.0	4095.0	3361.0	1254.0	230.0	59.0	50.0	3.0
45-49	13373.0	6.0	806.0	90.0	3144.0	4482.0	2620.0	1722.0	436.0	67.0	60.0	-
50-54	9841.0	12.0	899.0	73.0	2262.0	3017.0	1449.0	1471.0	601.0	57.0	44.0	-
55-59	2397.0	5.0	199.0	24.0	513.0	590.0	228.0	430.0	384.0	24.0	18.0	-
60-64	6890.0	5.0	338.0	27.0	791.0	986.0	298.0	1129.0	3080.0	236.0	143.0	-
65-69	5643.0	1.0	204.0	14.0	423.0	484.0	164.0	638.0	3120.0	595.0	370.0	-
70 и более	8277.0	5.0	133.0	15.0	344.0	325.0	133.0	799.0	5399.0	1122.0	672.0	2.0
Возраст не указан	3.0	-	-	1.0	-	-	2.0	-	-	-	-	-
Кабардинцы	97886.0	160.0	10735.0	2707.0	22194.0	14194.0	26685.0	14650.0	5940.0	618.0	450.0	3.0
в том числе в возрасте, лет:												
15-17	8995.0	-	-	-	62.0	89.0	2201.0	6048.0	565.0	30.0	18.0	-
18-19	5077.0	-	-	372.0	374.0	332.0	3430.0	528.0	29.0	12.0	11.0	-
20-24	11814.0	13.0	1260.0	1360.0	2282.0	1422.0	4252.0	1125.0	75.0	24.0	23.0	1.0
25-29	10047.0	24.0	1713.0	293.0	2442.0	1698.0	2853.0	935.0	61.0	28.0	27.0	-
30-34	10490.0	19.0	1282.0	179.0	3215.0	2101.0	2842.0	753.0	73.0	26.0	24.0	-
35-39	11863.0	20.0	1383.0	155.0	3914.0	2390.0	3106.0	774.0	92.0	27.0	26.0	2.0
40-44	10938.0	22.0	1402.0	120.0	3635.0	2145.0	2831.0	664.0	93.0	26.0	23.0	-
45-49	7172.0	19.0	1137.0	90.0	2262.0	1353.0	1674.0	544.0	79.0	14.0	14.0	-
50-54	4683.0	11.0	729.0	47.0	1373.0	811.0	1067.0	505.0	133.0	7.0	7.0	-
55-59	2542.0	9.0	400.0	26.0	632.0	419.0	511.0	339.0	189.0	17.0	14.0	-
60-64	5145.0	10.0	641.0	20.0	956.0	715.0	897.0	906.0	962.0	38.0	26.0	-
65-69	4287.0	6.0	424.0	20.0	587.0	425.0	605.0	755.0	1392.0	73.0	47.0	-
70 и более	4833.0	7.0	364.0	25.0	460.0	294.0	416.0	774.0	2197.0	296.0	190.0	-
Возраст не указан	4.0	-	-	-	1.0	-	1.0	-	-	-	-	2.0
Осетины	70196.0	126.0	8473.0	2713.0	14093.0	10684.0	16296.0	10870.0	6346.0	516.0	357.0	79.0
в том числе в возрасте, лет:												
15-17	5008.0	-	-	1.0	74.0	76.0	1031.0	3392.0	419.0	14.0	6.0	1.0
18-19	2812.0	-	-	348.0	262.0	241.0	1557.0	359.0	38.0	6.0	4.0	1.0
20-24	6778.0	9.0	895.0	1096.0	1036.0	893.0	2072.0	657.0	100.0	18.0	17.0	2.0
25-29	6557.0	16.0	1153.0	344.0	1422.0	1211.0	1677.0	604.0	105.0	19.0	18.0	6.0
30-34	6520.0	19.0	876.0	221.0	1788.0	1359.0	1675.0	458.0	95.0	23.0	18.0	6.0
35-39	7105.0	17.0	1018.0	197.0	2047.0	1479.0	1739.0	483.0	107.0	12.0	9.0	6.0
40-44	7228.0	16.0	1068.0	151.0	2097.0	1528.0	1720.0	496.0	131.0	12.0	10.0	9.0
45-49	5585.0	6.0	936.0	93.0	1584.0	1116.0	1199.0	485.0	141.0	13.0	11.0	12.0
50-54	4386.0	7.0	734.0	79.0	1181.0	801.0	966.0	454.0	146.0	10.0	8.0	8.0
55-59	2644.0	6.0	367.0	46.0	591.0	458.0	544.0	403.0	208.0	8.0	4.0	13.0
60-64	4933.0	14.0	581.0	57.0	901.0	662.0	857.0	951.0	855.0	45.0	30.0	10.0
65-69	4527.0	8.0	380.0	29.0	580.0	494.0	618.0	995.0	1358.0	64.0	44.0	1.0
70 и более	6113.0	8.0	465.0	51.0	530.0	366.0	641.0	1133.0	2643.0	272.0	178.0	4.0
Возраст не указан	2.0	-	-	-	-	-	-	-	-	-	-	2.0
Даргинцы	112158.0	132.0	8672.0	2365.0	12151.0	8386.0	34285.0	30747.0	14151.0	1267.0	876.0	2.0
в том числе в возрасте, лет:												
15-17	11486.0	-	-	1.0	49.0	81.0	1445.0	8282.0	1567.0	60.0	38.0	1.0
18-19	6070.0	-	-	289.0	234.0	209.0	3002.0	1738.0	550.0	48.0	35.0	-
20-24	14502.0	11.0	755.0	985.0	979.0	814.0	5870.0	3782.0	1244.0	62.0	46.0	-
25-29	13531.0	12.0	1005.0	331.0	1252.0	1057.0	5601.0	3328.0	899.0	46.0	33.0	-
30-34	13635.0	11.0	930.0	216.0	1949.0	1396.0	5458.0	2894.0	730.0	51.0	41.0	-
35-39	13060.0	15.0	1251.0	174.0	2278.0	1420.0	4719.0	2407.0	748.0	48.0	42.0	-
40-44	11779.0	22.0	1390.0	125.0	1881.0	1261.0	3855.0	2414.0	787.0	44.0	36.0	-
45-49	7211.0	17.0	939.0	66.0	1127.0	814.0	1877.0	1720.0	628.0	23.0	17.0	-
50-54	4710.0	12.0	793.0	72.0	790.0	456.0	1009.0	1082.0	468.0	27.0	13.0	1.0
55-59	2200.0	9.0	395.0	19.0	339.0	176.0	366.0	508.0	367.0	21.0	11.0	-
60-64	3857.0	11.0	536.0	32.0	436.0	294.0	458.0	923.0	1094.0	73.0	49.0	-
65-69	4251.0	7.0	406.0	26.0	393.0	220.0	336.0	839.0	1856.0	168.0	97.0	-
70 и более	5866.0	5.0	272.0	29.0	444.0	188.0	289.0	830.0	3213.0	596.0	418.0	-
Возраст не указан	10.0	-	1.0	-	-	-	-	1.0	1.0	1.0	1.0	6.0
Буряты	86681.0	57.0	11142.0	2173.0	12730.0	11615.0	26036.0	15811.0	6101.0	989.0	730.0	27.0
в том числе в возрасте, лет:												
15-17	8856.0	-	-	-	38.0	56.0	976.0	6801.0	904.0	81.0	66.0	-
18-19	3300.0	-	-	95.0	270.0	329.0	1691.0	726.0	144.0	44.0	38.0	1.0
20-24	9162.0	4.0	640.0	510.0	1288.0	1093.0	3818.0	1431.0	267.0	103.0	91.0	8.0
25-29	8812.0	6.0	1042.0	329.0	1304.0	1338.0	3424.0	1140.0	152.0	72.0	61.0	5.0
30-34	8120.0	5.0	898.0	263.0	1482.0	1371.0	3293.0	675.0	85.0	46.0	39.0	2.0
35-39	9662.0	6.0	1564.0	248.0	1825.0	1686.0	3531.0	632.0	98.0	69.0	58.0	3.0
40-44	11017.0	6.0	1850.0	251.0	1960.0	1896.0	3930.0	892.0	161.0	70.0	61.0	1.0
45-49	9016.0	10.0	1626.0	177.0	1688.0	1551.0	2730.0	955.0	207.0	70.0	56.0	2.0
50-54	6065.0	3.0	1380.0	139.0	1160.0	928.0	1555.0	687.0	174.0	38.0	33.0	1.0
55-59	2444.0	3.0	567.0	62.0	461.0	392.0	433.0	320.0	186.0	20.0	14.0	-
60-64	3590.0	7.0	801.0	40.0	529.0	484.0	360.0	580.0	740.0	49.0	32.0	-
65-69	2548.0	4.0	459.0	21.0	334.0	259.0	144.0	375.0	875.0	77.0	48.0	-
70 и более	4089.0	3.0	315.0	38.0	391.0	232.0	151.0	597.0	2108.0	250.0	133.0	4.0
Возраст не указан	8.0	-	-	-	2.0	-	1.0	1.0	-	-	-	4.0
Якуты	95794.0	83.0	6763.0	1963.0	18546.0	17694.0	27992.0	14569.0	6713.0	1344.0	844.0	127.0
в том числе в возрасте, лет:												
15-17	10310.0	-	-	4.0	27.0	47.0	1542.0	7220.0	1404.0	47.0	43.0	19.0
18-19	5148.0	-	1.0	129.0	301.0	413.0	3483.0	716.0	83.0	20.0	15.0	2.0
20-24	9737.0	2.0	380.0	551.0	1603.0	1686.0	4332.0	925.0	190.0	60.0	50.0	8.0
25-29	8329.0	12.0	512.0	269.0	1693.0	1933.0	2849.0	863.0	139.0	52.0	46.0	7.0
30-34	9021.0	5.0	456.0	188.0	1996.0	2227.0	3446.0	543.0	101.0	43.0	37.0	16.0
35-39	11108.0	8.0	805.0	228.0	2879.0	2850.0	3674.0	498.0	107.0	41.0	35.0	18.0
40-44	12485.0	12.0	1113.0	181.0	3236.0	3075.0	3848.0	738.0	206.0	59.0	53.0	17.0
45-49	9782.0	13.0	949.0	133.0	2622.0	2352.0	2597.0	788.0	273.0	39.0	32.0	16.0
50-54	6340.0	6.0	772.0	96.0	1717.0	1464.0	1265.0	673.0	309.0	28.0	22.0	10.0
55-59	3274.0	3.0	521.0	62.0	824.0	674.0	487.0	384.0	272.0	43.0	27.0	4.0
60-64	2990.0	9.0	503.0	38.0	609.0	463.0	238.0	348.0	677.0	103.0	62.0	2.0
65-69	3156.0	12.0	461.0	40.0	576.0	306.0	135.0	388.0	988.0	249.0	134.0	1.0
70 и более	4114.0	1.0	290.0	44.0	463.0	204.0	96.0	485.0	1964.0	560.0	288.0	7.0
Возраст не указан	11.0	-	1.0	-	1.0	-	-	1.0	1.0	-	-	7.0
Кумыки	73496.0	119.0	6833.0	2020.0	12701.0	9636.0	21621.0	14750.0	5218.0	559.0	383.0	39.0
в том числе в возрасте, лет:												
15-17	7798.0	-	-	1.0	57.0	124.0	1512.0	5496.0	551.0	45.0	15.0	12.0
18-19	4224.0	-	-	316.0	261.0	298.0	2424.0	780.0	131.0	10.0	8.0	4.0
20-24	9440.0	5.0	832.0	934.0	1087.0	1132.0	3761.0	1365.0	282.0	37.0	28.0	5.0
25-29	8201.0	12.0	891.0	272.0	1326.0	1229.0	3040.0	1197.0	211.0	21.0	17.0	2.0
30-34	8001.0	8.0	747.0	128.0	1760.0	1484.0	2696.0	973.0	182.0	21.0	17.0	2.0
35-39	8600.0	21.0	839.0	138.0	2165.0	1595.0	2660.0	945.0	201.0	31.0	25.0	5.0
40-44	8213.0	18.0	1055.0	77.0	2147.0	1406.0	2254.0	1031.0	199.0	26.0	21.0	-
45-49	5564.0	13.0	788.0	51.0	1430.0	924.0	1369.0	775.0	201.0	13.0	6.0	-
50-54	3711.0	15.0	606.0	51.0	973.0	520.0	781.0	571.0	178.0	15.0	11.0	1.0
55-59	1808.0	3.0	320.0	11.0	431.0	272.0	323.0	273.0	168.0	6.0	3.0	1.0
60-64	2550.0	10.0	347.0	14.0	457.0	313.0	346.0	456.0	574.0	32.0	18.0	1.0
65-69	2331.0	9.0	224.0	11.0	305.0	198.0	235.0	413.0	856.0	78.0	53.0	2.0
70 и более	3055.0	5.0	184.0	16.0	302.0	141.0	220.0	475.0	1484.0	224.0	161.0	4.0
Возраст не указан	3.0	-	-	-	-	1.0	2.0	-	-	-	-	-
Ингуши	69362.0	187.0	6863.0	3912.0	8947.0	7476.0	24058.0	11283.0	4806.0	1666.0	932.0	164.0
в том числе в возрасте, лет:												
15-17	7222.0	-	-	-	120.0	135.0	1625.0	4544.0	714.0	39.0	5.0	45.0
18-19	4291.0	-	1.0	602.0	386.0	259.0	2399.0	541.0	84.0	13.0	8.0	6.0
20-24	9810.0	18.0	853.0	1390.0	1141.0	963.0	4262.0	938.0	215.0	17.0	9.0	13.0
25-29	8476.0	27.0	1255.0	661.0	1150.0	1035.0	3331.0	795.0	175.0	35.0	13.0	12.0
30-34	8115.0	44.0	1053.0	420.0	1357.0	1205.0	3106.0	718.0	155.0	44.0	18.0	13.0
35-39	7424.0	19.0	1022.0	291.0	1287.0	1093.0	2784.0	725.0	146.0	39.0	20.0	18.0
40-44	7266.0	34.0	950.0	232.0	1296.0	1096.0	2579.0	778.0	251.0	43.0	16.0	7.0
45-49	5223.0	17.0	646.0	150.0	984.0	741.0	1712.0	661.0	265.0	43.0	19.0	4.0
50-54	3191.0	13.0	451.0	82.0	503.0	431.0	969.0	456.0	239.0	43.0	15.0	4.0
55-59	1602.0	5.0	181.0	34.0	241.0	188.0	436.0	257.0	225.0	31.0	13.0	4.0
60-64	2092.0	8.0	256.0	25.0	241.0	160.0	361.0	354.0	558.0	124.0	58.0	5.0
65-69	1951.0	1.0	126.0	9.0	131.0	107.0	262.0	255.0	777.0	274.0	134.0	9.0
70 и более	2699.0	1.0	69.0	16.0	110.0	63.0	232.0	261.0	1002.0	921.0	604.0	24.0
Возраст не указан	8.0	-	-	-	-	-	2.0	1.0	-	-	-	5.0
Лезгины	75549.0	153.0	9163.0	1946.0	13943.0	7705.0	27866.0	10404.0	3854.0	512.0	357.0	3.0
в том числе в возрасте, лет:												
15-17	7643.0	-	-	-	56.0	80.0	1417.0	5603.0	469.0	18.0	13.0	-
18-19	3875.0	-	-	290.0	251.0	220.0	2624.0	416.0	59.0	14.0	13.0	1.0
20-24	9013.0	12.0	695.0	811.0	1129.0	773.0	4915.0	563.0	86.0	29.0	25.0	-
25-29	8455.0	16.0	989.0	231.0	1437.0	971.0	4232.0	461.0	96.0	22.0	21.0	-
30-34	8517.0	17.0	960.0	169.0	1941.0	1140.0	3740.0	423.0	100.0	26.0	23.0	1.0
35-39	9078.0	18.0	1274.0	136.0	2422.0	1292.0	3383.0	418.0	116.0	19.0	16.0	-
40-44	8622.0	22.0	1575.0	105.0	2309.0	1218.0	2865.0	409.0	98.0	21.0	18.0	-
45-49	5453.0	23.0	1044.0	59.0	1522.0	760.0	1634.0	307.0	94.0	10.0	7.0	-
50-54	3470.0	18.0	850.0	47.0	898.0	458.0	888.0	221.0	84.0	6.0	6.0	-
55-59	1429.0	8.0	387.0	14.0	352.0	144.0	355.0	109.0	58.0	2.0	-	-
60-64	2681.0	6.0	568.0	31.0	556.0	225.0	596.0	329.0	349.0	21.0	12.0	-
65-69	3190.0	7.0	429.0	29.0	532.0	254.0	628.0	484.0	768.0	58.0	31.0	1.0
70 и более	4123.0	6.0	392.0	24.0	538.0	170.0	589.0	661.0	1477.0	266.0	172.0	-
Возраст не указан	3.0	-	-	1.0	1.0	-	-	1.0	-	-	-	-
Коми	58037.0	28.0	2193.0	363.0	10233.0	15912.0	8099.0	14476.0	6214.0	511.0	322.0	8.0
в том числе в возрасте, лет:												
15-17	4488.0	-	-	-	4.0	37.0	197.0	3513.0	693.0	44.0	19.0	-
18-19	1792.0	-	-	3.0	158.0	329.0	468.0	711.0	106.0	17.0	14.0	-
20-24	4906.0	1.0	112.0	74.0	816.0	1218.0	889.0	1517.0	243.0	35.0	30.0	1.0
25-29	4722.0	-	184.0	39.0	793.0	1322.0	887.0	1315.0	151.0	30.0	23.0	1.0
30-34	4904.0	4.0	155.0	31.0	1100.0	1464.0	1073.0	945.0	91.0	41.0	32.0	-
35-39	6841.0	7.0	247.0	43.0	1670.0	2278.0	1387.0	1046.0	128.0	34.0	25.0	1.0
40-44	8997.0	5.0	361.0	55.0	2099.0	3117.0	1616.0	1461.0	233.0	49.0	33.0	1.0
45-49	6838.0	3.0	339.0	28.0	1425.0	2603.0	781.0	1320.0	302.0	37.0	25.0	-
50-54	4570.0	4.0	318.0	25.0	938.0	1541.0	446.0	979.0	295.0	22.0	18.0	2.0
55-59	1560.0	1.0	135.0	5.0	296.0	512.0	122.0	316.0	157.0	16.0	15.0	-
60-64	2688.0	-	150.0	15.0	350.0	704.0	105.0	536.0	796.0	32.0	14.0	-
65-69	2709.0	2.0	92.0	19.0	296.0	499.0	65.0	397.0	1280.0	58.0	26.0	1.0
70 и более	3022.0	1.0	100.0	26.0	288.0	288.0	63.0	420.0	1739.0	96.0	48.0	1.0
Возраст не указан	10.0	-	1.0	-	1.0	-	1.0	2.0	3.0	1.0	1.0	1.0
Тувинцы	42600.0	8.0	1736.0	341.0	6463.0	7030.0	11724.0	11035.0	3776.0	485.0	324.0	2.0
в том числе в возрасте, лет:												
15-17	5229.0	-	-	-	16.0	78.0	471.0	3977.0	648.0	39.0	35.0	-
18-19	2309.0	-	-	8.0	149.0	271.0	1086.0	681.0	84.0	29.0	21.0	1.0
20-24	5535.0	-	114.0	74.0	699.0	896.0	2355.0	1173.0	192.0	32.0	28.0	-
25-29	5288.0	-	186.0	47.0	711.0	992.0	2017.0	1139.0	156.0	40.0	33.0	-
30-34	4887.0	-	174.0	51.0	848.0	903.0	1808.0	914.0	159.0	30.0	27.0	-
35-39	4633.0	1.0	229.0	47.0	1018.0	942.0	1457.0	763.0	146.0	30.0	25.0	-
40-44	4118.0	1.0	220.0	27.0	959.0	916.0	1100.0	674.0	199.0	22.0	16.0	-
45-49	2907.0	1.0	194.0	25.0	675.0	673.0	619.0	505.0	189.0	26.0	22.0	-
50-54	2088.0	1.0	182.0	13.0	523.0	519.0	360.0	313.0	166.0	11.0	5.0	-
55-59	1877.0	3.0	162.0	23.0	398.0	404.0	222.0	331.0	308.0	26.0	15.0	-
60-64	1978.0	1.0	166.0	13.0	288.0	329.0	156.0	343.0	631.0	51.0	30.0	-
65-69	930.0	-	69.0	4.0	108.0	82.0	55.0	143.0	431.0	37.0	20.0	1.0
70 и более	821.0	-	40.0	9.0	71.0	25.0	18.0	79.0	467.0	112.0	47.0	-
Возраст не указан	1.0	-	-	-	-	-	1.0	-	-	-	-	-
Евреи	2762.0	39.0	1019.0	104.0	574.0	221.0	339.0	236.0	182.0	43.0	28.0	5.0
в том числе в возрасте, лет:												
15-17	67.0	-	-	-	-	1.0	15.0	43.0	6.0	2.0	2.0	-
18-19	44.0	-	-	4.0	3.0	3.0	25.0	7.0	2.0	-	-	-
20-24	140.0	-	17.0	19.0	24.0	17.0	39.0	19.0	-	4.0	3.0	1.0
25-29	143.0	-	35.0	10.0	24.0	17.0	34.0	16.0	5.0	2.0	-	-
30-34	146.0	-	49.0	8.0	39.0	11.0	27.0	6.0	3.0	1.0	1.0	2.0
35-39	146.0	-	60.0	8.0	42.0	10.0	15.0	7.0	3.0	1.0	1.0	-
40-44	207.0	3.0	69.0	14.0	59.0	21.0	28.0	5.0	4.0	4.0	4.0	-
45-49	288.0	5.0	114.0	9.0	65.0	31.0	38.0	15.0	7.0	3.0	3.0	1.0
50-54	276.0	6.0	120.0	8.0	60.0	20.0	30.0	25.0	6.0	-	-	1.0
55-59	224.0	7.0	96.0	4.0	63.0	20.0	17.0	11.0	5.0	1.0	1.0	-
60-64	313.0	4.0	145.0	6.0	62.0	21.0	25.0	23.0	23.0	4.0	1.0	-
65-69	303.0	4.0	136.0	2.0	60.0	20.0	23.0	20.0	32.0	6.0	4.0	-
70 и более	465.0	10.0	178.0	12.0	73.0	29.0	23.0	39.0	86.0	15.0	8.0	-
Возраст не указан	3.0	-	1.0	-	2.0	-	-	-	-	-	-	-
Карачаевцы	43285.0	88.0	6252.0	1664.0	5320.0	3038.0	16724.0	6061.0	3668.0	470.0	325.0	-
в том числе в возрасте, лет:												
15-17	3494.0	-	-	-	33.0	28.0	715.0	2415.0	296.0	7.0	6.0	-
18-19	2064.0	-	-	207.0	104.0	81.0	1450.0	197.0	18.0	7.0	6.0	-
20-24	4777.0	7.0	690.0	695.0	487.0	288.0	2158.0	370.0	75.0	7.0	7.0	-
25-29	4416.0	14.0	1045.0	223.0	543.0	331.0	1868.0	342.0	40.0	10.0	7.0	-
30-34	4423.0	10.0	687.0	150.0	678.0	442.0	2090.0	303.0	45.0	18.0	16.0	-
35-39	5018.0	12.0	761.0	121.0	822.0	508.0	2408.0	315.0	58.0	13.0	12.0	-
40-44	4921.0	10.0	741.0	86.0	825.0	476.0	2375.0	345.0	54.0	9.0	9.0	-
45-49	3742.0	13.0	653.0	62.0	607.0	345.0	1620.0	353.0	75.0	14.0	13.0	-
50-54	2267.0	9.0	552.0	44.0	368.0	180.0	810.0	236.0	66.0	2.0	2.0	-
55-59	718.0	3.0	180.0	12.0	127.0	46.0	208.0	83.0	58.0	1.0	-	-
60-64	1757.0	7.0	387.0	24.0	250.0	122.0	378.0	292.0	281.0	16.0	11.0	-
65-69	2301.0	1.0	366.0	25.0	240.0	105.0	373.0	348.0	761.0	82.0	55.0	-
70 и более	3387.0	2.0	190.0	15.0	236.0	86.0	271.0	462.0	1841.0	284.0	181.0	-
Возраст не указан	2.0	-	-	-	-	-	-	2.0	-	-	-	-
Калмыки	32950.0	22.0	3227.0	701.0	5945.0	3947.0	10693.0	5067.0	2874.0	467.0	308.0	7.0
в том числе в возрасте, лет:												
15-17	2771.0	-	-	-	8.0	50.0	406.0	2129.0	165.0	11.0	9.0	2.0
18-19	1144.0	-	-	41.0	162.0	125.0	611.0	174.0	19.0	11.0	10.0	1.0
20-24	2973.0	-	302.0	203.0	665.0	371.0	1033.0	344.0	37.0	17.0	16.0	1.0
25-29	2569.0	2.0	348.0	99.0	505.0	365.0	911.0	305.0	27.0	6.0	5.0	1.0
30-34	2798.0	3.0	293.0	63.0	611.0	431.0	1166.0	200.0	23.0	8.0	8.0	-
35-39	4539.0	4.0	479.0	88.0	974.0	654.0	2004.0	265.0	50.0	20.0	19.0	1.0
40-44	5272.0	3.0	519.0	69.0	1175.0	791.0	2216.0	427.0	48.0	24.0	19.0	-
45-49	4274.0	7.0	550.0	67.0	938.0	648.0	1512.0	448.0	88.0	16.0	13.0	-
50-54	2152.0	2.0	406.0	47.0	502.0	267.0	581.0	274.0	64.0	8.0	7.0	1.0
55-59	483.0	-	103.0	8.0	103.0	52.0	91.0	74.0	50.0	2.0	2.0	-
60-64	909.0	-	119.0	9.0	118.0	70.0	73.0	132.0	351.0	37.0	22.0	-
65-69	1301.0	1.0	77.0	3.0	113.0	69.0	52.0	160.0	722.0	104.0	60.0	-
70 и более	1765.0	-	31.0	4.0	71.0	54.0	37.0	135.0	1230.0	203.0	118.0	-
Возраст не указан	2.0	-	-	-	-	-	1.0	-	-	1.0	-	-
Адыгейцы	26450.0	32.0	3669.0	960.0	6175.0	3725.0	7108.0	2914.0	1634.0	232.0	167.0	1.0
в том числе в возрасте, лет:												
15-17	1840.0	-	-	-	7.0	29.0	364.0	1360.0	68.0	12.0	8.0	-
18-19	912.0	-	-	113.0	71.0	61.0	584.0	74.0	4.0	5.0	4.0	-
20-24	2408.0	2.0	408.0	362.0	415.0	262.0	740.0	178.0	27.0	14.0	14.0	-
25-29	2328.0	1.0	438.0	135.0	548.0	359.0	710.0	112.0	20.0	5.0	5.0	-
30-34	2427.0	3.0	370.0	74.0	717.0	442.0	722.0	72.0	19.0	7.0	7.0	1.0
35-39	2788.0	3.0	371.0	81.0	906.0	499.0	803.0	96.0	19.0	10.0	9.0	-
40-44	3168.0	3.0	459.0	66.0	1047.0	572.0	886.0	106.0	20.0	9.0	9.0	-
45-49	2315.0	5.0	386.0	27.0	713.0	405.0	646.0	106.0	21.0	6.0	6.0	-
50-54	1756.0	5.0	353.0	35.0	558.0	264.0	441.0	64.0	30.0	6.0	4.0	-
55-59	974.0	2.0	174.0	14.0	268.0	175.0	210.0	79.0	49.0	3.0	3.0	-
