7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образования	Не указавшие уровень образования
гостиницы и рестораны	21668.0	2275.0	596.0	9015.0	4373.0	4254.0	1015.0	140.0	-	-
транспорт и связь	97896.0	13027.0	2455.0	39460.0	17489.0	20314.0	4553.0	573.0	25.0	-
финансовая деятельность	12988.0	6589.0	548.0	4259.0	629.0	873.0	77.0	13.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	50774.0	15262.0	1742.0	16742.0	6423.0	8297.0	1929.0	364.0	-	15.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	64967.0	26751.0	2982.0	21744.0	4823.0	7646.0	916.0	105.0	-	-
образование	93531.0	46207.0	3102.0	27408.0	6489.0	8024.0	2037.0	243.0	13.0	8.0
здравоохранение и предоставление социальных услуг	77897.0	19384.0	1553.0	38350.0	7817.0	8269.0	2242.0	267.0	15.0	-
предоставление прочих коммунальных, социальных и персональных услуг	40562.0	8183.0	1224.0	15599.0	5697.0	7566.0	2051.0	219.0	20.0	3.0
предоставление услуг по ведению домашнего хозяйства	339.0	60.0	17.0	98.0	48.0	86.0	25.0	5.0	-	-
деятельность экстерриториальных организаций	49.0	16.0	-	13.0	8.0	4.0	8.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	5973.0	1552.0	204.0	2026.0	689.0	1178.0	237.0	73.0	4.0	10.0
Ростовская область										
Все население, занятое в экономике	1659942.0	406580.0	49963.0	594420.0	233800.0	270379.0	91371.0	12373.0	764.0	292.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	181314.0	15555.0	1971.0	46716.0	43180.0	40600.0	27823.0	5159.0	300.0	10.0
рыболовство, рыбоводство	3733.0	513.0	39.0	974.0	719.0	955.0	476.0	57.0	-	-
добыча полезных ископаемых	41782.0	4943.0	800.0	15952.0	9127.0	8523.0	2171.0	260.0	-	6.0
обрабатывающие производства	292035.0	60524.0	8184.0	110549.0	43483.0	53089.0	14356.0	1716.0	74.0	60.0
производство и распределение электроэнергии, газа и воды	42086.0	10203.0	992.0	16465.0	5942.0	6622.0	1684.0	174.0	-	4.0
строительство	120969.0	23264.0	3500.0	43232.0	21468.0	20756.0	7760.0	921.0	59.0	9.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	254546.0	56249.0	10092.0	97912.0	31479.0	45760.0	11506.0	1226.0	260.0	62.0
гостиницы и рестораны	34216.0	4739.0	1249.0	13624.0	6119.0	6327.0	1936.0	202.0	6.0	14.0
транспорт и связь	160907.0	27770.0	4968.0	63741.0	25855.0	29588.0	8107.0	829.0	31.0	18.0
финансовая деятельность	20987.0	11458.0	981.0	6070.0	917.0	1457.0	94.0	10.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	58252.0	22964.0	2351.0	17428.0	5684.0	7503.0	2019.0	299.0	-	4.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	93437.0	41712.0	3939.0	29956.0	6506.0	9854.0	1359.0	94.0	6.0	11.0
образование	146872.0	75177.0	5298.0	40923.0	9682.0	12039.0	3397.0	320.0	6.0	30.0
здравоохранение и предоставление социальных услуг	123305.0	31943.0	2658.0	59000.0	12429.0	12639.0	4148.0	476.0	-	12.0
предоставление прочих коммунальных, социальных и персональных услуг	62043.0	12832.0	2113.0	23732.0	8817.0	10759.0	3383.0	407.0	-	-
предоставление услуг по ведению домашнего хозяйства	430.0	89.0	17.0	151.0	47.0	74.0	48.0	4.0	-	-
деятельность экстерриториальных организаций	16.0	8.0	-	-	8.0	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	23012.0	6637.0	811.0	7995.0	2338.0	3834.0	1104.0	219.0	22.0	52.0
Приволжский федеральный округ										
Все население, занятое в экономике	13255158.0	2674566.0	342952.0	4779394.0	2362528.0	2266829.0	729974.0	92773.0	3779.0	2363.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	1419781.0	84757.0	11155.0	331865.0	419560.0	328043.0	208063.0	34704.0	1529.0	105.0
рыболовство, рыбоводство	5142.0	511.0	118.0	1759.0	1195.0	1021.0	506.0	32.0	-	-
добыча полезных ископаемых	271922.0	46755.0	6301.0	108086.0	55405.0	44879.0	9492.0	964.0	26.0	14.0
обрабатывающие производства	3108879.0	506873.0	70562.0	1156990.0	580554.0	615433.0	160981.0	16829.0	372.0	285.0
производство и распределение электроэнергии, газа и воды	323034.0	62037.0	7351.0	128971.0	58653.0	51907.0	12493.0	1545.0	35.0	42.0
строительство	919885.0	134177.0	20364.0	321594.0	210809.0	165933.0	60118.0	6716.0	121.0	53.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1633936.0	280382.0	57114.0	663614.0	267073.0	287457.0	69545.0	7245.0	1009.0	497.0
гостиницы и рестораны	277462.0	19184.0	6073.0	112951.0	68869.0	52497.0	16209.0	1581.0	48.0	50.0
транспорт и связь	1088926.0	131557.0	24147.0	421760.0	226221.0	220222.0	58535.0	6245.0	104.0	135.0
финансовая деятельность	159752.0	76682.0	7340.0	51405.0	9846.0	12848.0	1483.0	145.0	-	3.0
операции с недвижимым имуществом, аренда и предоставление услуг	543329.0	162790.0	19891.0	173460.0	76199.0	83503.0	24014.0	3324.0	70.0	78.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	735167.0	275158.0	31935.0	247806.0	72671.0	93347.0	12811.0	1350.0	39.0	50.0
образование	1229265.0	564890.0	43341.0	366156.0	108687.0	110888.0	31618.0	3454.0	113.0	118.0
здравоохранение и предоставление социальных услуг	954471.0	216122.0	18330.0	478288.0	110015.0	95457.0	32165.0	3911.0	100.0	83.0
предоставление прочих коммунальных, социальных и персональных услуг	493018.0	91034.0	15752.0	183193.0	84234.0	87673.0	27166.0	3802.0	146.0	18.0
предоставление услуг по ведению домашнего хозяйства	3664.0	641.0	118.0	1195.0	639.0	794.0	235.0	42.0	-	-
деятельность экстерриториальных организаций	562.0	199.0	20.0	179.0	56.0	96.0	8.0	4.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	86963.0	20817.0	3040.0	30122.0	11842.0	14831.0	4532.0	880.0	67.0	832.0
Республика Башкортостан										
Все население, занятое в экономике	1672385.0	292436.0	41887.0	638234.0	385731.0	225424.0	76389.0	11821.0	400.0	63.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	220481.0	10334.0	1698.0	49148.0	86711.0	41589.0	25794.0	5003.0	204.0	-
рыболовство, рыбоводство	292.0	24.0	4.0	144.0	77.0	26.0	17.0	-	-	-
добыча полезных ископаемых	67212.0	8997.0	1262.0	29300.0	17222.0	8616.0	1619.0	187.0	9.0	-
обрабатывающие производства	334757.0	45418.0	7367.0	140187.0	78667.0	47811.0	13243.0	2025.0	39.0	-
производство и распределение электроэнергии, газа и воды	46447.0	7085.0	984.0	20405.0	10503.0	5756.0	1502.0	212.0	-	-
строительство	135039.0	16702.0	2630.0	52100.0	37697.0	18298.0	6725.0	887.0	-	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	191256.0	28088.0	6158.0	84458.0	38922.0	26364.0	6459.0	715.0	92.0	-
гостиницы и рестораны	30231.0	1723.0	629.0	13168.0	8684.0	4478.0	1344.0	201.0	4.0	-
транспорт и связь	122374.0	11799.0	2393.0	50389.0	31605.0	19944.0	5549.0	695.0	-	-
финансовая деятельность	16032.0	7425.0	710.0	5669.0	1119.0	932.0	172.0	5.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	48939.0	15408.0	1849.0	16695.0	7825.0	5527.0	1419.0	211.0	5.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	75267.0	25245.0	4021.0	26984.0	9382.0	8253.0	1234.0	130.0	9.0	9.0
образование	181701.0	78172.0	7503.0	55598.0	21110.0	14949.0	3856.0	494.0	19.0	-
здравоохранение и предоставление социальных услуг	115852.0	23181.0	2340.0	59340.0	17278.0	9971.0	3318.0	416.0	-	8.0
предоставление прочих коммунальных, социальных и персональных услуг	75373.0	10378.0	2028.0	30518.0	17018.0	11298.0	3560.0	564.0	9.0	-
предоставление услуг по ведению домашнего хозяйства	210.0	20.0	4.0	61.0	56.0	45.0	16.0	8.0	-	-
деятельность экстерриториальных организаций	60.0	20.0	4.0	20.0	12.0	-	4.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10862.0	2417.0	303.0	4050.0	1843.0	1567.0	558.0	68.0	10.0	46.0
Республика Марий Эл										
Все население, занятое в экономике	299661.0	64171.0	5996.0	103857.0	63240.0	45743.0	15033.0	1537.0	48.0	36.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	42296.0	2902.0	263.0	11321.0	14119.0	7916.0	5148.0	613.0	13.0	1.0
рыболовство, рыбоводство	163.0	23.0	4.0	62.0	29.0	29.0	16.0	-	-	-
добыча полезных ископаемых	1344.0	158.0	25.0	503.0	402.0	230.0	26.0	-	-	-
обрабатывающие производства	60077.0	9495.0	1102.0	21326.0	13338.0	11329.0	3161.0	319.0	7.0	-
производство и распределение электроэнергии, газа и воды	8507.0	1659.0	137.0	3446.0	1587.0	1412.0	253.0	12.0	1.0	-
строительство	23283.0	2735.0	272.0	8017.0	7068.0	3505.0	1544.0	141.0	1.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	33643.0	5886.0	904.0	13913.0	6785.0	4976.0	1056.0	107.0	16.0	-
гостиницы и рестораны	6607.0	296.0	100.0	2743.0	2092.0	1088.0	288.0	-	-	-
транспорт и связь	20111.0	2380.0	354.0	7921.0	4642.0	3932.0	803.0	78.0	1.0	-
финансовая деятельность	3427.0	1627.0	105.0	1095.0	294.0	262.0	40.0	4.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	6242.0	2148.0	238.0	1948.0	942.0	787.0	162.0	17.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	23806.0	9727.0	861.0	6945.0	2929.0	2992.0	338.0	13.0	1.0	-
образование	32573.0	17775.0	931.0	7028.0	3243.0	2731.0	809.0	55.0	1.0	-
здравоохранение и предоставление социальных услуг	23360.0	4382.0	269.0	12347.0	3280.0	2251.0	760.0	71.0	-	-
предоставление прочих коммунальных, социальных и персональных услуг	13131.0	2712.0	384.0	4884.0	2350.0	2131.0	577.0	86.0	7.0	-
предоставление услуг по ведению домашнего хозяйства	64.0	12.0	4.0	12.0	16.0	20.0	-	-	-	-
деятельность экстерриториальных организаций	24.0	12.0	4.0	-	4.0	4.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1003.0	242.0	39.0	346.0	120.0	148.0	52.0	21.0	-	35.0
Республика Мордовия										
Все население, занятое в экономике	349073.0	80546.0	7751.0	114832.0	66158.0	66929.0	11301.0	1499.0	45.0	12.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	48423.0	3701.0	473.0	11806.0	13577.0	14040.0	4059.0	738.0	29.0	-
рыболовство, рыбоводство	95.0	4.0	4.0	28.0	30.0	20.0	9.0	-	-	-
добыча полезных ископаемых	365.0	56.0	8.0	120.0	108.0	68.0	5.0	-	-	-
обрабатывающие производства	84235.0	14232.0	1741.0	27403.0	17310.0	20740.0	2561.0	235.0	5.0	8.0
производство и распределение электроэнергии, газа и воды	8520.0	1763.0	159.0	3139.0	1854.0	1405.0	188.0	12.0	-	-
строительство	22824.0	3249.0	393.0	7365.0	5910.0	4834.0	938.0	133.0	1.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36654.0	6945.0	1123.0	14450.0	6995.0	6155.0	913.0	71.0	1.0	1.0
гостиницы и рестораны	5650.0	387.0	137.0	2467.0	1312.0	1169.0	162.0	16.0	-	-
транспорт и связь	26259.0	3394.0	546.0	9704.0	6205.0	5655.0	670.0	83.0	1.0	1.0
финансовая деятельность	4676.0	1982.0	133.0	1615.0	461.0	448.0	33.0	4.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	11294.0	3093.0	344.0	3477.0	1945.0	2082.0	309.0	41.0	3.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	24361.0	10562.0	911.0	7442.0	2649.0	2577.0	206.0	12.0	1.0	1.0
образование	34513.0	21022.0	864.0	7101.0	2485.0	2605.0	392.0	44.0	-	-
здравоохранение и предоставление социальных услуг	29551.0	7434.0	493.0	14694.0	3331.0	3006.0	528.0	65.0	-	-
предоставление прочих коммунальных, социальных и персональных услуг	11384.0	2634.0	418.0	3977.0	1930.0	2064.0	315.0	42.0	4.0	-
предоставление услуг по ведению домашнего хозяйства	60.0	24.0	-	8.0	8.0	20.0	-	-	-	-
деятельность экстерриториальных организаций	20.0	8.0	-	-	4.0	8.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	189.0	56.0	4.0	36.0	44.0	33.0	13.0	3.0	-	-
Республика Татарстан										
Все население, занятое в экономике	1685719.0	338747.0	49520.0	581649.0	284132.0	344020.0	78112.0	9081.0	429.0	29.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	189378.0	9579.0	1288.0	38731.0	53299.0	58991.0	23513.0	3736.0	239.0	2.0
рыболовство, рыбоводство	832.0	40.0	13.0	266.0	238.0	191.0	76.0	8.0	-	-
добыча полезных ископаемых	61191.0	11185.0	1654.0	23043.0	11274.0	12179.0	1691.0	161.0	4.0	-
обрабатывающие производства	359171.0	58860.0	9251.0	129426.0	62289.0	82756.0	15216.0	1335.0	25.0	13.0
производство и распределение электроэнергии, газа и воды	43266.0	7793.0	1209.0	16748.0	7601.0	8316.0	1452.0	143.0	4.0	-
строительство	141898.0	21519.0	3621.0	48012.0	28470.0	31201.0	8286.0	786.0	3.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	194062.0	34098.0	7498.0	75314.0	30066.0	39240.0	7188.0	567.0	91.0	-
гостиницы и рестораны	34618.0	2544.0	897.0	14177.0	8282.0	7132.0	1418.0	164.0	4.0	-
транспорт и связь	138991.0	15224.0	3243.0	52395.0	28225.0	32887.0	6420.0	597.0	-	-
финансовая деятельность	22485.0	10922.0	1214.0	6716.0	1303.0	2149.0	152.0	29.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	65442.0	21615.0	2731.0	19207.0	8391.0	10971.0	2249.0	261.0	3.0	14.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	73878.0	27344.0	3736.0	24161.0	7176.0	10350.0	1003.0	103.0	5.0	-
образование	170010.0	76448.0	7552.0	50840.0	13793.0	17979.0	3023.0	363.0	12.0	-
здравоохранение и предоставление социальных услуг	112385.0	26355.0	2807.0	55690.0	11703.0	12782.0	2715.0	323.0	10.0	-
предоставление прочих коммунальных, социальных и персональных услуг	66055.0	12366.0	2284.0	22944.0	10348.0	14478.0	3183.0	427.0	25.0	-
предоставление услуг по ведению домашнего хозяйства	401.0	64.0	17.0	145.0	72.0	79.0	16.0	8.0	-	-
деятельность экстерриториальных организаций	68.0	20.0	-	32.0	8.0	8.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	11588.0	2771.0	505.0	3802.0	1594.0	2331.0	511.0	70.0	4.0	-
Удмуртская Республика										
Все население, занятое в экономике	724578.0	138193.0	16624.0	233985.0	131424.0	159238.0	41400.0	3513.0	171.0	30.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	85031.0	4531.0	518.0	17484.0	22901.0	25435.0	12775.0	1302.0	84.0	1.0
рыболовство, рыбоводство	259.0	28.0	8.0	77.0	48.0	61.0	37.0	-	-	-
добыча полезных ископаемых	20410.0	3536.0	412.0	6824.0	4129.0	4646.0	794.0	61.0	8.0	-
обрабатывающие производства	184129.0	29697.0	3768.0	58394.0	34817.0	47206.0	9528.0	698.0	21.0	-
производство и распределение электроэнергии, газа и воды	11891.0	2120.0	247.0	4275.0	2180.0	2551.0	496.0	22.0	-	-
строительство	47175.0	5774.0	771.0	14665.0	12610.0	10179.0	2958.0	214.0	4.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	86908.0	13588.0	2672.0	32514.0	14632.0	19484.0	3690.0	303.0	25.0	-
гостиницы и рестораны	15111.0	841.0	217.0	5589.0	4093.0	3363.0	938.0	62.0	8.0	-
транспорт и связь	45144.0	4868.0	937.0	14730.0	9549.0	12365.0	2505.0	190.0	-	-
финансовая деятельность	8806.0	4181.0	389.0	2653.0	643.0	839.0	101.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	22460.0	6124.0	786.0	6560.0	3461.0	4398.0	1031.0	100.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	36816.0	12999.0	1340.0	11441.0	3997.0	6218.0	753.0	61.0	7.0	-
образование	70931.0	30367.0	2426.0	20920.0	6628.0	8272.0	2155.0	156.0	6.0	1.0
здравоохранение и предоставление социальных услуг	53902.0	12178.0	934.0	25882.0	6127.0	6768.0	1824.0	168.0	8.0	13.0
предоставление прочих коммунальных, социальных и персональных услуг	30410.0	6047.0	1007.0	10292.0	4869.0	6447.0	1598.0	150.0	-	-
предоставление услуг по ведению домашнего хозяйства	424.0	47.0	8.0	139.0	105.0	87.0	38.0	-	-	-
деятельность экстерриториальных организаций	143.0	51.0	-	48.0	8.0	32.0	4.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	4628.0	1216.0	184.0	1498.0	627.0	887.0	175.0	26.0	-	15.0
Чувашская Республика										
Все население, занятое в экономике	548915.0	106686.0	13394.0	182846.0	108393.0	106102.0	28286.0	3022.0	132.0	54.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	86622.0	4213.0	564.0	15774.0	28063.0	24022.0	12267.0	1643.0	76.0	-
рыболовство, рыбоводство	259.0	16.0	4.0	78.0	89.0	59.0	13.0	-	-	-
добыча полезных ископаемых	2082.0	227.0	37.0	859.0	512.0	351.0	92.0	4.0	-	-
обрабатывающие производства	128241.0	20807.0	2773.0	47407.0	23975.0	27711.0	5111.0	432.0	18.0	7.0
производство и распределение электроэнергии, газа и воды	10907.0	2203.0	257.0	4152.0	1944.0	2013.0	299.0	39.0	-	-
строительство	51370.0	5538.0	924.0	17388.0	13529.0	10707.0	2985.0	280.0	19.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	65605.0	11073.0	2425.0	26751.0	11549.0	11786.0	1867.0	135.0	6.0	13.0
гостиницы и рестораны	14266.0	837.0	284.0	5454.0	4397.0	2662.0	586.0	46.0	-	-
транспорт и связь	35321.0	3560.0	767.0	13286.0	7908.0	8281.0	1422.0	97.0	-	-
финансовая деятельность	5840.0	2743.0	221.0	1897.0	439.0	478.0	62.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	14612.0	4571.0	653.0	4571.0	1961.0	2391.0	398.0	67.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	26848.0	11531.0	1639.0	7502.0	2418.0	3500.0	249.0	8.0	-	1.0
образование	48857.0	26464.0	1473.0	11613.0	3904.0	4316.0	982.0	88.0	13.0	4.0
здравоохранение и предоставление социальных услуг	38287.0	8914.0	795.0	18915.0	4317.0	4213.0	1062.0	71.0	-	-
предоставление прочих коммунальных, социальных и персональных услуг	18359.0	3617.0	537.0	6812.0	3172.0	3337.0	801.0	83.0	-	-
предоставление услуг по ведению домашнего хозяйства	128.0	16.0	4.0	36.0	36.0	20.0	12.0	4.0	-	-
деятельность экстерриториальных организаций	20.0	16.0	-	-	-	4.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1291.0	340.0	37.0	351.0	180.0	251.0	78.0	25.0	-	29.0
Кировская область										
Все население, занятое в экономике	667050.0	111104.0	14376.0	232882.0	143687.0	116401.0	42642.0	5653.0	240.0	65.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	102696.0	6009.0	765.0	25930.0	33936.0	18744.0	14360.0	2793.0	159.0	-
рыболовство, рыбоводство	106.0	26.0	-	40.0	28.0	8.0	4.0	-	-	-
добыча полезных ископаемых	3757.0	297.0	64.0	1328.0	1045.0	736.0	259.0	28.0	-	-
обрабатывающие производства	150062.0	18092.0	3032.0	50181.0	35323.0	32839.0	9674.0	895.0	26.0	-
производство и распределение электроэнергии, газа и воды	14572.0	2797.0	312.0	5138.0	3158.0	2543.0	552.0	72.0	-	-
строительство	33786.0	3876.0	631.0	10801.0	9338.0	6240.0	2621.0	273.0	6.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	84370.0	11560.0	2737.0	33909.0	16139.0	15770.0	3889.0	327.0	31.0	8.0
гостиницы и рестораны	14731.0	830.0	292.0	5513.0	4277.0	2655.0	1101.0	63.0	-	-
транспорт и связь	49949.0	4838.0	789.0	18327.0	12691.0	10624.0	2414.0	266.0	-	-
финансовая деятельность	6855.0	2729.0	261.0	2595.0	573.0	585.0	100.0	12.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	23369.0	5188.0	776.0	7222.0	4613.0	4127.0	1229.0	208.0	6.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	44612.0	15989.0	1806.0	15199.0	4624.0	6210.0	718.0	66.0	-	-
образование	61239.0	25344.0	1487.0	19970.0	6694.0	5405.0	2110.0	189.0	6.0	34.0
здравоохранение и предоставление социальных услуг	51805.0	9256.0	731.0	27497.0	6743.0	5187.0	2135.0	250.0	6.0	-
предоставление прочих коммунальных, социальных и персональных услуг	20307.0	3246.0	522.0	7720.0	3759.0	3667.0	1219.0	174.0	-	-
предоставление услуг по ведению домашнего хозяйства	197.0	44.0	8.0	58.0	24.0	39.0	20.0	4.0	-	-
деятельность экстерриториальных организаций	36.0	8.0	-	16.0	8.0	4.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	4601.0	975.0	163.0	1438.0	714.0	1018.0	237.0	33.0	-	23.0
Нижегородская область										
Все население, занятое в экономике	1570198.0	334204.0	43725.0	545657.0	248539.0	296926.0	90054.0	10591.0	481.0	21.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	106919.0	6705.0	965.0	27981.0	29002.0	22862.0	16298.0	2924.0	176.0	6.0
рыболовство, рыбоводство	369.0	48.0	16.0	98.0	69.0	100.0	30.0	8.0	-	-
добыча полезных ископаемых	2021.0	212.0	12.0	841.0	397.0	418.0	132.0	9.0	-	-
обрабатывающие производства	486189.0	79774.0	11289.0	171398.0	82656.0	108630.0	29618.0	2744.0	76.0	4.0
производство и распределение электроэнергии, газа и воды	31733.0	6803.0	754.0	11791.0	5097.0	5789.0	1332.0	158.0	9.0	-
строительство	94892.0	15406.0	2293.0	31230.0	20727.0	17860.0	6624.0	730.0	22.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	210697.0	37976.0	8450.0	80012.0	31282.0	42072.0	9878.0	957.0	70.0	-
гостиницы и рестораны	36512.0	2851.0	930.0	13744.0	8311.0	7982.0	2431.0	252.0	11.0	-
транспорт и связь	128899.0	17059.0	3144.0	47638.0	24754.0	28174.0	7416.0	672.0	42.0	-
финансовая деятельность	20123.0	9798.0	1038.0	6193.0	1087.0	1814.0	178.0	12.0	-	3.0
операции с недвижимым имуществом, аренда и предоставление услуг	97458.0	31253.0	3215.0	28603.0	12171.0	16702.0	4823.0	665.0	18.0	8.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	92454.0	34763.0	3828.0	30606.0	8533.0	12676.0	1859.0	180.0	9.0	-
образование	114809.0	57569.0	3841.0	30806.0	8011.0	11331.0	2862.0	374.0	15.0	-
здравоохранение и предоставление социальных услуг	100526.0	23695.0	2071.0	48843.0	10008.0	11632.0	3777.0	486.0	14.0	-
предоставление прочих коммунальных, социальных и персональных услуг	42165.0	9144.0	1610.0	14450.0	5951.0	8077.0	2570.0	348.0	15.0	-
предоставление услуг по ведению домашнего хозяйства	474.0	122.0	24.0	125.0	76.0	90.0	29.0	8.0	-	-
деятельность экстерриториальных организаций	32.0	12.0	-	8.0	-	12.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3926.0	1014.0	245.0	1290.0	407.0	705.0	197.0	64.0	4.0	-
Оренбургская область										
Все население, занятое в экономике	877206.0	160423.0	21759.0	344711.0	146821.0	137439.0	58090.0	7629.0	255.0	79.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	123178.0	6969.0	1021.0	31030.0	28391.0	29460.0	22748.0	3437.0	113.0	9.0
рыболовство, рыбоводство	308.0	28.0	17.0	103.0	85.0	41.0	34.0	-	-	-
добыча полезных ископаемых	46494.0	8678.0	1269.0	19736.0	7804.0	7121.0	1715.0	161.0	5.0	5.0
обрабатывающие производства	132380.0	18472.0	3111.0	56195.0	26556.0	20299.0	6800.0	932.0	11.0	4.0
производство и распределение электроэнергии, газа и воды	28530.0	4361.0	651.0	12553.0	4956.0	4422.0	1369.0	207.0	6.0	5.0
строительство	48484.0	6636.0	1191.0	18064.0	9594.0	8494.0	3983.0	513.0	9.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	99942.0	14422.0	3203.0	45031.0	16389.0	15342.0	4917.0	566.0	57.0	15.0
гостиницы и рестораны	16721.0	840.0	291.0	7246.0	4061.0	3060.0	1114.0	109.0	-	-
транспорт и связь	85740.0	9135.0	1876.0	35596.0	16847.0	16544.0	5201.0	527.0	9.0	5.0
финансовая деятельность	9987.0	4916.0	469.0	3341.0	518.0	684.0	47.0	12.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	37757.0	7741.0	1145.0	14619.0	6127.0	5778.0	2080.0	261.0	6.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	59983.0	22456.0	2450.0	20846.0	5340.0	7446.0	1308.0	124.0	-	13.0
образование	87704.0	36624.0	2988.0	30442.0	7561.0	7444.0	2378.0	253.0	7.0	7.0
здравоохранение и предоставление социальных услуг	73661.0	14827.0	1259.0	38814.0	8516.0	7150.0	2742.0	334.0	19.0	-
предоставление прочих коммунальных, социальных и персональных услуг	24046.0	3879.0	759.0	10311.0	3719.0	3701.0	1492.0	172.0	13.0	-
предоставление услуг по ведению домашнего хозяйства	213.0	32.0	8.0	48.0	32.0	64.0	29.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	2078.0	407.0	51.0	736.0	325.0	389.0	133.0	21.0	-	16.0
Пензенская область										
Все население, занятое в экономике	561906.0	123558.0	11885.0	201287.0	92343.0	95443.0	33184.0	3989.0	136.0	81.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	72446.0	5039.0	475.0	17927.0	19244.0	15640.0	12214.0	1842.0	53.0	12.0
рыболовство, рыбоводство	95.0	16.0	4.0	41.0	20.0	14.0	-	-	-	-
добыча полезных ископаемых	1714.0	216.0	34.0	670.0	413.0	297.0	84.0	-	-	-
обрабатывающие производства	128827.0	24641.0	2457.0	45665.0	21733.0	26714.0	6967.0	632.0	18.0	-
