1. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Городские и сельские населенные пункты	Городские населенные пункты	Сельские населенные пункты	В процентах		
				городские и сельские населенные пункты	городские населенные пункты	сельские населенные пункты
Российская Федерация						
не указали тип жилого помещения	3704.0	3032.0	672.0	0.3	0.407746648395	0.21962578642
Тамбовская область						
Все население	1178443.0	674095.0	504348.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	518263.0	168785.0	349478.0	43.9786226402	25.038755665	69.29302783
в отдельных квартирах	598487.0	454987.0	143500.0	50.7862493137	67.4959760865	28.4525763957
в коммунальных квартирах	11255.0	10033.0	1222.0	0.955073771069	1.48836588315	0.242293019899
в общежитиях	30792.0	29072.0	1720.0	2.61293927666	4.31274523621	0.341034365161
в институциональных учреждениях	15014.0	8121.0	6893.0	1.27405398479	1.20472633679	1.36671504596
в гостиницах	394.0	384.0	10.0	0.0334339463173	0.0569652645399	0.00198275793698
в других жилых помещениях	225.0	98.0	127.0	0.0190929896482	0.0145380102211	0.0251810257996
бездомные	162.0	135.0	27.0	0.0137469525467	0.0200268508148	0.00535344642985
не указали тип жилого помещения	3851.0	2480.0	1371.0	0.326787125046	0.36790066682	0.27183611316
Тверская область						
Все население	1471459.0	1075746.0	395713.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	392648.0	158404.0	234244.0	26.6842637138	14.7250373229	59.1954269888
в отдельных квартирах	979652.0	830912.0	148740.0	66.5769144774	77.3	37.5878477584
в коммунальных квартирах	27704.0	26169.0	1535.0	1.88275718182	2.43263744416	0.387907397533
в общежитиях	41797.0	40710.0	1087.0	2.84051407481	3.7843505809	0.274694033302
в институциональных учреждениях	22508.0	14068.0	8440.0	1.52963827059	1.30774364952	2.13285891543
в гостиницах	110.0	73.0	37.0	0.00747557356338	0.00678598851402	0.00935021088516
в других жилых помещениях	1277.0	987.0	290.0	0.0867846130949	0.0917502830594	0.0732854366675
бездомные	381.0	284.0	97.0	0.0258926684332	0.0264002840819	0.0245127150233
не указали тип жилого помещения	5382.0	4139.0	1243.0	0.365759426528	0.38475625287	0.314116544061
Тульская область						
Все население	1675758.0	1366818.0	308940.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	286433.0	155240.0	131193.0	17.0927425082	11.3577667253	42.4655272869
в отдельных квартирах	1292653.0	1122415.0	170238.0	77.2	82.1188336706	55.1039036706
в коммунальных квартирах	30703.0	29370.0	1333.0	1.83218579294	2.2	0.431475367385
в общежитиях	35791.0	33552.0	2239.0	2.13580958587	2.4547525713	0.72473619473
в институциональных учреждениях	22160.0	19240.0	2920.0	1.32238664533	1.40764900667	1.0
в гостиницах	168.0	163.0	5.0	0.0100253139176	0.0119255087363	0.001618437237
в других жилых помещениях	707.0	440.0	267.0	0.1	0.0321915573251	0.086424548456
бездомные	468.0	417.0	51.0	0.0279276601991	0.0305088168286	0.0165080598174
не указали тип жилого помещения	6675.0	5981.0	694.0	0.398327204763	0.437585691731	0.224639088496
Ярославская область						
Все население	1367398.0	1106805.0	260593.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	187414.0	70394.0	117020.0	13.7058851922	6.36010860088	44.905273741
в отдельных квартирах	1079892.0	944153.0	135739.0	78.9742269624	85.3043670746	52.0885058309
в коммунальных квартирах	34053.0	32534.0	1519.0	2.49035028573	2.93945184563	0.582901305868
в общежитиях	36889.0	35225.0	1664.0	2.69775149591	3.1825841047	0.7
в институциональных учреждениях	24563.0	20654.0	3909.0	1.79633142655	1.8660920397	1.50004029272
в гостиницах	220.0	150.0	70.0	0.0160889514245	0.0135525228021	0.0268618113303
