1. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспо-собном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
гостиницы и рестораны	1085161.0	55252.0	156123.0	138793.0	125064.0	130432.0	165406.0	150336.0	115150.0	32823.0	15782.0	1043665.0	37.2
транспорт и связь	4787159.0	60348.0	409212.0	574941.0	608776.0	643396.0	829849.0	760809.0	595920.0	210163.0	93745.0	4639261.0	39.8
финансовая деятельность	754290.0	8626.0	84000.0	127525.0	116843.0	102673.0	113748.0	98692.0	72955.0	21359.0	7869.0	733207.0	37.5
операции с недвижимым имуществом, аренда и предоставление услуг	2555709.0	46394.0	284240.0	323739.0	286226.0	295358.0	373538.0	368695.0	328090.0	147538.0	101891.0	2391384.0	39.9
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	3145578.0	47709.0	406452.0	527939.0	487894.0	454855.0	475200.0	351017.0	249689.0	95610.0	49213.0	3050167.0	36.9
образование	3872248.0	58984.0	350467.0	478396.0	468039.0	475813.0	589791.0	559481.0	486415.0	233446.0	171416.0	3530261.0	40.4
здравоохранение и предоставление социальных услуг	3450122.0	39250.0	295191.0	439169.0	430769.0	439083.0	539047.0	511011.0	443784.0	175353.0	137465.0	3175201.0	40.3
предоставление прочих коммунальных, социальных и персональных услуг	2256768.0	59380.0	220050.0	260545.0	259366.0	272836.0	348890.0	339143.0	291597.0	121780.0	83181.0	2113123.0	40.0
предоставление услуг по ведению домашнего хозяйства	28181.0	897.0	2758.0	3000.0	2990.0	3477.0	4823.0	4519.0	3678.0	1300.0	739.0	26674.0	39.8
деятельность экстерриториальных организаций	9004.0	265.0	1041.0	1076.0	1120.0	1087.0	1360.0	1278.0	1023.0	432.0	322.0	8499.0	39.1
не распределенные по видам деятельности и неточно указавшие вид деятельности	1166182.0	25230.0	120189.0	145511.0	142780.0	148548.0	181736.0	164546.0	139221.0	60593.0	37828.0	1102777.0	39.5
Мужчины в возрасте 15-64 лет, занятые в экономике 	23394993.0	462250.0	2594395.0	3255577.0	3007082.0	2950910.0	3532132.0	3165725.0	2592440.0	1162080.0	672402.0	22715398.0	38.9
