11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ  ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Центральный федеральный округ								
образование	35399.0	35039.0	353.0	15.0	245.0	77.0	16.0	7.0
здравоохранение и предоставление социальных услуг	28326.0	27940.0	370.0	50.0	207.0	104.0	9.0	16.0
предоставление прочих коммунальных, социальных и персональных услуг	12484.0	11711.0	761.0	134.0	570.0	57.0	-	12.0
предоставление услуг по ведению домашнего хозяйства	150.0	150.0						-
деятельность экстерриториальных организаций	4.0	4.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	9107.0	8428.0	655.0	158.0	378.0	104.0	15.0	24.0
Костромская область								
Все население, занятое в экономике	312787.0	297047.0	15493.0	4917.0	9441.0	882.0	253.0	247.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	37280.0	36030.0	1227.0	332.0	585.0	272.0	38.0	23.0
рыболовство, рыбоводство	128.0	120.0	8.0	4.0	4.0	-	-	-
добыча полезных ископаемых	980.0	965.0	11.0	-	11.0	-	-	4.0
обрабатывающие производства	67103.0	65080.0	1961.0	851.0	958.0	147.0	5.0	62.0
производство и распределение электроэнергии, газа и воды	11012.0	10897.0	115.0	15.0	85.0	9.0	6.0	-
строительство	19532.0	18725.0	803.0	239.0	502.0	50.0	12.0	4.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36936.0	29100.0	7796.0	2683.0	4851.0	131.0	131.0	40.0
гостиницы и рестораны	7269.0	7014.0	255.0	182.0	58.0	9.0	6.0	-
транспорт и связь	24917.0	23642.0	1263.0	235.0	975.0	35.0	18.0	12.0
финансовая деятельность	3646.0	3583.0	51.0	8.0	43.0	-	-	12.0
операции с недвижимым имуществом, аренда и предоставление услуг	11691.0	11169.0	503.0	156.0	297.0	39.0	11.0	19.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	24684.0	24684.0						-
образование	29521.0	29235.0	257.0	19.0	197.0	35.0	6.0	29.0
здравоохранение и предоставление социальных услуг	24017.0	23671.0	334.0	68.0	194.0	66.0	6.0	12.0
предоставление прочих коммунальных, социальных и персональных услуг	12046.0	11367.0	675.0	83.0	524.0	68.0	-	4.0
предоставление услуг по ведению домашнего хозяйства	76.0	76.0						-
деятельность экстерриториальных организаций	4.0	4.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1945.0	1685.0	234.0	42.0	157.0	21.0	14.0	26.0
Курская область								
Все население, занятое в экономике	477108.0	450805.0	25715.0	5655.0	17937.0	1534.0	589.0	588.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	71733.0	69233.0	2376.0	367.0	1352.0	625.0	32.0	124.0
рыболовство, рыбоводство	300.0	272.0	28.0	8.0	20.0	-	-	-
добыча полезных ископаемых	8041.0	7970.0	62.0	8.0	54.0	-	-	9.0
обрабатывающие производства	91000.0	89324.0	1591.0	370.0	1079.0	97.0	45.0	85.0
производство и распределение электроэнергии, газа и воды	18617.0	18477.0	127.0	18.0	86.0	23.0	-	13.0
строительство	30176.0	28817.0	1334.0	342.0	875.0	78.0	39.0	25.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	59504.0	43862.0	15540.0	3857.0	11075.0	313.0	295.0	102.0
гостиницы и рестораны	6375.0	6124.0	246.0	101.0	108.0	23.0	14.0	5.0
транспорт и связь	38211.0	36129.0	2035.0	250.0	1642.0	79.0	64.0	47.0
финансовая деятельность	5148.0	5091.0	57.0	-	39.0	12.0	6.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	11270.0	10697.0	552.0	151.0	356.0	40.0	5.0	21.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	33523.0	33523.0						-
образование	45790.0	45358.0	394.0	22.0	292.0	35.0	45.0	38.0
здравоохранение и предоставление социальных услуг	34300.0	33886.0	367.0	26.0	240.0	89.0	12.0	47.0
предоставление прочих коммунальных, социальных и персональных услуг	19750.0	19004.0	706.0	101.0	548.0	57.0	-	40.0
предоставление услуг по ведению домашнего хозяйства	77.0	77.0						-
деятельность экстерриториальных организаций	8.0	8.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3285.0	2953.0	300.0	34.0	171.0	63.0	32.0	32.0
Липецкая область								
Все население, занятое в экономике	489163.0	465777.0	22679.0	5347.0	15189.0	1469.0	674.0	707.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	58583.0	57303.0	1224.0	336.0	749.0	112.0	27.0	56.0
рыболовство, рыбоводство	167.0	158.0	9.0	-	9.0	-	-	-
добыча полезных ископаемых	3332.0	3320.0	12.0	-	12.0	-	-	-
обрабатывающие производства	121423.0	119671.0	1584.0	439.0	933.0	120.0	92.0	168.0
производство и распределение электроэнергии, газа и воды	9796.0	9687.0	98.0	15.0	77.0	6.0	-	11.0
строительство	28579.0	27176.0	1321.0	341.0	789.0	167.0	24.0	82.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	56951.0	43376.0	13495.0	3335.0	9273.0	512.0	375.0	80.0
гостиницы и рестораны	8275.0	7968.0	293.0	93.0	145.0	31.0	24.0	14.0
транспорт и связь	39862.0	38113.0	1688.0	208.0	1313.0	139.0	28.0	61.0
финансовая деятельность	4937.0	4882.0	51.0	15.0	31.0	5.0	-	4.0
