11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ  ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Центральный федеральный округ								
операции с недвижимым имуществом, аренда и предоставление услуг	28927.0	26724.0	2203.0	749.0	1358.0	73.0	23.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	79484.0	79484.0						-
образование	99965.0	99104.0	860.0	104.0	601.0	116.0	39.0	1.0
здравоохранение и предоставление социальных услуг	80795.0	79686.0	1109.0	191.0	719.0	169.0	30.0	-
предоставление прочих коммунальных, социальных и персональных услуг	30375.0	28161.0	2214.0	488.0	1591.0	101.0	34.0	-
предоставление услуг по ведению домашнего хозяйства	386.0	386.0						-
деятельность экстерриториальных организаций	10.0	10.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1953.0	1717.0	236.0	86.0	121.0	27.0	2.0	-
Красноярский край								
Все население, занятое в экономике	1284174.0	1216930.0	67230.0	22611.0	40180.0	2529.0	1910.0	14.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	116905.0	113274.0	3630.0	1238.0	2053.0	191.0	148.0	1.0
рыболовство, рыбоводство	1217.0	1071.0	146.0	29.0	111.0	5.0	1.0	-
добыча полезных ископаемых	38920.0	38660.0	260.0	31.0	192.0	11.0	26.0	-
обрабатывающие производства	212512.0	207121.0	5389.0	1897.0	2991.0	290.0	211.0	2.0
производство и распределение электроэнергии, газа и воды	41929.0	41473.0	456.0	67.0	322.0	40.0	27.0	-
строительство	82683.0	78679.0	4004.0	1561.0	2115.0	227.0	101.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	163037.0	126872.0	36162.0	13693.0	20908.0	769.0	792.0	3.0
гостиницы и рестораны	25392.0	24068.0	1324.0	677.0	562.0	33.0	52.0	-
транспорт и связь	127812.0	121939.0	5872.0	1145.0	4320.0	207.0	200.0	1.0
финансовая деятельность	13442.0	13171.0	271.0	83.0	151.0	22.0	15.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	85180.0	82024.0	3155.0	1037.0	1843.0	185.0	90.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	94980.0	94980.0						-
образование	125247.0	123888.0	1358.0	141.0	1033.0	105.0	79.0	1.0
здравоохранение и предоставление социальных услуг	95512.0	93899.0	1610.0	196.0	1195.0	130.0	89.0	3.0
предоставление прочих коммунальных, социальных и персональных услуг	43874.0	41317.0	2557.0	615.0	1718.0	170.0	54.0	-
предоставление услуг по ведению домашнего хозяйства	376.0	376.0						-
деятельность экстерриториальных организаций	48.0	48.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	15108.0	14070.0	1036.0	201.0	666.0	144.0	25.0	2.0
Таймырский (Долгано-Ненецкий) автономный округ								
Все население, занятое в экономике	19414.0	18910.0	504.0	183.0	279.0	28.0	14.0	-
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	933.0	918.0	15.0	2.0	12.0	1.0	-	-
рыболовство, рыбоводство	799.0	742.0	57.0	21.0	31.0	5.0	-	-
добыча полезных ископаемых	571.0	571.0	-	-	-	-	-	-
обрабатывающие производства	359.0	338.0	21.0	6.0	13.0	2.0	-	-
производство и распределение электроэнергии, газа и воды	403.0	402.0	1.0	-	1.0	-	-	-
строительство	1072.0	1049.0	23.0	12.0	9.0	2.0	-	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1549.0	1314.0	235.0	124.0	93.0	7.0	11.0	-
гостиницы и рестораны	299.0	298.0	1.0	-	1.0	-	-	-
транспорт и связь	3958.0	3867.0	91.0	13.0	73.0	3.0	2.0	-
финансовая деятельность	162.0	162.0	-	-	-	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	2027.0	2014.0	13.0	2.0	9.0	2.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	2043.0	2043.0						-
образование	2546.0	2543.0	3.0	-	3.0	-	-	-
здравоохранение и предоставление социальных услуг	1724.0	1721.0	3.0	-	3.0	-	-	-
предоставление прочих коммунальных, социальных и персональных услуг	833.0	808.0	25.0	3.0	18.0	3.0	1.0	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	136.0	120.0	16.0	-	13.0	3.0	-	-
Эвенкийский автономный округ								
Все население, занятое в экономике	8453.0	8253.0	200.0	66.0	128.0	1.0	5.0	-
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	588.0	531.0	57.0	14.0	43.0	-	-	-
рыболовство, рыбоводство	20.0	18.0	2.0	-	2.0	-	-	-
добыча полезных ископаемых	589.0	589.0	-	-	-	-	-	-
обрабатывающие производства	65.0	61.0	4.0	-	3.0	-	1.0	-
производство и распределение электроэнергии, газа и воды	526.0	526.0	-	-	-	-	-	-
строительство	339.0	332.0	7.0	3.0	4.0	-	-	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	560.0	489.0	71.0	47.0	24.0	-	-	-
гостиницы и рестораны	86.0	85.0	1.0	1.0	-	-	-	-
транспорт и связь	943.0	928.0	15.0	-	12.0	-	3.0	-
финансовая деятельность	137.0	137.0	-	-	-	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	1010.0	1007.0	3.0	1.0	1.0	-	1.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1314.0	1314.0						-
образование	1093.0	1092.0	1.0	-	1.0	-	-	-
здравоохранение и предоставление социальных услуг	823.0	822.0	1.0	-	1.0	-	-	-
предоставление прочих коммунальных, социальных и персональных услуг	281.0	278.0	3.0	-	3.0	-	-	-
предоставление услуг по ведению домашнего хозяйства	6.0	6.0						-
не распределенные по видам деятельности и неточно указавшие вид деятельности	73.0	38.0	35.0	-	34.0	1.0	-	-
Иркутская область								
Все население, занятое в экономике	1041054.0	982681.0	57956.0	17891.0	32787.0	3903.0	3375.0	417.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	106090.0	101518.0	4540.0	1651.0	1896.0	559.0	434.0	32.0
рыболовство, рыбоводство	494.0	416.0	77.0	-	73.0	-	4.0	1.0
добыча полезных ископаемых	23865.0	23236.0	624.0	131.0	432.0	26.0	35.0	5.0
обрабатывающие производства	168125.0	162472.0	5584.0	1594.0	3249.0	398.0	343.0	69.0
производство и распределение электроэнергии, газа и воды	29341.0	28781.0	557.0	73.0	368.0	68.0	48.0	3.0
строительство	62672.0	59174.0	3475.0	1165.0	1900.0	251.0	159.0	23.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	126406.0	101628.0	24723.0	9622.0	13166.0	844.0	1091.0	55.0
гостиницы и рестораны	19068.0	17700.0	1352.0	595.0	587.0	79.0	91.0	16.0
транспорт и связь	112420.0	106723.0	5658.0	1036.0	3916.0	411.0	295.0	39.0
финансовая деятельность	12663.0	12178.0	483.0	105.0	269.0	75.0	34.0	2.0
операции с недвижимым имуществом, аренда и предоставление услуг	24495.0	22795.0	1690.0	511.0	974.0	121.0	84.0	10.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	73955.0	73955.0						-
образование	111330.0	109332.0	1937.0	132.0	1309.0	295.0	201.0	61.0
здравоохранение и предоставление социальных услуг	80710.0	78459.0	2225.0	250.0	1504.0	291.0	180.0	26.0
предоставление прочих коммунальных, социальных и персональных услуг	69845.0	66110.0	3717.0	744.0	2446.0	311.0	216.0	18.0
предоставление услуг по ведению домашнего хозяйства	441.0	441.0						-
деятельность экстерриториальных организаций	47.0	47.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	19087.0	17716.0	1314.0	282.0	698.0	174.0	160.0	57.0
Усть-Ордынский Бурятский автономный округ								
Все население, занятое в экономике	41434.0	40094.0	1278.0	401.0	537.0	25.0	315.0	62.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	14682.0	14285.0	381.0	117.0	133.0	13.0	118.0	16.0
рыболовство, рыбоводство	17.0	14.0	2.0	-	2.0	-	-	1.0
добыча полезных ископаемых	403.0	396.0	7.0	-	-	-	7.0	-
обрабатывающие производства	1193.0	1151.0	40.0	18.0	15.0	-	7.0	2.0
производство и распределение электроэнергии, газа и воды	456.0	454.0	2.0	-	-	-	2.0	-
строительство	1181.0	1121.0	59.0	23.0	24.0	1.0	11.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	3076.0	2542.0	528.0	213.0	268.0	9.0	38.0	6.0
гостиницы и рестораны	476.0	450.0	25.0	12.0	7.0	-	6.0	1.0
транспорт и связь	1425.0	1344.0	77.0	9.0	57.0	2.0	9.0	4.0
финансовая деятельность	380.0	376.0	4.0	-	1.0	-	3.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	708.0	684.0	24.0	4.0	15.0	-	5.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	4124.0	4124.0						-
образование	8055.0	7998.0	45.0	1.0	2.0	-	42.0	12.0
здравоохранение и предоставление социальных услуг	3986.0	3955.0	23.0	-	1.0	-	22.0	8.0
предоставление прочих коммунальных, социальных и персональных услуг	1156.0	1136.0	19.0	4.0	11.0	-	4.0	1.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	116.0	64.0	42.0	-	1.0	-	41.0	10.0
Кемеровская область								
Все население, занятое в экономике	1200097.0	1149083.0	51014.0	17816.0	28749.0	2781.0	1668.0	-
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	52325.0	50523.0	1802.0	422.0	1181.0	151.0	48.0	-
рыболовство, рыбоводство	84.0	72.0	12.0	4.0	2.0	6.0	-	-
добыча полезных ископаемых	150934.0	150020.0	914.0	171.0	627.0	79.0	37.0	-
обрабатывающие производства	184650.0	181003.0	3647.0	1390.0	1907.0	215.0	135.0	-
производство и распределение электроэнергии, газа и воды	43537.0	43037.0	500.0	50.0	348.0	48.0	54.0	-
строительство	69101.0	65466.0	3635.0	1453.0	1761.0	253.0	168.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	149332.0	121834.0	27498.0	11192.0	14921.0	856.0	529.0	-
гостиницы и рестораны	29345.0	28315.0	1030.0	440.0	471.0	52.0	67.0	-
транспорт и связь	125416.0	121183.0	4233.0	940.0	2891.0	239.0	163.0	-
финансовая деятельность	11492.0	11216.0	276.0	82.0	144.0	34.0	16.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	71028.0	68668.0	2360.0	682.0	1384.0	184.0	110.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	61033.0	61033.0						-
образование	109760.0	108417.0	1343.0	133.0	845.0	246.0	119.0	-
здравоохранение и предоставление социальных услуг	93773.0	92510.0	1263.0	129.0	908.0	150.0	76.0	-
предоставление прочих коммунальных, социальных и персональных услуг	38406.0	36561.0	1845.0	501.0	1112.0	151.0	81.0	-
предоставление услуг по ведению домашнего хозяйства	215.0	215.0						-
деятельность экстерриториальных организаций	40.0	35.0	5.0			5.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	9626.0	8975.0	651.0	227.0	247.0	112.0	65.0	-
Новосибирская область								
Все население, занятое в экономике	1159467.0	1091678.0	67788.0	22560.0	40370.0	3451.0	1407.0	1.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	112096.0	107351.0	4745.0	807.0	2906.0	918.0	114.0	-
рыболовство, рыбоводство	785.0	716.0	69.0	12.0	57.0	-	-	-
добыча полезных ископаемых	7146.0	7038.0	108.0	28.0	80.0	-	-	-
обрабатывающие производства	201108.0	194204.0	6904.0	2693.0	3789.0	291.0	131.0	-
производство и распределение электроэнергии, газа и воды	32140.0	31750.0	390.0	97.0	225.0	49.0	19.0	-
строительство	84076.0	79626.0	4450.0	1775.0	2364.0	210.0	101.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	186060.0	152411.0	33649.0	12471.0	19780.0	792.0	606.0	-
гостиницы и рестораны	31135.0	29928.0	1207.0	555.0	532.0	84.0	36.0	-
транспорт и связь	119657.0	112863.0	6794.0	1392.0	4941.0	324.0	137.0	-
финансовая деятельность	14617.0	14246.0	371.0	174.0	167.0	24.0	6.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	70798.0	67388.0	3410.0	1313.0	1824.0	202.0	71.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	70444.0	70444.0						-
образование	96486.0	95088.0	1398.0	196.0	1008.0	139.0	55.0	-
здравоохранение и предоставление социальных услуг	80828.0	79489.0	1338.0	308.0	861.0	135.0	34.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	41326.0	39011.0	2315.0	540.0	1491.0	222.0	62.0	-
предоставление услуг по ведению домашнего хозяйства	528.0	528.0						-
деятельность экстерриториальных организаций	28.0	28.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10209.0	9569.0	640.0	199.0	345.0	61.0	35.0	-
Омская область								
Все население, занятое в экономике	827109.0	775879.0	51229.0	15915.0	30804.0	3326.0	1184.0	1.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	105849.0	100579.0	5270.0	1015.0	3233.0	864.0	158.0	-
рыболовство, рыбоводство	166.0	152.0	14.0	4.0	10.0	-	-	-
добыча полезных ископаемых	5024.0	4950.0	74.0	23.0	51.0	-	-	-
обрабатывающие производства	136116.0	131354.0	4761.0	1596.0	2720.0	317.0	128.0	1.0
производство и распределение электроэнергии, газа и воды	20783.0	20508.0	275.0	35.0	220.0	13.0	7.0	-
строительство	60584.0	57605.0	2979.0	1143.0	1505.0	240.0	91.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	115655.0	90368.0	25287.0	9257.0	15001.0	589.0	440.0	-
гостиницы и рестораны	17897.0	17148.0	749.0	341.0	341.0	48.0	19.0	-
транспорт и связь	73391.0	69061.0	4330.0	934.0	3032.0	258.0	106.0	-
финансовая деятельность	9285.0	9055.0	230.0	57.0	121.0	17.0	35.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	39388.0	37033.0	2355.0	699.0	1462.0	139.0	55.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	52778.0	52778.0						-
образование	81520.0	80405.0	1115.0	80.0	729.0	252.0	54.0	-
здравоохранение и предоставление социальных услуг	67844.0	66568.0	1276.0	185.0	819.0	233.0	39.0	-
предоставление прочих коммунальных, социальных и персональных услуг	30492.0	28751.0	1741.0	390.0	1098.0	221.0	32.0	-
предоставление услуг по ведению домашнего хозяйства	309.0	309.0						-
деятельность экстерриториальных организаций	24.0	24.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10004.0	9231.0	773.0	156.0	462.0	135.0	20.0	-
Томская область								
Все население, занятое в экономике	430823.0	404016.0	26807.0	8819.0	15338.0	1917.0	733.0	-
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	29118.0	27668.0	1450.0	288.0	905.0	216.0	41.0	-
рыболовство, рыбоводство	388.0	334.0	54.0	4.0	49.0	1.0	-	-
добыча полезных ископаемых	13505.0	13332.0	173.0	19.0	116.0	15.0	23.0	-
обрабатывающие производства	74171.0	71162.0	3009.0	1089.0	1543.0	261.0	116.0	-
производство и распределение электроэнергии, газа и воды	9797.0	9571.0	226.0	50.0	130.0	46.0	-	-
строительство	32185.0	30195.0	1990.0	720.0	1044.0	165.0	61.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	56640.0	44517.0	12123.0	4673.0	6874.0	348.0	228.0	-
гостиницы и рестораны	9149.0	8594.0	555.0	310.0	190.0	32.0	23.0	-
транспорт и связь	41012.0	38359.0	2653.0	651.0	1715.0	225.0	62.0	-
финансовая деятельность	5527.0	5352.0	175.0	27.0	105.0	30.0	13.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	33134.0	31564.0	1570.0	473.0	924.0	113.0	60.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	30448.0	30448.0						-
образование	48918.0	48082.0	836.0	71.0	572.0	154.0	39.0	-
здравоохранение и предоставление социальных услуг	33694.0	32842.0	852.0	118.0	558.0	138.0	38.0	-
предоставление прочих коммунальных, социальных и персональных услуг	11254.0	10343.0	911.0	256.0	511.0	121.0	23.0	-
предоставление услуг по ведению домашнего хозяйства	202.0	202.0						-
деятельность экстерриториальных организаций	16.0	16.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1665.0	1435.0	230.0	70.0	102.0	52.0	6.0	-
Читинская область								
Все население, занятое в экономике	410344.0	388850.0	21337.0	5471.0	11517.0	2671.0	1678.0	157.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	39847.0	36346.0	3482.0	484.0	1297.0	1471.0	230.0	19.0
рыболовство, рыбоводство	53.0	44.0	9.0	-	4.0	5.0	-	-
добыча полезных ископаемых	22622.0	22401.0	219.0	53.0	105.0	11.0	50.0	2.0
обрабатывающие производства	19096.0	18110.0	981.0	314.0	465.0	100.0	102.0	5.0
производство и распределение электроэнергии, газа и воды	11445.0	11251.0	194.0	8.0	129.0	16.0	41.0	-
строительство	19157.0	18295.0	857.0	312.0	424.0	54.0	67.0	5.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	42036.0	32512.0	9507.0	3351.0	5354.0	286.0	516.0	17.0
гостиницы и рестораны	6345.0	5986.0	359.0	176.0	114.0	27.0	42.0	-
транспорт и связь	55749.0	53248.0	2472.0	382.0	1690.0	206.0	194.0	29.0
финансовая деятельность	4678.0	4569.0	109.0	16.0	50.0	31.0	12.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	25807.0	24936.0	862.0	134.0	593.0	63.0	72.0	9.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	53877.0	53877.0						-
образование	51615.0	50912.0	678.0	26.0	319.0	179.0	154.0	25.0
здравоохранение и предоставление социальных услуг	40361.0	39714.0	623.0	31.0	385.0	122.0	85.0	24.0
предоставление прочих коммунальных, социальных и персональных услуг	12607.0	11984.0	617.0	99.0	435.0	42.0	41.0	6.0
предоставление услуг по ведению домашнего хозяйства	56.0	56.0						-
деятельность экстерриториальных организаций	20.0	20.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	4973.0	4589.0	368.0	85.0	153.0	58.0	72.0	16.0
Агинский Бурятский автономный округ								
Все население, занятое в экономике	20965.0	19996.0	966.0	249.0	682.0	11.0	24.0	3.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	4114.0	3982.0	129.0	23.0	105.0	-	1.0	3.0
рыболовство, рыбоводство	1.0	1.0	-	-	-	-	-	-
добыча полезных ископаемых	479.0	467.0	12.0	1.0	11.0	-	-	-
обрабатывающие производства	469.0	452.0	17.0	10.0	7.0	-	-	-
производство и распределение электроэнергии, газа и воды	565.0	564.0	1.0	1.0	-	-	-	-
строительство	775.0	729.0	46.0	17.0	28.0	1.0	-	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1724.0	1174.0	550.0	157.0	371.0	3.0	19.0	-
гостиницы и рестораны	416.0	377.0	39.0	27.0	10.0	2.0	-	-
транспорт и связь	953.0	817.0	136.0	7.0	125.0	-	4.0	-
финансовая деятельность	164.0	164.0	-	-	-	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	255.0	246.0	9.0	3.0	6.0	-	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	2682.0	2682.0						-
образование	4992.0	4991.0	1.0	-	-	1.0	-	-
здравоохранение и предоставление социальных услуг	2126.0	2123.0	3.0	1.0	2.0	-	-	-
предоставление прочих коммунальных, социальных и персональных услуг	1172.0	1155.0	17.0	-	15.0	2.0	-	-
предоставление услуг по ведению домашнего хозяйства	5.0	5.0						-
не распределенные по видам деятельности и неточно указавшие вид деятельности	73.0	67.0	6.0	2.0	2.0	2.0	-	-
Дальневосточный федеральный округ								
Все население, занятое в экономике	2869370.0	2729196.0	139084.0	45809.0	79087.0	8840.0	5348.0	1090.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	155235.0	144661.0	10536.0	2601.0	5820.0	1626.0	489.0	38.0
рыболовство, рыбоводство	58725.0	57306.0	1396.0	530.0	689.0	112.0	65.0	23.0
добыча полезных ископаемых	102723.0	101762.0	929.0	389.0	444.0	43.0	53.0	32.0
обрабатывающие производства	282873.0	273410.0	9343.0	3359.0	4780.0	747.0	457.0	120.0
производство и распределение электроэнергии, газа и воды	91337.0	90429.0	876.0	170.0	559.0	79.0	68.0	32.0
строительство	185105.0	176030.0	9021.0	3562.0	4410.0	683.0	366.0	54.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	369256.0	302479.0	66638.0	25771.0	36992.0	1996.0	1879.0	139.0
гостиницы и рестораны	65888.0	62712.0	3151.0	1549.0	1263.0	229.0	110.0	25.0
транспорт и связь	349127.0	332330.0	16607.0	3292.0	11467.0	1099.0	749.0	190.0
финансовая деятельность	34785.0	33925.0	855.0	235.0	468.0	101.0	51.0	5.0
операции с недвижимым имуществом, аренда и предоставление услуг	147398.0	141839.0	5488.0	1694.0	3136.0	386.0	272.0	71.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	337048.0	337047.0						1.0
образование	284422.0	281218.0	3087.0	335.0	2164.0	434.0	154.0	117.0
здравоохранение и предоставление социальных услуг	216989.0	213447.0	3431.0	483.0	2378.0	392.0	178.0	111.0
предоставление прочих коммунальных, социальных и персональных услуг	157990.0	151954.0	5946.0	1485.0	3662.0	544.0	255.0	90.0
предоставление услуг по ведению домашнего хозяйства	611.0	611.0						-
деятельность экстерриториальных организаций	455.0	450.0	5.0			5.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	29403.0	27586.0	1775.0	354.0	855.0	364.0	202.0	42.0
Республика Саха (Якутия)								
Все население, занятое в экономике	418585.0	397934.0	20549.0	5650.0	12078.0	1884.0	937.0	102.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	25221.0	21583.0	3637.0	477.0	1872.0	1092.0	196.0	1.0
рыболовство, рыбоводство	1129.0	1030.0	99.0	20.0	48.0	24.0	7.0	-
добыча полезных ископаемых	38090.0	37903.0	175.0	61.0	106.0	2.0	6.0	12.0
обрабатывающие производства	17645.0	16810.0	827.0	221.0	482.0	81.0	43.0	8.0
производство и распределение электроэнергии, газа и воды	14951.0	14823.0	128.0	36.0	81.0	11.0	-	-
строительство	26541.0	24933.0	1608.0	663.0	778.0	83.0	84.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	43967.0	35801.0	8165.0	2986.0	4616.0	254.0	309.0	1.0
гостиницы и рестораны	7992.0	7665.0	327.0	148.0	149.0	11.0	19.0	-
транспорт и связь	47009.0	43657.0	3327.0	526.0	2546.0	95.0	160.0	25.0
финансовая деятельность	5735.0	5636.0	99.0	33.0	60.0	6.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	43708.0	42807.0	881.0	265.0	504.0	66.0	46.0	20.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	31122.0	31122.0						-
образование	64344.0	64084.0	238.0	16.0	177.0	21.0	24.0	22.0
здравоохранение и предоставление социальных услуг	35360.0	35089.0	266.0	39.0	181.0	22.0	24.0	5.0
предоставление прочих коммунальных, социальных и персональных услуг	13896.0	13263.0	626.0	134.0	384.0	94.0	14.0	7.0
предоставление услуг по ведению домашнего хозяйства	89.0	89.0						-
деятельность экстерриториальных организаций	22.0	22.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1764.0	1617.0	146.0	25.0	94.0	22.0	5.0	1.0
Приморский край								
Все население, занятое в экономике	868386.0	826259.0	41754.0	13588.0	23589.0	2782.0	1795.0	373.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	40181.0	37596.0	2574.0	655.0	1595.0	218.0	106.0	11.0
рыболовство, рыбоводство	31631.0	31152.0	456.0	151.0	263.0	22.0	20.0	23.0
добыча полезных ископаемых	15718.0	15560.0	154.0	47.0	102.0	5.0	-	4.0
обрабатывающие производства	102669.0	99493.0	3125.0	1017.0	1639.0	281.0	188.0	51.0
производство и распределение электроэнергии, газа и воды	21003.0	20734.0	257.0	30.0	194.0	5.0	28.0	12.0
строительство	50693.0	48141.0	2545.0	1049.0	1223.0	174.0	99.0	7.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	122929.0	102788.0	20101.0	7568.0	11130.0	676.0	727.0	40.0
гостиницы и рестораны	22888.0	21734.0	1141.0	517.0	483.0	88.0	53.0	13.0
транспорт и связь	114491.0	109876.0	4545.0	1078.0	2791.0	444.0	232.0	70.0
финансовая деятельность	10422.0	10117.0	305.0	94.0	155.0	28.0	28.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	34999.0	33348.0	1627.0	460.0	960.0	128.0	79.0	24.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	103592.0	103592.0						-
образование	74889.0	73764.0	1100.0	141.0	698.0	237.0	24.0	25.0
здравоохранение и предоставление социальных услуг	60280.0	59016.0	1217.0	192.0	761.0	180.0	84.0	47.0
предоставление прочих коммунальных, социальных и персональных услуг	51213.0	49131.0	2053.0	498.0	1324.0	151.0	80.0	29.0
предоставление услуг по ведению домашнего хозяйства	265.0	265.0						-
деятельность экстерриториальных организаций	170.0	170.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10353.0	9782.0	554.0	91.0	271.0	145.0	47.0	17.0
Хабаровский край								
Все население, занятое в экономике	629433.0	597360.0	31776.0	10489.0	17621.0	2204.0	1462.0	297.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	37596.0	36282.0	1297.0	463.0	672.0	68.0	94.0	17.0
рыболовство, рыбоводство	4409.0	4268.0	141.0	54.0	80.0	4.0	3.0	-
добыча полезных ископаемых	10207.0	10109.0	89.0	41.0	30.0	12.0	6.0	9.0
обрабатывающие производства	85022.0	82556.0	2434.0	677.0	1323.0	282.0	152.0	32.0
производство и распределение электроэнергии, газа и воды	18088.0	17774.0	304.0	51.0	169.0	57.0	27.0	10.0
строительство	44430.0	42011.0	2405.0	971.0	1127.0	199.0	108.0	14.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	87240.0	71730.0	15464.0	6040.0	8363.0	549.0	512.0	46.0
гостиницы и рестораны	14130.0	13424.0	706.0	299.0	309.0	72.0	26.0	-
транспорт и связь	73894.0	70577.0	3258.0	765.0	1963.0	341.0	189.0	59.0
финансовая деятельность	7189.0	6936.0	253.0	61.0	160.0	28.0	4.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	24108.0	22842.0	1252.0	402.0	694.0	79.0	77.0	14.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	73270.0	73269.0						1.0
