8. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И ПОЛОЖЕНИЮ В ЗАНЯТИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	496861.0	442945.0	53780.0	24874.0	25483.0	2026.0	1397.0	136.0
специалисты высшего уровня квалификации	893398.0	884439.0	8656.0	905.0	5328.0	1535.0	888.0	303.0
специалисты среднего уровня квалификации	1095635.0	1084610.0	10666.0	1252.0	6181.0	2293.0	940.0	359.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	258651.0	256532.0	2044.0	140.0	1143.0	607.0	154.0	75.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1045774.0	975871.0	69553.0	7292.0	55509.0	3811.0	2941.0	350.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	502326.0	472920.0	29264.0	2666.0	20380.0	5270.0	948.0	142.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	291294.0	282576.0	8585.0	671.0	6765.0	804.0	345.0	133.0
операторы, аппаратчики, машинисты установок и машин	178828.0	176999.0	1762.0	173.0	1111.0	318.0	160.0	67.0
неквалифицированные рабочие	1002736.0	988146.0	14301.0	744.0	7943.0	4740.0	874.0	289.0
занятые на военной службе	24009.0	24008.0						1.0
лица, неточно указавшие или не указавшие занятия 	66039.0	63053.0	2780.0	388.0	1638.0	464.0	290.0	206.0
