3.6. СТРУКТУРА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ДОМОХОЗЯЙСТВ БЕЗДОМНЫХ И КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ												
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
	На 1000 частных домохозяйств приходится домохозяйств, состоящих из						На 1000 домохозяйств бездомных приходится домохозяйств, состоящих из			Удельный вес (%) населения, проживающего		
	1 человека	2 человек	3 человек	4 человек	5 человек	6 и более человек	1 человека	2 человек	3 и более человек	в частных домо-
хозяйствах	в домо-
хозяйствах бездомных	в коллектив-ных домо-
хозяйствах
Сельские населенные пункты	70.0	111.0	111.0	202.0	171.0	335.0	500.0	-	500.0	99.1	0.0	0.9
Республика Калмыкия	151.0	227.0	224.0	210.0	106.0	82.0	875.0	50.0	75.0	99.1	0.0	0.9
Городские населенные пункты	155.0	228.0	236.0	211.0	97.0	73.0	737.0	105.0	158.0	99.3	0.0	0.7
Сельские населенные пункты	148.0	226.0	215.0	209.0	114.0	88.0	1000.0	-	-	99.0	0.0	1.0
Карачаево-Черкесская Республика	159.0	202.0	189.0	199.0	124.0	127.0	517.0	127.0	356.0	99.5	0.1	0.4
Городские населенные пункты	173.0	230.0	223.0	209.0	94.0	71.0	746.0	99.0	155.0	99.5	0.1	0.4
Сельские населенные пункты	146.0	175.0	157.0	189.0	152.0	181.0	170.0	170.0	660.0	99.5	0.1	0.4
Республика Северная Осетия - Алания	168.0	194.0	188.0	195.0	121.0	134.0	586.0	35.0	379.0	97.3	0.0	2.7
Городские населенные пункты	191.0	215.0	205.0	202.0	106.0	81.0	577.0	38.0	385.0	96.3	0.1	3.6
Сельские населенные пункты	110.0	143.0	145.0	176.0	159.0	267.0	667.0	-	333.0	99.0	0.0	1.0
Чеченская Республика	37.0	78.0	94.0	170.0	163.0	458.0	400.0	-	600.0	96.9	0.0	3.1
Городские населенные пункты	27.0	67.0	81.0	197.0	148.0	480.0	-	-	1000.0	98.0	0.0	2.0
Сельские населенные пункты	42.0	85.0	100.0	157.0	170.0	446.0	500.0	-	500.0	96.4	0.0	3.6
