5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
производство и распределение электроэнергии, газа и воды	392283.0	97399.0	9941.0	168383.0	45566.0	58936.0	10567.0	1217.0	40.0	234.0
строительство	783958.0	201221.0	24122.0	301738.0	120452.0	103504.0	27924.0	3588.0	239.0	1170.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4248701.0	806484.0	165636.0	1872444.0	539851.0	708195.0	135047.0	13587.0	2581.0	4876.0
гостиницы и рестораны	842524.0	85956.0	25677.0	370783.0	161085.0	152753.0	40887.0	4228.0	323.0	832.0
транспорт и связь	1416879.0	304560.0	49997.0	597260.0	172860.0	237698.0	47817.0	4773.0	393.0	1521.0
финансовая деятельность	530716.0	287032.0	30420.0	157605.0	19673.0	32134.0	2915.0	266.0	54.0	617.0
операции с недвижимым имуществом, аренда и предоставление услуг	1144822.0	464438.0	50373.0	363030.0	92237.0	137607.0	31095.0	4382.0	289.0	1371.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	1277447.0	561540.0	68005.0	436986.0	67898.0	126298.0	14352.0	1495.0	122.0	751.0
образование	3186168.0	1614638.0	121711.0	942906.0	197069.0	238575.0	61309.0	6828.0	473.0	2659.0
здравоохранение и предоставление социальных услуг	2870589.0	715695.0	65637.0	1502554.0	256108.0	245098.0	73285.0	9202.0	585.0	2425.0
предоставление прочих коммунальных, социальных и персональных услуг	1291223.0	325204.0	51345.0	489585.0	152727.0	210279.0	52826.0	7220.0	348.0	1689.0
предоставление услуг по ведению домашнего хозяйства	18573.0	4159.0	849.0	7072.0	2091.0	3351.0	876.0	131.0	13.0	31.0
деятельность экстерриториальных организаций	4173.0	1905.0	216.0	1226.0	185.0	512.0	89.0	9.0	20.0	11.0
