7.2. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ 								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Все население	в том числе население, проживающее						
		в индивидуальных домах	в отдельных квартирах	в коммунальных квартирах	в общежитиях	в институциональных учреждениях	в гостиницах	в других жилых помещениях
Городские населенные пункты	1386765.0	245827.0	1016292.0	10607.0	80621.0	26372.0	195.0	1806.0
Сельские населенные пункты	1220661.0	661512.0	537069.0	1770.0	8156.0	8817.0	71.0	1207.0
Красноярский край	2966042.0	471426.0	2285756.0	13830.0	124025.0	54706.0	513.0	4016.0
Городские населенные пункты	2245715.0	209327.0	1851193.0	12922.0	120521.0	40059.0	425.0	1398.0
Сельские населенные пункты	720327.0	262099.0	434563.0	908.0	3504.0	14647.0	88.0	2618.0
Таймырский (Долгано-Ненецкий) автономный округ	39786.0	343.0	35249.0	54.0	1979.0	448.0	1.0	1548.0
Городские населенные пункты	26330.0	11.0	24003.0	23.0	1810.0	399.0	1.0	-
Сельские населенные пункты	13456.0	332.0	11246.0	31.0	169.0	49.0	-	1548.0
Эвенкийский автономный округ	17697.0	3397.0	13522.0	19.0	446.0	161.0	3.0	104.0
Городские населенные пункты	5836.0	404.0	5067.0	11.0	253.0	63.0	-	17.0
Сельские населенные пункты	11861.0	2993.0	8455.0	8.0	193.0	98.0	3.0	87.0
Иркутская область	2581705.0	517868.0	1893179.0	14320.0	92791.0	47494.0	496.0	3236.0
Городские населенные пункты	2047614.0	262162.0	1629468.0	13470.0	91132.0	37775.0	400.0	2787.0
Сельские населенные пункты	534091.0	255706.0	263711.0	850.0	1659.0	9719.0	96.0	449.0
Усть-Ордынский Бурятский автономный округ - сельские населенные пункты	135327.0	73130.0	60473.0	80.0	333.0	958.0	26.0	34.0
Кемеровская область	2899142.0	770075.0	1972890.0	15143.0	74767.0	48512.0	218.0	1671.0
Городские населенные пункты	2512948.0	579989.0	1788229.0	14656.0	72807.0	41137.0	155.0	1210.0
