12. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Все население																			
55-59	13009.0	17529.0	4707.0	4560.0	-	6015.0	1374.0	19.0	140.0	29.0	46.0	29.0	466.0	144.0	-	8864.0	3775.0	365.0	5.0
60-64	20641.0	29611.0	3790.0	6561.0	-	17671.0	1185.0	24.0	-	30.0	50.0	14.0	229.0	57.0	-	12536.0	7244.0	857.0	4.0
65 и более	54402.0	73802.0	2645.0	16706.0	-	51404.0	2306.0	48.0	-	66.0	113.0	41.0	408.0	65.0	2.0	35926.0	17558.0	904.0	12.0
возраст не указан	34.0	38.0	18.0	1.0	4.0	5.0	-	1.0	2.0	-	-	-	4.0	3.0	-	30.0	4.0	-	-
Белорусы	807970.0	995637.0	404618.0	93674.0	7253.0	300452.0	28657.0	26275.0	5300.0	8831.0	2601.0	1356.0	103788.0	12832.0	1282.0	628199.0	168419.0	9740.0	330.0
в том числе в возрасте, лет:																			
до 15	36537.0	52670.0	7.0	259.0	21.0	671.0	372.0	15512.0	-	504.0	7.0	34.0	35207.0	76.0	85.0	20874.0	14954.0	608.0	16.0
15-19	25567.0	34514.0	3119.0	675.0	4705.0	579.0	311.0	3432.0	69.0	937.0	20.0	12.0	20406.0	249.0	42.0	17202.0	7700.0	581.0	42.0
20-29	70914.0	80763.0	50369.0	4260.0	2446.0	209.0	903.0	2514.0	666.0	2103.0	276.0	68.0	14817.0	2132.0	161.0	61362.0	8822.0	531.0	38.0
30-49	301155.0	346445.0	245472.0	34573.0	77.0	11754.0	8159.0	3771.0	3612.0	3180.0	1338.0	478.0	26311.0	7720.0	543.0	256578.0	42323.0	1638.0	73.0
50-54	75537.0	96017.0	53991.0	10885.0	-	18681.0	4473.0	277.0	788.0	409.0	270.0	140.0	4518.0	1585.0	120.0	56208.0	17858.0	1317.0	34.0
55-59	51909.0	72224.0	24054.0	7703.0	-	35266.0	2906.0	126.0	162.0	220.0	140.0	132.0	970.0	545.0	61.0	33048.0	17256.0	1517.0	27.0
60-64	80166.0	109660.0	17057.0	12985.0	-	75181.0	2928.0	202.0	-	367.0	179.0	173.0	352.0	236.0	85.0	52593.0	25440.0	2007.0	41.0
65 и более	166017.0	203132.0	10449.0	22330.0	-	158074.0	8601.0	426.0	-	1107.0	371.0	308.0	1187.0	279.0	174.0	130204.0	34053.0	1534.0	52.0
возраст не указан	168.0	212.0	100.0	4.0	4.0	37.0	4.0	15.0	3.0	4.0	-	11.0	20.0	10.0	11.0	130.0	13.0	7.0	7.0
Казахи	653962.0	953024.0	238190.0	147813.0	14775.0	75402.0	20228.0	148438.0	5085.0	8560.0	882.0	3252.0	276599.0	13800.0	242.0	370493.0	267536.0	15312.0	379.0
в том числе в возрасте, лет:																			
до 15	153322.0	276077.0	4.0	2131.0	94.0	3910.0	1869.0	120370.0	-	1811.0	8.0	146.0	145558.0	176.0	37.0	36058.0	111777.0	5335.0	115.0
15-19	68011.0	104256.0	7117.0	4609.0	11873.0	2294.0	1213.0	19157.0	223.0	1205.0	33.0	47.0	55879.0	606.0	18.0	35256.0	29352.0	3248.0	137.0
20-29	103571.0	130201.0	55757.0	22148.0	2767.0	421.0	2327.0	4719.0	1071.0	2248.0	164.0	232.0	35094.0	3253.0	48.0	78376.0	23649.0	1466.0	32.0
30-49	228614.0	302735.0	150445.0	83188.0	39.0	3163.0	9151.0	3975.0	3275.0	2793.0	527.0	1747.0	35833.0	8599.0	101.0	157484.0	67892.0	3082.0	55.0
50-54	30061.0	41662.0	17791.0	11895.0	-	4293.0	2694.0	108.0	430.0	184.0	59.0	296.0	3056.0	856.0	12.0	19207.0	10084.0	746.0	12.0
55-59	14099.0	20459.0	5192.0	5605.0	-	7277.0	1271.0	31.0	86.0	63.0	27.0	161.0	530.0	216.0	-	8180.0	5485.0	427.0	7.0
60-64	20434.0	30008.0	1350.0	8049.0	-	19287.0	722.0	29.0	-	89.0	20.0	254.0	157.0	51.0	6.0	11436.0	8414.0	568.0	10.0
65 и более	35792.0	47567.0	511.0	10182.0	-	34755.0	979.0	47.0	-	165.0	44.0	369.0	476.0	39.0	9.0	24461.0	10871.0	440.0	11.0
возраст не указан	58.0	59.0	23.0	6.0	2.0	2.0	2.0	2.0	-	2.0	-	-	16.0	4.0	11.0	35.0	12.0	-	-
Удмурты	636906.0	970312.0	315475.0	209911.0	11730.0	144887.0	21027.0	89350.0	5116.0	7207.0	971.0	678.0	158802.0	5158.0	108.0	324506.0	291701.0	19980.0	611.0
в том числе в возрасте, лет:																			
до 15	89104.0	162162.0	-	3442.0	60.0	2792.0	1166.0	67034.0	-	984.0	12.0	34.0	86552.0	86.0	4.0	21587.0	62129.0	5219.0	165.0
15-19	48007.0	78151.0	7841.0	6511.0	9543.0	1966.0	860.0	12353.0	326.0	803.0	26.0	11.0	37777.0	134.0	3.0	22271.0	21540.0	3976.0	217.0
20-29	84148.0	117105.0	64253.0	24070.0	2102.0	395.0	1925.0	5781.0	1010.0	1779.0	119.0	48.0	14854.0	769.0	13.0	53647.0	28087.0	2327.0	74.0
30-49	232180.0	338052.0	196528.0	99167.0	24.0	4569.0	8743.0	3841.0	2971.0	2403.0	448.0	310.0	15746.0	3302.0	50.0	130059.0	98296.0	3703.0	72.0
50-54	45622.0	68450.0	33556.0	18689.0	-	8364.0	3374.0	167.0	704.0	319.0	97.0	67.0	2477.0	636.0	18.0	24586.0	19218.0	1774.0	26.0
55-59	19396.0	30875.0	8601.0	7866.0	-	12174.0	1317.0	35.0	105.0	100.0	29.0	33.0	469.0	146.0	3.0	9160.0	9008.0	1202.0	23.0
60-64	33578.0	52047.0	3328.0	14920.0	-	32136.0	1136.0	40.0	-	208.0	53.0	55.0	132.0	39.0	7.0	16090.0	16507.0	955.0	19.0
65 и более	84834.0	123431.0	1345.0	35242.0	-	82485.0	2504.0	99.0	-	609.0	187.0	120.0	795.0	45.0	5.0	47081.0	36909.0	824.0	15.0
возраст не указан	37.0	39.0	23.0	4.0	1.0	6.0	2.0	-	-	2.0	-	-	-	1.0	5.0	25.0	7.0	-	-
Азербайджанцы	621840.0	745608.0	236011.0	47338.0	7117.0	26406.0	9459.0	82482.0	4556.0	8772.0	3032.0	1206.0	289498.0	29731.0	1884.0	497491.0	119359.0	3037.0	69.0
в том числе в возрасте, лет:																			
до 15	169490.0	235964.0	41.0	563.0	27.0	650.0	1027.0	69486.0	-	776.0	23.0	340.0	162733.0	298.0	407.0	103297.0	64720.0	1040.0	26.0
15-19	46741.0	61212.0	4575.0	2207.0	4865.0	325.0	496.0	8779.0	230.0	489.0	40.0	85.0	38428.0	693.0	77.0	32736.0	13318.0	603.0	7.0
20-29	101271.0	111411.0	47081.0	8870.0	2177.0	121.0	830.0	2010.0	1386.0	2256.0	541.0	126.0	38117.0	7896.0	338.0	90790.0	9811.0	329.0	3.0
30-49	255771.0	279628.0	165156.0	29344.0	47.0	2118.0	4481.0	2105.0	2720.0	4915.0	2121.0	539.0	47117.0	18965.0	900.0	230795.0	23419.0	638.0	19.0
50-54	18690.0	21136.0	11830.0	2638.0	-	1897.0	1080.0	46.0	183.0	178.0	174.0	59.0	1862.0	1189.0	64.0	16242.0	2265.0	112.0	7.0
55-59	7557.0	8941.0	3943.0	1012.0	-	2448.0	502.0	20.0	37.0	56.0	51.0	17.0	481.0	374.0	28.0	6193.0	1261.0	74.0	1.0
60-64	8712.0	11113.0	2203.0	1090.0	-	6853.0	399.0	16.0	-	48.0	44.0	19.0	280.0	161.0	8.0	6459.0	2084.0	158.0	3.0
65 и более	13347.0	15970.0	1043.0	1613.0	-	11989.0	643.0	19.0	-	52.0	37.0	21.0	435.0	118.0	24.0	10763.0	2475.0	83.0	2.0
возраст не указан	261.0	233.0	139.0	1.0	1.0	5.0	1.0	1.0	-	2.0	1.0	-	45.0	37.0	38.0	216.0	6.0	-	1.0
Марийцы	604298.0	915315.0	267152.0	192290.0	15221.0	111084.0	21421.0	101699.0	5454.0	7946.0	922.0	542.0	184605.0	6979.0	134.0	312231.0	273329.0	17995.0	609.0
в том числе в возрасте, лет:																			
до 15	102896.0	188457.0	1.0	4150.0	38.0	3471.0	1327.0	79556.0	-	1839.0	49.0	52.0	97868.0	106.0	12.0	23876.0	72657.0	6137.0	214.0
15-19	53721.0	88839.0	6658.0	7272.0	12764.0	2587.0	1051.0	13795.0	221.0	1243.0	36.0	15.0	42985.0	212.0	8.0	24101.0	24363.0	4984.0	265.0
