12. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Все население																			
20-29	887.0	1026.0	420.0	127.0	5.0	3.0	26.0	14.0	185.0	4.0	1.0	1.0	154.0	86.0	-	750.0	135.0	2.0	-
30-49	1999.0	2310.0	1049.0	302.0	-	20.0	94.0	32.0	477.0	12.0	6.0	-	154.0	164.0	2.0	1688.0	305.0	4.0	-
50-54	217.0	289.0	86.0	37.0	-	121.0	14.0	1.0	20.0	-	-	-	3.0	7.0	-	152.0	58.0	7.0	-
55-59	127.0	174.0	29.0	21.0	-	119.0	3.0	-	-	1.0	-	-	1.0	-	-	84.0	39.0	4.0	-
60-64	118.0	148.0	16.0	14.0	-	114.0	2.0	-	-	1.0	1.0	-	-	-	-	89.0	28.0	1.0	-
65 и более	225.0	260.0	12.0	17.0	-	220.0	5.0	-	-	6.0	-	-	-	-	-	190.0	35.0	-	-
возраст не указан	2.0	3.0	1.0	-	-	-	-	1.0	-	-	-	-	1.0	-	-	1.0	1.0	-	-
Долганы	5927.0	8556.0	2306.0	50.0	16.0	837.0	203.0	2220.0	194.0	248.0	3.0	1.0	2461.0	17.0	-	3563.0	2107.0	249.0	8.0
в том числе в возрасте, лет:																			
до 15	2064.0	3948.0	-	-	-	141.0	21.0	1798.0	-	178.0	-	-	1809.0	1.0	-	398.0	1454.0	206.0	6.0
15-19	599.0	954.0	80.0	-	9.0	57.0	16.0	288.0	37.0	52.0	-	1.0	413.0	1.0	-	282.0	281.0	34.0	2.0
20-29	866.0	958.0	616.0	12.0	7.0	2.0	39.0	71.0	65.0	7.0	2.0	-	135.0	2.0	-	779.0	82.0	5.0	-
30-49	1672.0	1800.0	1383.0	37.0	-	32.0	89.0	56.0	89.0	6.0	1.0	-	95.0	12.0	-	1546.0	124.0	2.0	-
50-54	205.0	270.0	129.0	-	-	118.0	12.0	3.0	3.0	1.0	-	-	4.0	-	-	141.0	63.0	1.0	-
55-59	163.0	218.0	60.0	1.0	-	147.0	7.0	1.0	-	1.0	-	-	-	1.0	-	108.0	55.0	-	-
60-64	161.0	194.0	29.0	-	-	149.0	12.0	1.0	-	1.0	-	-	2.0	-	-	129.0	31.0	1.0	-
65 и более	197.0	214.0	9.0	-	-	191.0	7.0	2.0	-	2.0	-	-	3.0	-	-	180.0	17.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Мужчины																			
Русские	12748198.0	18979742.0	5209115.0	3751154.0	173940.0	2302916.0	636198.0	2232881.0	78517.0	265483.0	23140.0	43512.0	3974066.0	288820.0	5850.0	6842853.0	5571258.0	318810.0	9427.0
в том числе в возрасте, лет:																			
до 15	2487936.0	4476566.0	274.0	65425.0	1428.0	70827.0	38582.0	1894115.0	-	38468.0	411.0	1870.0	2361124.0	4042.0	1787.0	611648.0	1761906.0	109305.0	3290.0
15-19	1143782.0	1761566.0	205274.0	138557.0	149651.0	43135.0	32593.0	304359.0	4397.0	26751.0	421.0	574.0	844523.0	11331.0	586.0	602454.0	466712.0	70503.0	3527.0
20-29	1817986.0	2322713.0	1281080.0	470773.0	22671.0	3137.0	63711.0	7895.0	15649.0	75399.0	2960.0	3109.0	320615.0	55714.0	751.0	1324732.0	479754.0	12538.0	211.0
30-49	3928869.0	5500275.0	2843092.0	1671850.0	175.0	61550.0	233883.0	15326.0	43651.0	83287.0	10138.0	18700.0	354140.0	164483.0	1572.0	2403862.0	1474729.0	47912.0	794.0
50-54	865279.0	1238157.0	563306.0	380154.0	-	67792.0	95769.0	3068.0	10424.0	12316.0	2475.0	4131.0	62247.0	36475.0	353.0	510376.0	336262.0	17912.0	376.0
55-59	406451.0	591510.0	215372.0	175911.0	-	92369.0	54731.0	1437.0	4391.0	5755.0	1133.0	2189.0	24722.0	13500.0	144.0	233626.0	160405.0	12035.0	241.0
60-64	693285.0	1058748.0	69310.0	290888.0	-	640676.0	36947.0	1936.0	-	8738.0	1388.0	4433.0	2390.0	2042.0	163.0	354416.0	312283.0	25946.0	477.0
65 и более	1403210.0	2028644.0	30799.0	557402.0	-	1323255.0	79917.0	4672.0	-	14679.0	4210.0	8502.0	4058.0	1150.0	326.0	800809.0	578931.0	22635.0	509.0
возраст не указан	1400.0	1563.0	608.0	194.0	15.0	175.0	65.0	73.0	5.0	90.0	4.0	4.0	247.0	83.0	168.0	930.0	276.0	24.0	2.0
Татары	845426.0	1314100.0	359311.0	344036.0	10076.0	154412.0	38680.0	129713.0	2693.0	7965.0	1068.0	835.0	252174.0	13137.0	83.0	400074.0	422292.0	22476.0	501.0
в том числе в возрасте, лет:																			
до 15	173384.0	288578.0	4.0	6987.0	77.0	3999.0	2432.0	109941.0	-	1189.0	12.0	140.0	163563.0	234.0	11.0	65722.0	100276.0	7197.0	178.0
15-19	66840.0	105176.0	10526.0	12553.0	8858.0	2254.0	1689.0	18109.0	127.0	806.0	10.0	25.0	49758.0	461.0	5.0	33960.0	27632.0	5022.0	221.0
20-29	103108.0	141003.0	74855.0	39687.0	1127.0	166.0	3275.0	354.0	436.0	2088.0	128.0	59.0	16413.0	2415.0	11.0	65968.0	36366.0	750.0	13.0
30-49	282926.0	427792.0	218401.0	158891.0	13.0	2545.0	15427.0	824.0	1659.0	2589.0	497.0	372.0	18467.0	8107.0	32.0	141449.0	138035.0	3372.0	38.0
50-54	47794.0	73692.0	34365.0	27027.0	-	2552.0	5049.0	111.0	323.0	364.0	111.0	60.0	2404.0	1326.0	5.0	23032.0	23622.0	1124.0	11.0
55-59	23366.0	37001.0	14610.0	13686.0	-	3513.0	3337.0	61.0	148.0	176.0	47.0	34.0	933.0	456.0	1.0	10493.0	12113.0	754.0	5.0
60-64	47661.0	79838.0	4694.0	27714.0	-	44330.0	2325.0	103.0	-	282.0	75.0	50.0	178.0	87.0	4.0	18049.0	27053.0	2537.0	18.0
65 и более	100269.0	160935.0	1819.0	57475.0	-	95048.0	5139.0	207.0	-	470.0	186.0	95.0	446.0	50.0	3.0	41352.0	57177.0	1720.0	17.0
возраст не указан	78.0	85.0	37.0	16.0	1.0	5.0	7.0	3.0	-	1.0	2.0	-	12.0	1.0	11.0	49.0	18.0	-	-
Украинцы	321885.0	455630.0	160006.0	104174.0	1810.0	89946.0	14662.0	20207.0	2272.0	4329.0	892.0	1488.0	48457.0	7387.0	142.0	194958.0	119840.0	6795.0	150.0
в том числе в возрасте, лет:																			
до 15	24485.0	41756.0	4.0	567.0	22.0	563.0	352.0	16409.0	-	262.0	4.0	21.0	23509.0	43.0	21.0	8138.0	15388.0	910.0	28.0
15-19	12889.0	19032.0	2254.0	1312.0	1505.0	353.0	269.0	3148.0	39.0	207.0	10.0	6.0	9786.0	143.0	9.0	7372.0	4893.0	586.0	29.0
20-29	32390.0	40453.0	24229.0	7869.0	278.0	35.0	838.0	77.0	270.0	1171.0	88.0	73.0	4561.0	964.0	17.0	24489.0	7690.0	192.0	2.0
30-49	123564.0	168156.0	95975.0	45723.0	5.0	4834.0	5026.0	335.0	1354.0	1882.0	438.0	597.0	7547.0	4440.0	70.0	80430.0	41500.0	1533.0	31.0
50-54	31574.0	45120.0	21590.0	12665.0	-	4478.0	2580.0	74.0	422.0	216.0	97.0	161.0	1705.0	1132.0	8.0	18804.0	11982.0	769.0	11.0
55-59	19103.0	28034.0	10142.0	7703.0	-	6232.0	1987.0	56.0	186.0	109.0	54.0	83.0	976.0	506.0	7.0	10846.0	7569.0	675.0	6.0
60-64	28696.0	43710.0	4077.0	11066.0	-	26644.0	1204.0	49.0	-	166.0	72.0	191.0	139.0	102.0	1.0	14978.0	12441.0	1254.0	22.0
65 и более	49161.0	69340.0	1724.0	17265.0	-	46804.0	2405.0	58.0	-	316.0	129.0	355.0	229.0	55.0	7.0	29886.0	18372.0	876.0	20.0
возраст не указан	23.0	29.0	11.0	4.0	-	3.0	1.0	1.0	1.0	-	-	1.0	5.0	2.0	2.0	15.0	5.0	-	1.0
Башкиры	422156.0	699848.0	164489.0	191137.0	6611.0	67708.0	14588.0	93363.0	1117.0	2765.0	568.0	460.0	149071.0	7971.0	18.0	161302.0	244553.0	15702.0	581.0
в том числе в возрасте, лет:																			
до 15	102537.0	186018.0	2.0	5481.0	31.0	3733.0	1193.0	80313.0	-	935.0	7.0	143.0	94053.0	127.0	6.0	26219.0	69379.0	6692.0	241.0
15-19	37263.0	63188.0	4935.0	8186.0	5942.0	1943.0	783.0	12208.0	59.0	435.0	3.0	33.0	28415.0	246.0	3.0	15913.0	17029.0	4060.0	258.0
20-29	52251.0	73910.0	35558.0	22399.0	631.0	108.0	1532.0	176.0	197.0	298.0	66.0	35.0	11372.0	1538.0	2.0	31149.0	20548.0	543.0	9.0
30-49	139834.0	222166.0	102367.0	92028.0	7.0	1045.0	6228.0	400.0	660.0	653.0	274.0	170.0	13309.0	5025.0	4.0	59407.0	78547.0	1842.0	34.0
50-54	20399.0	33347.0	14156.0	13958.0	-	1119.0	1716.0	78.0	137.0	106.0	48.0	29.0	1271.0	729.0	-	7999.0	11865.0	523.0	12.0
55-59	9155.0	15201.0	5512.0	6333.0	-	1490.0	1003.0	38.0	64.0	60.0	13.0	9.0	444.0	235.0	-	3451.0	5369.0	328.0	7.0
60-64	18698.0	33195.0	1372.0	13201.0	-	17706.0	636.0	60.0	-	88.0	22.0	16.0	60.0	34.0	1.0	5129.0	12646.0	914.0	8.0
65 и более	41982.0	72777.0	566.0	29542.0	-	40561.0	1497.0	88.0	-	189.0	135.0	25.0	138.0	36.0	-	12010.0	29161.0	799.0	12.0
возраст не указан	37.0	46.0	21.0	9.0	-	3.0	-	2.0	-	1.0	-	-	9.0	1.0	2.0	25.0	9.0	1.0	-
Чуваши	377264.0	650758.0	167398.0	204199.0	4510.0	65231.0	17357.0	73701.0	1155.0	2686.0	786.0	405.0	107984.0	5346.0	17.0	122194.0	237108.0	17440.0	505.0
в том числе в возрасте, лет:																			
до 15	72619.0	141543.0	1.0	6153.0	20.0	1693.0	977.0	62041.0	-	574.0	13.0	75.0	69946.0	50.0	2.0	11002.0	54507.0	6906.0	202.0
15-19	28034.0	52277.0	4427.0	9680.0	3934.0	977.0	653.0	11032.0	76.0	369.0	10.0	19.0	20963.0	137.0	3.0	9200.0	13652.0	4948.0	231.0
20-29	48474.0	73006.0	35431.0	26216.0	553.0	77.0	1661.0	145.0	178.0	397.0	91.0	17.0	7168.0	1072.0	-	24489.0	23452.0	519.0	14.0
30-49	131939.0	215860.0	101458.0	92550.0	3.0	1065.0	6832.0	250.0	691.0	839.0	341.0	163.0	8382.0	3286.0	8.0	49729.0	80492.0	1695.0	15.0
50-54	22963.0	38506.0	16504.0	16517.0	-	1102.0	2420.0	41.0	143.0	149.0	65.0	32.0	1011.0	522.0	2.0	8062.0	14255.0	642.0	2.0
55-59	10934.0	18585.0	6894.0	7849.0	-	1505.0	1526.0	21.0	67.0	57.0	38.0	13.0	410.0	205.0	-	3732.0	6760.0	435.0	7.0
60-64	20431.0	37251.0	1880.0	14904.0	-	19172.0	964.0	56.0	-	94.0	63.0	32.0	43.0	43.0	2.0	4997.0	14065.0	1344.0	23.0
65 и более	41853.0	73706.0	794.0	30323.0	-	39639.0	2323.0	114.0	-	207.0	165.0	54.0	57.0	30.0	-	10973.0	29918.0	951.0	11.0
возраст не указан	17.0	24.0	9.0	7.0	-	1.0	1.0	1.0	-	-	-	-	4.0	1.0	-	10.0	7.0	-	-
Чеченцы	409920.0	500046.0	51648.0	52311.0	4625.0	29431.0	10410.0	146354.0	37711.0	4086.0	682.0	416.0	141083.0	21289.0	6847.0	308812.0	91635.0	2558.0	68.0
в том числе в возрасте, лет:																			
до 15	146016.0	200006.0	4.0	234.0	10.0	2511.0	1141.0	124644.0	-	778.0	12.0	79.0	70393.0	200.0	1397.0	90219.0	53420.0	973.0	7.0
15-19	44903.0	55142.0	1043.0	1857.0	2177.0	864.0	676.0	17536.0	4574.0	390.0	11.0	18.0	25178.0	818.0	746.0	33600.0	10150.0	394.0	13.0
20-29	66253.0	72260.0	11160.0	10270.0	2352.0	174.0	1221.0	1517.0	13205.0	988.0	99.0	47.0	26120.0	5107.0	1661.0	57162.0	7199.0	224.0	7.0
30-49	107295.0	119563.0	31553.0	30330.0	85.0	859.0	4460.0	2136.0	17827.0	1612.0	449.0	215.0	17125.0	12912.0	2537.0	90508.0	13728.0	497.0	25.0
50-54	14423.0	16351.0	4817.0	4424.0	-	832.0	1139.0	252.0	1690.0	188.0	68.0	20.0	1344.0	1577.0	316.0	11974.0	2026.0	104.0	3.0
55-59	5003.0	5761.0	1447.0	1368.0	-	968.0	521.0	76.0	414.0	60.0	24.0	17.0	413.0	453.0	82.0	4131.0	740.0	50.0	-
60-64	7225.0	8850.0	1002.0	1210.0	-	5816.0	434.0	49.0	-	30.0	5.0	8.0	154.0	142.0	22.0	5681.0	1402.0	116.0	4.0
65 и более	18674.0	22024.0	610.0	2610.0	-	17397.0	816.0	125.0	-	40.0	14.0	12.0	323.0	77.0	41.0	15460.0	2964.0	200.0	9.0
возраст не указан	128.0	89.0	12.0	8.0	1.0	10.0	2.0	19.0	1.0	-	-	-	33.0	3.0	45.0	77.0	6.0	-	-
Армяне	173754.0	231220.0	66146.0	37032.0	1429.0	19569.0	5496.0	27922.0	408.0	1920.0	1077.0	480.0	64120.0	5621.0	69.0	118169.0	53546.0	1923.0	47.0
в том числе в возрасте, лет:																			
до 15	38195.0	61949.0	-	312.0	3.0	271.0	363.0	23946.0	-	150.0	2.0	35.0	36814.0	53.0	22.0	14910.0	22755.0	503.0	5.0
15-19	16343.0	22288.0	1869.0	1378.0	1089.0	144.0	273.0	3743.0	24.0	137.0	15.0	7.0	13435.0	174.0	6.0	10738.0	5255.0	336.0	8.0
20-29	25705.0	30214.0	14048.0	5807.0	330.0	21.0	518.0	61.0	102.0	560.0	190.0	52.0	7265.0	1260.0	13.0	21287.0	4294.0	106.0	5.0
30-49	59770.0	72963.0	39921.0	19730.0	7.0	497.0	2028.0	115.0	240.0	958.0	682.0	247.0	5158.0	3380.0	25.0	46945.0	12399.0	384.0	17.0
50-54	9307.0	11507.0	5806.0	3262.0	-	353.0	684.0	14.0	24.0	50.0	114.0	54.0	702.0	444.0	2.0	7189.0	2032.0	82.0	2.0
55-59	4244.0	5408.0	2397.0	1511.0	-	445.0	443.0	5.0	18.0	20.0	40.0	18.0	293.0	218.0	-	3138.0	1050.0	55.0	1.0
60-64	6957.0	9736.0	1353.0	1970.0	-	5782.0	353.0	15.0	-	9.0	14.0	18.0	161.0	61.0	-	4438.0	2265.0	248.0	6.0
65 и более	13219.0	17139.0	743.0	3061.0	-	12056.0	834.0	22.0	-	36.0	20.0	49.0	288.0	30.0	-	9514.0	3493.0	209.0	3.0
возраст не указан	14.0	16.0	9.0	1.0	-	-	-	1.0	-	-	-	-	4.0	1.0	1.0	10.0	3.0	-	-
Мордва	185813.0	310238.0	82170.0	98497.0	2318.0	39776.0	10991.0	26350.0	847.0	1816.0	377.0	162.0	44847.0	2087.0	22.0	68456.0	110389.0	6780.0	166.0
в том числе в возрасте, лет:																			
до 15	24294.0	48518.0	1.0	1695.0	13.0	594.0	390.0	21840.0	-	158.0	2.0	8.0	23804.0	13.0	5.0	2365.0	19678.0	2187.0	59.0
15-19	10555.0	20215.0	1147.0	3140.0	2036.0	375.0	338.0	4192.0	17.0	115.0	1.0	4.0	8811.0	39.0	1.0	2987.0	5558.0	1924.0	85.0
20-29	19445.0	29530.0	13464.0	10118.0	267.0	32.0	688.0	61.0	114.0	434.0	13.0	4.0	4087.0	248.0	-	9609.0	9590.0	243.0	3.0
30-49	71781.0	115026.0	52573.0	47385.0	1.0	706.0	4668.0	132.0	527.0	751.0	174.0	72.0	6677.0	1360.0	11.0	29485.0	41323.0	953.0	9.0
50-54	14772.0	23826.0	9971.0	9582.0	-	771.0	1865.0	22.0	117.0	105.0	31.0	21.0	1038.0	303.0	-	6081.0	8329.0	361.0	1.0
55-59	6460.0	10461.0	3652.0	4157.0	-	1039.0	994.0	9.0	72.0	49.0	16.0	13.0	361.0	99.0	-	2680.0	3561.0	217.0	2.0
60-64	13289.0	22666.0	1009.0	8358.0	-	12386.0	705.0	36.0	-	70.0	45.0	17.0	27.0	13.0	-	4489.0	8228.0	567.0	5.0
65 и более	25199.0	39977.0	349.0	14057.0	-	23868.0	1342.0	58.0	-	134.0	95.0	23.0	40.0	11.0	1.0	10751.0	14117.0	328.0	2.0
возраст не указан	18.0	19.0	4.0	5.0	1.0	5.0	1.0	-	-	-	-	-	2.0	1.0	4.0	9.0	5.0	-	-
Аварцы	250390.0	393422.0	51637.0	76744.0	1192.0	22154.0	11172.0	93700.0	11223.0	633.0	516.0	407.0	120269.0	3775.0	34.0	112811.0	132083.0	5403.0	59.0
в том числе в возрасте, лет:																			
до 15	83263.0	163639.0	-	708.0	-	482.0	1296.0	81249.0	-	85.0	5.0	163.0	79618.0	33.0	14.0	4847.0	76428.0	1960.0	14.0
15-19	25234.0	40678.0	1201.0	3315.0	676.0	185.0	832.0	11992.0	988.0	57.0	7.0	26.0	21209.0	190.0	5.0	10840.0	13343.0	1032.0	14.0
20-29	40152.0	49810.0	11519.0	15539.0	504.0	54.0	1643.0	180.0	4415.0	175.0	78.0	44.0	14470.0	1189.0	5.0	30725.0	9182.0	239.0	1.0
30-49	68180.0	89219.0	30407.0	40743.0	12.0	348.0	4798.0	234.0	5348.0	260.0	287.0	144.0	4566.0	2072.0	8.0	47790.0	19725.0	649.0	8.0
50-54	7379.0	10160.0	3722.0	4297.0	-	359.0	890.0	13.0	354.0	21.0	47.0	17.0	259.0	181.0	2.0	4808.0	2360.0	204.0	5.0
55-59	3682.0	5221.0	1694.0	2180.0	-	494.0	555.0	4.0	118.0	11.0	13.0	6.0	81.0	65.0	-	2285.0	1259.0	134.0	4.0
60-64	6169.0	10046.0	1638.0	2904.0	-	4994.0	424.0	10.0	-	8.0	19.0	2.0	23.0	24.0	-	2852.0	2760.0	554.0	3.0
65 и более	16324.0	24642.0	1451.0	7058.0	-	15237.0	734.0	17.0	-	16.0	60.0	5.0	43.0	21.0	-	8657.0	7026.0	631.0	10.0
возраст не указан	7.0	7.0	5.0	-	-	1.0	-	1.0	-	-	-	-	-	-	-	7.0	-	-	-
Белорусы	84312.0	116600.0	40234.0	24794.0	498.0	25619.0	3971.0	4597.0	696.0	1330.0	237.0	284.0	11884.0	2456.0	57.0	53498.0	29217.0	1501.0	39.0
в том числе в возрасте, лет:																			
до 15	5380.0	9201.0	-	96.0	5.0	161.0	102.0	3640.0	-	81.0	2.0	9.0	5091.0	14.0	13.0	1728.0	3449.0	185.0	5.0
15-19	3165.0	4605.0	471.0	230.0	402.0	104.0	92.0	765.0	11.0	62.0	-	2.0	2429.0	37.0	3.0	1856.0	1178.0	119.0	9.0
20-29	7356.0	8887.0	5353.0	1362.0	88.0	10.0	203.0	25.0	79.0	314.0	19.0	6.0	1151.0	277.0	10.0	5853.0	1449.0	43.0	1.0
30-49	33076.0	43638.0	25119.0	10600.0	3.0	1293.0	1391.0	106.0	439.0	570.0	113.0	109.0	2358.0	1537.0	20.0	22800.0	9944.0	304.0	8.0
50-54	7816.0	10985.0	5096.0	2946.0	-	1172.0	656.0	25.0	105.0	63.0	24.0	45.0	472.0	381.0	1.0	4831.0	2802.0	178.0	4.0
55-59	5057.0	7217.0	2569.0	1872.0	-	1642.0	531.0	4.0	61.0	44.0	14.0	25.0	297.0	158.0	1.0	3057.0	1838.0	160.0	1.0
60-64	7955.0	11929.0	1105.0	2891.0	-	7409.0	344.0	11.0	-	61.0	20.0	30.0	32.0	26.0	1.0	4310.0	3320.0	317.0	7.0
65 и более	14495.0	20126.0	514.0	4797.0	-	13825.0	652.0	21.0	-	135.0	45.0	58.0	53.0	26.0	7.0	9053.0	5236.0	195.0	4.0
возраст не указан	12.0	12.0	7.0	-	-	3.0	-	-	1.0	-	-	-	1.0	-	1.0	10.0	1.0	-	-
Казахи	220008.0	344135.0	82371.0	70816.0	2641.0	20634.0	8991.0	58711.0	1046.0	1455.0	195.0	1671.0	89751.0	5853.0	26.0	102281.0	111406.0	6140.0	155.0
в том числе в возрасте, лет:																			
до 15	58337.0	110291.0	1.0	1088.0	27.0	1654.0	874.0	50748.0	-	479.0	2.0	70.0	55306.0	42.0	5.0	9010.0	46749.0	2509.0	64.0
15-19	20623.0	33083.0	2210.0	2190.0	2340.0	861.0	559.0	7627.0	48.0	184.0	4.0	18.0	16813.0	229.0	3.0	9442.0	9943.0	1186.0	49.0
20-29	32137.0	41475.0	18713.0	10376.0	271.0	68.0	1108.0	110.0	177.0	250.0	26.0	141.0	8839.0	1396.0	4.0	23046.0	8834.0	251.0	2.0
30-49	76278.0	109777.0	51254.0	40333.0	2.0	528.0	3849.0	176.0	670.0	416.0	123.0	924.0	7811.0	3691.0	10.0	44020.0	31005.0	1226.0	17.0
50-54	10144.0	15151.0	6685.0	5721.0	-	316.0	1148.0	21.0	93.0	38.0	8.0	145.0	624.0	352.0	-	5413.0	4459.0	268.0	4.0
55-59	4822.0	7304.0	2772.0	2776.0	-	465.0	742.0	6.0	58.0	16.0	9.0	71.0	269.0	120.0	-	2483.0	2200.0	135.0	4.0
60-64	7218.0	11535.0	561.0	3713.0	-	6682.0	345.0	12.0	-	39.0	6.0	128.0	33.0	16.0	-	3256.0	3613.0	343.0	6.0
65 и более	10437.0	15507.0	171.0	4618.0	-	10059.0	366.0	11.0	-	33.0	17.0	174.0	52.0	6.0	2.0	5603.0	4601.0	222.0	9.0
возраст не указан	12.0	12.0	4.0	1.0	1.0	1.0	-	-	-	-	-	-	4.0	1.0	2.0	8.0	2.0	-	-
Удмурты	157290.0	267631.0	78004.0	74852.0	1743.0	22542.0	7334.0	30789.0	981.0	2403.0	139.0	151.0	46764.0	1929.0	3.0	52904.0	98606.0	5596.0	181.0
в том числе в возрасте, лет:																			
до 15	30671.0	59214.0	-	1534.0	9.0	1059.0	477.0	26047.0	-	277.0	2.0	14.0	29772.0	23.0	-	4551.0	23771.0	2275.0	74.0
15-19	12324.0	21889.0	2554.0	2922.0	1592.0	520.0	345.0	4497.0	71.0	193.0	6.0	3.0	9149.0	37.0	1.0	4340.0	6488.0	1408.0	87.0
20-29	21172.0	31637.0	16883.0	9797.0	130.0	39.0	798.0	77.0	158.0	707.0	23.0	21.0	2731.0	273.0	-	10913.0	10055.0	203.0	1.0
30-49	59706.0	98778.0	48538.0	39117.0	12.0	584.0	3238.0	124.0	556.0	951.0	58.0	74.0	4234.0	1292.0	-	21479.0	37392.0	825.0	10.0
50-54	9466.0	15806.0	7001.0	6191.0	-	519.0	1030.0	18.0	134.0	95.0	11.0	13.0	576.0	218.0	1.0	3417.0	5756.0	291.0	1.0
55-59	3827.0	6406.0	2369.0	2446.0	-	614.0	567.0	11.0	62.0	35.0	1.0	4.0	221.0	76.0	-	1402.0	2272.0	152.0	1.0
60-64	6856.0	11812.0	474.0	4439.0	-	6471.0	317.0	6.0	-	61.0	9.0	4.0	25.0	6.0	-	2165.0	4431.0	256.0	4.0
65 и более	13260.0	22082.0	180.0	8406.0	-	12735.0	561.0	9.0	-	84.0	29.0	18.0	56.0	4.0	-	4630.0	8441.0	186.0	3.0
возраст не указан	8.0	7.0	5.0	-	-	1.0	1.0	-	-	-	-	-	-	-	1.0	7.0	-	-	-
Азербайджанцы	79430.0	111570.0	25296.0	21367.0	769.0	4665.0	2029.0	19694.0	748.0	1561.0	271.0	275.0	31837.0	3058.0	31.0	48225.0	30196.0	960.0	18.0
в том числе в возрасте, лет:																			
до 15	22498.0	38548.0	-	242.0	5.0	142.0	214.0	17081.0	-	87.0	4.0	125.0	20621.0	27.0	11.0	6783.0	15356.0	339.0	9.0
15-19	7477.0	10970.0	693.0	936.0	534.0	78.0	164.0	2454.0	59.0	76.0	6.0	22.0	5869.0	79.0	2.0	4176.0	3106.0	191.0	2.0
20-29	11217.0	13331.0	4605.0	3706.0	230.0	17.0	259.0	51.0	279.0	401.0	37.0	16.0	3127.0	603.0	5.0	9144.0	2017.0	51.0	-
30-49	29861.0	37524.0	17323.0	13290.0	-	263.0	921.0	90.0	381.0	941.0	192.0	86.0	1927.0	2110.0	10.0	22389.0	7255.0	203.0	4.0
50-54	2889.0	3697.0	1626.0	1321.0	-	156.0	205.0	8.0	21.0	28.0	15.0	14.0	146.0	157.0	2.0	2121.0	724.0	40.0	2.0
55-59	1197.0	1547.0	578.0	522.0	-	195.0	96.0	3.0	8.0	9.0	7.0	1.0	73.0	55.0	1.0	860.0	321.0	15.0	-
60-64	1666.0	2414.0	338.0	562.0	-	1384.0	69.0	2.0	-	7.0	3.0	6.0	23.0	20.0	-	1001.0	583.0	81.0	1.0
65 и более	2620.0	3534.0	130.0	788.0	-	2429.0	101.0	5.0	-	12.0	7.0	5.0	50.0	7.0	-	1746.0	834.0	40.0	-
возраст не указан	5.0	5.0	3.0	-	-	1.0	-	-	-	-	-	-	1.0	-	-	5.0	-	-	-
Марийцы	165342.0	273219.0	68547.0	75134.0	2710.0	21603.0	8011.0	35435.0	661.0	2117.0	212.0	119.0	55556.0	3114.0	5.0	63814.0	95384.0	5921.0	218.0
в том числе в возрасте, лет:																			
до 15	35059.0	67930.0	-	1902.0	12.0	1307.0	537.0	30471.0	-	524.0	2.0	19.0	33135.0	21.0	1.0	5069.0	27207.0	2681.0	101.0
15-19	14089.0	24835.0	1994.0	3287.0	2544.0	740.0	413.0	4713.0	32.0	248.0	4.0	1.0	10790.0	69.0	1.0	5313.0	6906.0	1766.0	103.0
20-29	22561.0	31757.0	14767.0	9897.0	154.0	40.0	869.0	61.0	101.0	483.0	29.0	14.0	4748.0	594.0	-	13544.0	8842.0	171.0	4.0
30-49	61120.0	95569.0	42915.0	39442.0	-	534.0	3446.0	148.0	401.0	565.0	111.0	56.0	5900.0	2051.0	-	27362.0	33076.0	675.0	7.0
50-54	9541.0	15320.0	6233.0	6319.0	-	421.0	1170.0	22.0	81.0	89.0	13.0	7.0	690.0	275.0	3.0	3966.0	5362.0	210.0	-
55-59	3858.0	6290.0	2173.0	2580.0	-	519.0	592.0	7.0	46.0	27.0	4.0	4.0	255.0	83.0	-	1557.0	2170.0	131.0	-
60-64	6502.0	10978.0	339.0	4110.0	-	6056.0	365.0	7.0	-	59.0	10.0	10.0	9.0	13.0	-	2191.0	4148.0	161.0	2.0
65 и более	12608.0	20534.0	125.0	7595.0	-	11985.0	619.0	6.0	-	122.0	39.0	8.0	27.0	8.0	-	4810.0	7671.0	126.0	1.0
возраст не указан	4.0	6.0	1.0	2.0	-	1.0	-	-	-	-	-	-	2.0	-	-	2.0	2.0	-	-
Немцы	126100.0	204001.0	59419.0	55569.0	1315.0	22536.0	5256.0	20476.0	670.0	993.0	305.0	685.0	34604.0	2173.0	10.0	53305.0	67794.0	4856.0	135.0
в том числе в возрасте, лет:																			
до 15	21083.0	39848.0	2.0	1360.0	11.0	468.0	357.0	17061.0	-	125.0	1.0	10.0	20416.0	37.0	1.0	3980.0	15486.0	1568.0	48.0
