7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие
начального
общего
образова-ния
	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузовское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
										
Центральный федеральный округ										
занятые на военной службе	7252.0	3343.0	120.0	2689.0	468.0	573.0	55.0	4.0	-	-
лица, неточно указавшие или не указавшие занятия 	9617.0	2222.0	263.0	3647.0	1301.0	1490.0	462.0	82.0	-	150.0
Костромская область										
Все население, занятое в экономике	312787.0	60442.0	5715.0	132138.0	51821.0	39775.0	19833.0	2758.0	129.0	176.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	36755.0	16477.0	889.0	14827.0	2048.0	2074.0	386.0	39.0	-	15.0
специалисты высшего уровня квалификации	40944.0	27669.0	1184.0	9432.0	1086.0	1220.0	313.0	4.0	-	36.0
специалисты среднего уровня квалификации	41117.0	5078.0	1085.0	27471.0	3724.0	2825.0	848.0	60.0	-	26.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8049.0	1075.0	293.0	4399.0	834.0	1235.0	189.0	18.0	-	6.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	39748.0	3088.0	691.0	19786.0	7749.0	5975.0	2178.0	233.0	36.0	12.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7727.0	112.0	31.0	2071.0	1926.0	1672.0	1637.0	264.0	14.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	52422.0	2479.0	694.0	22374.0	12894.0	8722.0	4672.0	554.0	18.0	15.0
операторы, аппаратчики, машинисты установок и машин	46762.0	1359.0	412.0	18027.0	13264.0	9167.0	4002.0	495.0	8.0	28.0
неквалифицированные рабочие	34585.0	1322.0	376.0	12026.0	7820.0	6467.0	5458.0	1057.0	49.0	10.0
занятые на военной службе	2494.0	1353.0	23.0	820.0	135.0	151.0	12.0	-	-	-
лица, неточно указавшие или не указавшие занятия 	2184.0	430.0	37.0	905.0	341.0	267.0	138.0	34.0	4.0	28.0
Курская область										
Все население, занятое в экономике	477108.0	101554.0	9972.0	166484.0	98976.0	73123.0	22773.0	3622.0	150.0	454.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51418.0	25086.0	1330.0	18339.0	3107.0	3013.0	451.0	47.0	-	45.0
специалисты высшего уровня квалификации	69551.0	50349.0	2162.0	13664.0	1694.0	1460.0	147.0	-	-	75.0
специалисты среднего уровня квалификации	52920.0	7288.0	1743.0	33028.0	5865.0	4318.0	569.0	69.0	-	40.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12069.0	1921.0	477.0	5950.0	1570.0	1919.0	205.0	13.0	-	14.0
