5.6. ЗАНЯТОЕ НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 																		
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																		
																		
	Все занятое в экономике население	в том числе по видам экономической деятельности																
		сельское хозяйство, охота и лесное хозяйство	рыболовство, рыбоводство	добыча полезных ископаемых	обрабатываю-щие производства	производство и распределение электро-энергии, газа и воды	строительство	оптовая и розничная торговля; ремонт авто-транспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	гостиницы и рестораны	транспорт и связь	финансовая деятельность	операции с недвижимым имуществом, аренда и предо-ставление услуг	государствен-ное управление и обеспечение военной безопасности; обязательное социальное обеспечение	образование	здраво-охранение и предо-ставление социальных услуг	предо-ставление прочих коммуна-льных, социальных и персональных услуг	предо-ставление услуг по ведению домашнего хозяйства	деятельность экстерритори-альных организаций
Иркутская область	1041054.0	106090.0	494.0	23865.0	168125.0	29341.0	62672.0	126406.0	19068.0	112420.0	12663.0	24495.0	73955.0	111330.0	80710.0	69845.0	441.0	47.0
Усть-Ордынский Бурятский автономный округ	41434.0	14682.0	17.0	403.0	1193.0	456.0	1181.0	3076.0	476.0	1425.0	380.0	708.0	4124.0	8055.0	3986.0	1156.0	-	-
Кемеровская область	1200097.0	52325.0	84.0	150934.0	184650.0	43537.0	69101.0	149332.0	29345.0	125416.0	11492.0	71028.0	61033.0	109760.0	93773.0	38406.0	215.0	40.0
Новосибирская область	1159467.0	112096.0	785.0	7146.0	201108.0	32140.0	84076.0	186060.0	31135.0	119657.0	14617.0	70798.0	70444.0	96486.0	80828.0	41326.0	528.0	28.0
Омская область	827109.0	105849.0	166.0	5024.0	136116.0	20783.0	60584.0	115655.0	17897.0	73391.0	9285.0	39388.0	52778.0	81520.0	67844.0	30492.0	309.0	24.0
Томская область	430823.0	29118.0	388.0	13505.0	74171.0	9797.0	32185.0	56640.0	9149.0	41012.0	5527.0	33134.0	30448.0	48918.0	33694.0	11254.0	202.0	16.0
Читинская область	410344.0	39847.0	53.0	22622.0	19096.0	11445.0	19157.0	42036.0	6345.0	55749.0	4678.0	25807.0	53877.0	51615.0	40361.0	12607.0	56.0	20.0
Агинский Бурятский автономный округ	20965.0	4114.0	1.0	479.0	469.0	565.0	775.0	1724.0	416.0	953.0	164.0	255.0	2682.0	4992.0	2126.0	1172.0	5.0	-
Дальневосточный федеральный округ	2869370.0	155235.0	58725.0	102723.0	282873.0	91337.0	185105.0	369256.0	65888.0	349127.0	34785.0	147398.0	337048.0	284422.0	216989.0	157990.0	611.0	455.0
Республика Саха (Якутия)	418585.0	25221.0	1129.0	38090.0	17645.0	14951.0	26541.0	43967.0	7992.0	47009.0	5735.0	43708.0	31122.0	64344.0	35360.0	13896.0	89.0	22.0
Приморский край	868386.0	40181.0	31631.0	15718.0	102669.0	21003.0	50693.0	122929.0	22888.0	114491.0	10422.0	34999.0	103592.0	74889.0	60280.0	51213.0	265.0	170.0
Хабаровский край	629433.0	37596.0	4409.0	10207.0	85022.0	18088.0	44430.0	87240.0	14130.0	73894.0	7189.0	24108.0	73270.0	56882.0	45726.0	37894.0	75.0	158.0
Амурская область	363927.0	28736.0	200.0	9961.0	23076.0	12983.0	29714.0	47487.0	9039.0	53552.0	3483.0	13336.0	42915.0	35823.0	29938.0	21575.0	80.0	29.0
Камчатская область	158126.0	3604.0	5851.0	757.0	22630.0	7378.0	7449.0	17716.0	3539.0	12882.0	2050.0	4729.0	32407.0	14570.0	11249.0	9639.0	34.0	10.0
Корякский автономный округ	10930.0	536.0	916.0	412.0	385.0	649.0	187.0	562.0	33.0	1054.0	181.0	302.0	1869.0	1777.0	1111.0	925.0	2.0	-
Магаданская область	89720.0	2196.0	1209.0	10896.0	4449.0	4965.0	5073.0	9917.0	1183.0	9987.0	1488.0	4391.0	10732.0	7751.0	7629.0	6451.0	14.0	19.0
Сахалинская область	239851.0	10661.0	13998.0	13077.0	19642.0	8141.0	15319.0	30310.0	5381.0	26438.0	3132.0	16788.0	27339.0	19743.0	18112.0	9963.0	43.0	36.0
Еврейская автономная область	72245.0	5090.0	73.0	760.0	7503.0	2020.0	4806.0	7866.0	1461.0	8329.0	754.0	4343.0	11381.0	7345.0	6506.0	3311.0	7.0	1.0
Чукотский автономный округ	29097.0	1950.0	225.0	3257.0	237.0	1808.0	1080.0	1824.0	275.0	2545.0	532.0	996.0	4290.0	3075.0	2189.0	4048.0	4.0	10.0
