2.2. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ										
										
	Всего	Имеющие образование								Не имеющие начального общего образования
		профессиональное					общее			
		после-
вузов-
ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное	
35 – 39	2710920.0	2957.0	288045.0	33968.0	879318.0	600991.0	639237.0	213755.0	34508.0	15106.0
40 – 44	3299141.0	3466.0	341344.0	32925.0	1025844.0	771300.0	771109.0	283557.0	49442.0	16674.0
45 – 49	2913331.0	3149.0	299479.0	25464.0	856577.0	695980.0	588769.0	352725.0	73681.0	14551.0
50 – 54	2361360.0	2751.0	253461.0	20723.0	657782.0	505666.0	411061.0	392152.0	102124.0	13138.0
55 – 59	1195139.0	1562.0	135633.0	11217.0	268775.0	206865.0	163838.0	256116.0	139736.0	10116.0
60 – 64	2240015.0	2097.0	150944.0	11674.0	326612.0	259626.0	220673.0	620893.0	611178.0	34450.0
65 – 69	1927877.0	1446.0	96670.0	8294.0	222128.0	159993.0	114141.0	426394.0	821590.0	75474.0
70 и более	3914554.0	1329.0	101907.0	18958.0	257299.0	159362.0	114369.0	608201.0	2222516.0	426721.0
Возраст не указан	8001.0	14.0	238.0	65.0	672.0	395.0	716.0	620.0	514.0	167.0
Мужчины в возрасте 15 лет и более	14596273.0	14195.0	1035852.0	190456.0	2734970.0	3059301.0	2847523.0	2817063.0	1717496.0	160665.0
в том числе в возрасте, лет:										
15 – 19	1639855.0	-	22.0	14899.0	76840.0	104469.0	355603.0	897394.0	170077.0	16205.0
20 – 24	1351992.0	705.0	72639.0	56773.0	262053.0	269452.0	349903.0	271242.0	55336.0	12186.0
25 – 29	1256801.0	1464.0	103546.0	23579.0	254272.0	293858.0	311746.0	222825.0	34300.0	9499.0
30 – 34	1222091.0	1324.0	94387.0	17608.0	314354.0	317189.0	310374.0	136919.0	20264.0	8038.0
35 – 39	1387440.0	1529.0	123099.0	16201.0	365016.0	366235.0	362228.0	123165.0	20172.0	8088.0
40 – 44	1703350.0	1879.0	151354.0	16426.0	428257.0	476186.0	427629.0	162005.0	28868.0	8876.0
45 – 49	1482275.0	1755.0	137890.0	13581.0	352653.0	433802.0	306428.0	185165.0	42004.0	7445.0
50 – 54	1164904.0	1686.0	122519.0	11363.0	266976.0	322531.0	195951.0	183590.0	53025.0	6023.0
55 – 59	548124.0	923.0	60308.0	5462.0	111566.0	133951.0	70534.0	101347.0	59578.0	3859.0
60 – 64	937470.0	1289.0	77347.0	6071.0	130177.0	164692.0	78233.0	210287.0	257598.0	11004.0
65 – 69	777345.0	880.0	48357.0	3750.0	86935.0	98731.0	42032.0	147374.0	330290.0	18381.0
70 и более	1124626.0	761.0	44384.0	4743.0	85871.0	78205.0	36862.0	175750.0	645984.0	51061.0
Возраст не указан	3866.0	8.0	101.0	23.0	252.0	226.0	341.0	304.0	188.0	66.0
Женщины в возрасте 15 лет и более	16584346.0	11583.0	1253201.0	232306.0	3920653.0	1971395.0	2737445.0	3115358.0	2798106.0	524827.0
в том числе в возрасте, лет:										
15 – 19	1502442.0	-	21.0	20059.0	77189.0	70569.0	393297.0	803045.0	123749.0	10545.0
20 – 24	1258272.0	767.0	83755.0	76029.0	349550.0	198928.0	323868.0	189273.0	26161.0	8486.0
25 – 29	1206331.0	1464.0	128274.0	29533.0	374303.0	208074.0	277669.0	160531.0	17574.0	7569.0
30 – 34	1180498.0	1297.0	138926.0	21059.0	452727.0	208374.0	239311.0	97399.0	13366.0	6734.0
35 – 39	1323480.0	1428.0	164946.0	17767.0	514302.0	234756.0	277009.0	90590.0	14336.0	7018.0
40 – 44	1595791.0	1587.0	189990.0	16499.0	597587.0	295114.0	343480.0	121552.0	20574.0	7798.0
45 – 49	1431056.0	1394.0	161589.0	11883.0	503924.0	262178.0	282341.0	167560.0	31677.0	7106.0
50 – 54	1196456.0	1065.0	130942.0	9360.0	390806.0	183135.0	215110.0	208562.0	49099.0	7115.0
55 – 59	647015.0	639.0	75325.0	5755.0	157209.0	72914.0	93304.0	154769.0	80158.0	6257.0
60 – 64	1302545.0	808.0	73597.0	5603.0	196435.0	94934.0	142440.0	410606.0	353580.0	23446.0
65 – 69	1150532.0	566.0	48313.0	4544.0	135193.0	61262.0	72109.0	279020.0	491300.0	57093.0
70 и более	2789928.0	568.0	57523.0	14215.0	171428.0	81157.0	77507.0	432451.0	1576532.0	375660.0
Возраст не указан	4135.0	6.0	137.0	42.0	420.0	169.0	375.0	316.0	326.0	101.0
