15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
граждане России	1117939.0	85195.0	163025.0	157997.0	146637.0	181993.0	124125.0	133765.0	125096.0	106.0	175069.0	659950.0	282814.0
из них имеющие два гражданства	180.0	8.0	23.0	35.0	49.0	28.0	12.0	15.0	10.0	-	20.0	134.0	26.0
иностранные граждане	4727.0	557.0	736.0	1170.0	1115.0	591.0	246.0	183.0	129.0	-	1018.0	3362.0	347.0
из них имеющие гражданство:													
стран СНГ	4182.0	500.0	678.0	947.0	973.0	555.0	234.0	170.0	125.0	-	939.0	2916.0	327.0
Азербайджана	1004.0	173.0	178.0	195.0	292.0	123.0	24.0	18.0	1.0	-	315.0	668.0	21.0
Армении	866.0	124.0	167.0	185.0	179.0	129.0	46.0	24.0	12.0	-	245.0	579.0	42.0
Белоруссии	141.0	9.0	15.0	31.0	24.0	19.0	18.0	15.0	10.0	-	16.0	97.0	28.0
Грузии	206.0	13.0	24.0	54.0	66.0	29.0	9.0	9.0	2.0	-	26.0	168.0	12.0
Казахстана	233.0	18.0	44.0	44.0	49.0	29.0	21.0	15.0	13.0	-	38.0	165.0	30.0
Киргизии	50.0	7.0	9.0	19.0	6.0	3.0	3.0	3.0	-	-	9.0	37.0	4.0
Молдавии	191.0	19.0	25.0	56.0	38.0	29.0	11.0	8.0	5.0	-	31.0	146.0	14.0
Таджикистана	132.0	15.0	13.0	40.0	40.0	15.0	6.0	3.0	-	-	23.0	105.0	4.0
Туркмении	44.0	3.0	15.0	11.0	9.0	5.0	-	1.0	-	-	7.0	36.0	1.0
Узбекистана	404.0	51.0	56.0	112.0	77.0	52.0	30.0	15.0	11.0	-	83.0	290.0	31.0
Украины	911.0	68.0	132.0	200.0	193.0	122.0	66.0	59.0	71.0	-	146.0	625.0	140.0
других стран мира	545.0	57.0	58.0	223.0	142.0	36.0	12.0	13.0	4.0	-	79.0	446.0	20.0
Афганистана	76.0	13.0	7.0	18.0	27.0	9.0	-	2.0	-	-	19.0	55.0	2.0
Болгарии	3.0	1.0	-	-	-	1.0	-	1.0	-	-	1.0	1.0	1.0
Вьетнама	74.0	13.0	3.0	8.0	42.0	6.0	2.0	-	-	-	14.0	60.0	-
Греции	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Израиля	9.0	2.0	1.0	2.0	2.0	1.0	1.0	-	-	-	3.0	6.0	-
Индии	4.0	-	-	3.0	1.0	-	-	-	-	-	-	4.0	-
Китая	51.0	-	8.0	39.0	1.0	2.0	1.0	-	-	-	-	50.0	1.0
Латвии	28.0	11.0	7.0	2.0	3.0	3.0	-	1.0	1.0	-	17.0	9.0	2.0
Литвы	35.0	2.0	4.0	5.0	8.0	7.0	3.0	6.0	-	-	6.0	22.0	7.0
Сирии	10.0	-	5.0	4.0	1.0	-	-	-	-	-	-	10.0	-
США	4.0	1.0	-	1.0	2.0	-	-	-	-	-	1.0	3.0	-
Турции	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
Финляндии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Эстонии	10.0	3.0	1.0	2.0	1.0	1.0	2.0	-	-	-	4.0	5.0	1.0
без гражданства	2245.0	331.0	457.0	396.0	403.0	271.0	166.0	120.0	99.0	2.0	636.0	1356.0	251.0
гражданство не указано	23418.0	1555.0	3139.0	3729.0	3633.0	3952.0	2897.0	2459.0	1875.0	179.0	3335.0	15002.0	4902.0
Калужская область													
Все население	1041641.0	83557.0	155506.0	144066.0	138188.0	178327.0	117017.0	116884.0	107764.0	332.0	171531.0	622352.0	247426.0
в том числе:													
граждане России	1025880.0	81978.0	152926.0	141129.0	135370.0	175967.0	115713.0	115790.0	106900.0	107.0	168392.0	612150.0	245231.0
из них имеющие два гражданства	218.0	22.0	18.0	41.0	41.0	39.0	27.0	13.0	17.0	-	33.0	151.0	34.0
иностранные граждане	7262.0	776.0	1092.0	1573.0	1452.0	1059.0	514.0	423.0	371.0	2.0	1414.0	4959.0	887.0
из них имеющие гражданство:													
стран СНГ	6959.0	752.0	1036.0	1487.0	1390.0	1028.0	493.0	409.0	362.0	2.0	1384.0	4711.0	862.0
Азербайджана	783.0	135.0	112.0	161.0	213.0	98.0	33.0	16.0	14.0	1.0	216.0	533.0	33.0
Армении	1283.0	179.0	236.0	250.0	252.0	205.0	84.0	54.0	23.0	-	351.0	843.0	89.0
Белоруссии	331.0	20.0	39.0	56.0	61.0	54.0	29.0	38.0	34.0	-	34.0	218.0	79.0
Грузии	329.0	33.0	46.0	55.0	70.0	59.0	28.0	25.0	13.0	-	63.0	224.0	42.0
Казахстана	569.0	41.0	99.0	135.0	97.0	70.0	42.0	52.0	33.0	-	98.0	379.0	92.0
Киргизии	151.0	16.0	20.0	35.0	29.0	22.0	14.0	7.0	8.0	-	25.0	107.0	19.0
Молдавии	486.0	50.0	78.0	122.0	109.0	80.0	21.0	12.0	14.0	-	88.0	367.0	31.0
Таджикистана	281.0	34.0	47.0	67.0	75.0	34.0	16.0	5.0	3.0	-	66.0	205.0	10.0
Туркмении	142.0	12.0	24.0	33.0	16.0	29.0	14.0	10.0	4.0	-	26.0	97.0	19.0
Узбекистана	880.0	109.0	135.0	214.0	152.0	123.0	78.0	40.0	28.0	1.0	181.0	612.0	86.0
Украины	1724.0	123.0	200.0	359.0	316.0	254.0	134.0	150.0	188.0	-	236.0	1126.0	362.0
других стран мира	303.0	24.0	56.0	86.0	62.0	31.0	21.0	14.0	9.0	-	30.0	248.0	25.0
Болгарии	11.0	1.0	-	1.0	5.0	1.0	3.0	-	-	-	1.0	9.0	1.0
Вьетнама	35.0	3.0	2.0	5.0	18.0	5.0	2.0	-	-	-	4.0	31.0	-
Германии	5.0	-	-	-	-	2.0	-	2.0	1.0	-	-	2.0	3.0
Греции	2.0	-	-	1.0	-	1.0	-	-	-	-	-	2.0	-
Израиля	8.0	1.0	-	3.0	1.0	1.0	-	1.0	1.0	-	1.0	5.0	2.0
Индии	6.0	-	-	3.0	2.0	-	1.0	-	-	-	-	6.0	-
Латвии	16.0	1.0	2.0	3.0	3.0	3.0	1.0	1.0	2.0	-	3.0	10.0	3.0
Литвы	152.0	4.0	51.0	64.0	13.0	9.0	5.0	6.0	-	-	6.0	139.0	7.0
Сирии	1.0	-	-	-	-	-	-	1.0	-	-	-	-	1.0
США	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Турции	14.0	4.0	-	2.0	6.0	-	2.0	-	-	-	4.0	10.0	-
Финляндии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Эстонии	8.0	1.0	-	-	2.0	-	2.0	-	3.0	-	1.0	4.0	3.0
без гражданства	5401.0	569.0	1072.0	894.0	928.0	765.0	434.0	414.0	324.0	1.0	1260.0	3322.0	818.0
гражданство не указано	3098.0	234.0	416.0	470.0	438.0	536.0	356.0	257.0	169.0	222.0	465.0	1921.0	490.0
Костромская область													
Все население	736641.0	61839.0	112829.0	102074.0	95367.0	126915.0	76645.0	82883.0	77649.0	440.0	126460.0	435763.0	173978.0
в том числе:													
граждане России	728283.0	61073.0	111545.0	100595.0	93814.0	125605.0	75961.0	82292.0	77179.0	219.0	124923.0	430337.0	172804.0
из них имеющие два гражданства	100.0	9.0	10.0	13.0	23.0	20.0	14.0	5.0	6.0	-	15.0	72.0	13.0
иностранные граждане	2809.0	264.0	427.0	604.0	676.0	420.0	171.0	141.0	106.0	-	533.0	1999.0	277.0
из них имеющие гражданство:													
стран СНГ	2615.0	253.0	401.0	551.0	615.0	390.0	164.0	140.0	101.0	-	510.0	1835.0	270.0
Азербайджана	436.0	73.0	76.0	87.0	132.0	55.0	8.0	4.0	1.0	-	131.0	300.0	5.0
Армении	375.0	44.0	72.0	82.0	71.0	61.0	27.0	15.0	3.0	-	92.0	261.0	22.0
Белоруссии	149.0	13.0	15.0	26.0	31.0	21.0	13.0	15.0	15.0	-	22.0	94.0	33.0
Грузии	148.0	10.0	28.0	37.0	40.0	23.0	7.0	2.0	1.0	-	24.0	121.0	3.0
Казахстана	177.0	17.0	30.0	38.0	41.0	20.0	9.0	11.0	11.0	-	35.0	117.0	25.0
Киргизии	50.0	7.0	9.0	12.0	13.0	4.0	3.0	1.0	1.0	-	15.0	32.0	3.0
Молдавии	142.0	10.0	22.0	21.0	42.0	27.0	7.0	8.0	5.0	-	22.0	105.0	15.0
Таджикистана	78.0	10.0	11.0	21.0	19.0	11.0	3.0	2.0	1.0	-	18.0	57.0	3.0
Туркмении	26.0	1.0	5.0	6.0	3.0	3.0	4.0	2.0	2.0	-	5.0	15.0	6.0
Узбекистана	190.0	21.0	28.0	44.0	39.0	32.0	12.0	11.0	3.0	-	38.0	134.0	18.0
Украины	844.0	47.0	105.0	177.0	184.0	133.0	71.0	69.0	58.0	-	108.0	599.0	137.0
других стран мира	194.0	11.0	26.0	53.0	61.0	30.0	7.0	1.0	5.0	-	23.0	164.0	7.0
Афганистана	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Болгарии	2.0	-	-	-	1.0	-	1.0	-	-	-	-	2.0	-
Вьетнама	74.0	4.0	2.0	14.0	42.0	10.0	1.0	-	1.0	-	4.0	69.0	1.0
Германии	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
Греции	2.0	-	-	1.0	-	-	-	-	1.0	-	-	1.0	1.0
Израиля	4.0	2.0	-	2.0	-	-	-	-	-	-	2.0	2.0	-
Китая	40.0	-	11.0	24.0	3.0	2.0	-	-	-	-	-	40.0	-
Латвии	2.0	-	1.0	-	-	1.0	-	-	-	-	-	2.0	-
Литвы	18.0	-	1.0	3.0	3.0	7.0	2.0	-	2.0	-	1.0	14.0	3.0
Сирии	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
США	2.0	1.0	-	-	1.0	-	-	-	-	-	1.0	1.0	-
Турции	4.0	1.0	-	1.0	-	2.0	-	-	-	-	1.0	3.0	-
Финляндии	1.0	-	-	-	-	-	-	-	1.0	-	-	-	1.0
Эстонии	3.0	-	1.0	2.0	-	-	-	-	-	-	1.0	2.0	-
без гражданства	1478.0	170.0	297.0	259.0	280.0	210.0	109.0	83.0	68.0	2.0	362.0	946.0	168.0
гражданство не указано	4071.0	332.0	560.0	616.0	597.0	680.0	404.0	367.0	296.0	219.0	642.0	2481.0	729.0
Курская область													
Все население	1235091.0	106361.0	181795.0	164162.0	163375.0	208750.0	128363.0	141116.0	140875.0	294.0	211747.0	716511.0	306539.0
в том числе:													
граждане России	1218769.0	104642.0	178948.0	161024.0	160611.0	206277.0	126996.0	140080.0	140068.0	123.0	208334.0	705837.0	304475.0
из них имеющие два гражданства	274.0	20.0	34.0	44.0	69.0	49.0	27.0	16.0	15.0	-	40.0	193.0	41.0
иностранные граждане	8477.0	810.0	1333.0	1940.0	1577.0	1289.0	676.0	484.0	368.0	-	1575.0	5938.0	964.0
из них имеющие гражданство:													
стран СНГ	7650.0	778.0	1233.0	1475.0	1446.0	1234.0	646.0	474.0	364.0	-	1529.0	5173.0	948.0
Азербайджана	403.0	78.0	63.0	70.0	117.0	46.0	13.0	7.0	9.0	-	125.0	258.0	20.0
Армении	1427.0	207.0	304.0	257.0	303.0	226.0	75.0	39.0	16.0	-	429.0	932.0	66.0
Белоруссии	158.0	13.0	21.0	21.0	30.0	23.0	17.0	20.0	13.0	-	26.0	96.0	36.0
Грузии	275.0	19.0	46.0	64.0	59.0	44.0	19.0	13.0	11.0	-	50.0	198.0	27.0
Казахстана	353.0	36.0	64.0	69.0	49.0	45.0	34.0	30.0	26.0	-	67.0	221.0	65.0
Киргизии	196.0	23.0	33.0	39.0	28.0	35.0	15.0	8.0	15.0	-	45.0	128.0	23.0
Молдавии	468.0	63.0	82.0	118.0	89.0	65.0	36.0	11.0	4.0	-	110.0	338.0	20.0
Таджикистана	49.0	6.0	9.0	8.0	8.0	4.0	8.0	5.0	1.0	-	9.0	33.0	7.0
