15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
Туркмении	51.0	7.0	8.0	5.0	8.0	7.0	7.0	6.0	3.0	-	9.0	33.0	9.0
Узбекистана	295.0	18.0	45.0	83.0	49.0	42.0	25.0	20.0	13.0	-	36.0	219.0	40.0
Украины	3975.0	308.0	558.0	741.0	706.0	697.0	397.0	315.0	253.0	-	623.0	2717.0	635.0
других стран мира	827.0	32.0	100.0	465.0	131.0	55.0	30.0	10.0	4.0	-	46.0	765.0	16.0
Афганистана	3.0	-	-	1.0	2.0	-	-	-	-	-	-	3.0	-
Болгарии	56.0	2.0	6.0	4.0	4.0	20.0	18.0	2.0	-	-	6.0	48.0	2.0
Вьетнама	134.0	15.0	7.0	12.0	81.0	16.0	2.0	1.0	-	-	17.0	116.0	1.0
Германии	5.0	2.0	-	1.0	-	-	-	2.0	-	-	2.0	1.0	2.0
Греции	2.0	1.0	-	1.0	-	-	-	-	-	-	1.0	1.0	-
Израиля	3.0	-	-	1.0	1.0	-	-	-	1.0	-	-	2.0	1.0
Индии	22.0	1.0	6.0	10.0	5.0	-	-	-	-	-	1.0	21.0	-
Китая	4.0	-	-	4.0	-	-	-	-	-	-	-	4.0	-
Латвии	11.0	-	5.0	1.0	3.0	1.0	-	-	1.0	-	3.0	7.0	1.0
Литвы	37.0	7.0	5.0	7.0	6.0	6.0	1.0	4.0	1.0	-	9.0	23.0	5.0
Сирии	12.0	-	2.0	8.0	2.0	-	-	-	-	-	-	12.0	-
США	7.0	-	2.0	-	-	2.0	3.0	-	-	-	1.0	5.0	1.0
Турции	6.0	-	-	2.0	3.0	1.0	-	-	-	-	-	6.0	-
Эстонии	3.0	1.0	1.0	-	1.0	-	-	-	-	-	2.0	1.0	-
без гражданства	5041.0	543.0	1090.0	804.0	831.0	770.0	415.0	343.0	241.0	4.0	1210.0	3177.0	650.0
гражданство не указано	2804.0	366.0	424.0	394.0	356.0	414.0	276.0	209.0	198.0	167.0	628.0	1559.0	450.0
Липецкая область													
Все население	1213499.0	101753.0	178903.0	163166.0	165571.0	206737.0	131075.0	139272.0	126777.0	245.0	204917.0	717019.0	291318.0
в том числе:													
граждане России	1190456.0	99381.0	175035.0	159010.0	161590.0	203102.0	129057.0	137660.0	125545.0	76.0	200191.0	702072.0	288117.0
из них имеющие два гражданства	286.0	26.0	29.0	56.0	49.0	55.0	30.0	22.0	19.0	-	48.0	188.0	50.0
иностранные граждане	8277.0	977.0	1379.0	1691.0	1669.0	1202.0	589.0	434.0	331.0	5.0	1839.0	5578.0	855.0
из них имеющие гражданство:													
стран СНГ	8010.0	957.0	1349.0	1650.0	1560.0	1166.0	573.0	426.0	327.0	2.0	1805.0	5360.0	843.0
Азербайджана	886.0	149.0	172.0	141.0	224.0	135.0	36.0	17.0	11.0	1.0	281.0	573.0	31.0
Армении	1658.0	234.0	328.0	339.0	347.0	250.0	93.0	45.0	22.0	-	473.0	1107.0	78.0
Белоруссии	175.0	8.0	13.0	26.0	33.0	28.0	25.0	24.0	18.0	-	20.0	107.0	48.0
Грузии	554.0	75.0	91.0	111.0	144.0	73.0	32.0	18.0	9.0	1.0	133.0	391.0	29.0
Казахстана	1051.0	112.0	203.0	217.0	138.0	150.0	79.0	82.0	70.0	-	227.0	653.0	171.0
Киргизии	341.0	48.0	58.0	78.0	50.0	41.0	18.0	27.0	21.0	-	80.0	209.0	52.0
Молдавии	342.0	49.0	53.0	99.0	77.0	38.0	13.0	9.0	4.0	-	71.0	257.0	14.0
Таджикистана	285.0	47.0	35.0	82.0	71.0	32.0	13.0	2.0	3.0	-	69.0	210.0	6.0
Туркмении	60.0	5.0	13.0	11.0	10.0	7.0	8.0	3.0	3.0	-	14.0	37.0	9.0
Узбекистана	673.0	83.0	108.0	162.0	99.0	80.0	63.0	46.0	32.0	-	148.0	438.0	87.0
Украины	1985.0	147.0	275.0	384.0	367.0	332.0	193.0	153.0	134.0	-	289.0	1378.0	318.0
других стран мира	267.0	20.0	30.0	41.0	109.0	36.0	16.0	8.0	4.0	3.0	34.0	218.0	12.0
Афганистана	20.0	1.0	-	4.0	13.0	2.0	-	-	-	-	1.0	19.0	-
Болгарии	3.0	-	-	-	2.0	-	-	1.0	-	-	-	2.0	1.0
Вьетнама	58.0	5.0	3.0	4.0	37.0	8.0	1.0	-	-	-	7.0	51.0	-
Германии	5.0	-	1.0	-	-	2.0	-	1.0	1.0	-	1.0	2.0	2.0
Греции	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Израиля	7.0	-	5.0	1.0	-	-	1.0	-	-	-	-	7.0	-
Индии	3.0	-	-	1.0	1.0	1.0	-	-	-	-	-	3.0	-
Китая	15.0	-	-	5.0	8.0	1.0	-	-	-	1.0	-	14.0	-
Латвии	22.0	3.0	4.0	3.0	7.0	2.0	2.0	1.0	-	-	5.0	16.0	1.0
Литвы	27.0	2.0	7.0	2.0	5.0	3.0	6.0	1.0	1.0	-	6.0	19.0	2.0
Сирии	1.0	-	1.0	-	-	-	-	-	-	-	-	1.0	-
США	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Турции	2.0	-	-	-	-	2.0	-	-	-	-	-	2.0	-
Эстонии	7.0	1.0	1.0	2.0	-	1.0	1.0	1.0	-	-	2.0	4.0	1.0
без гражданства	6801.0	715.0	1400.0	1204.0	1140.0	977.0	531.0	450.0	383.0	1.0	1611.0	4254.0	935.0
гражданство не указано	7965.0	680.0	1089.0	1261.0	1172.0	1456.0	898.0	728.0	518.0	163.0	1276.0	5115.0	1411.0
Московская область													
Все население	6618538.0	507670.0	939843.0	978407.0	908710.0	1124815.0	756847.0	739789.0	654067.0	8390.0	1012934.0	4047416.0	1549798.0
в том числе:													
граждане России	6394749.0	489944.0	910838.0	939147.0	869468.0	1086725.0	733634.0	721835.0	640083.0	3075.0	978653.0	3899476.0	1513545.0
из них имеющие два гражданства	2871.0	261.0	311.0	529.0	591.0	482.0	266.0	219.0	211.0	1.0	412.0	1983.0	475.0
иностранные граждане	50505.0	5310.0	7027.0	12687.0	11532.0	7440.0	2883.0	1799.0	1801.0	26.0	9336.0	37084.0	4059.0
из них имеющие гражданство:													
стран СНГ	48140.0	5027.0	6761.0	12154.0	10889.0	7103.0	2733.0	1715.0	1734.0	24.0	8913.0	35314.0	3889.0
Азербайджана	5083.0	930.0	825.0	878.0	1415.0	746.0	173.0	68.0	45.0	3.0	1557.0	3395.0	128.0
Армении	9331.0	1337.0	1731.0	1771.0	2000.0	1552.0	585.0	246.0	106.0	3.0	2558.0	6337.0	433.0
Белоруссии	2715.0	170.0	287.0	682.0	548.0	411.0	185.0	192.0	237.0	3.0	289.0	1959.0	464.0
Грузии	2957.0	312.0	462.0	544.0	734.0	472.0	243.0	111.0	74.0	5.0	601.0	2135.0	216.0
Казахстана	1231.0	106.0	201.0	336.0	185.0	137.0	86.0	87.0	93.0	-	179.0	851.0	201.0
Киргизии	482.0	45.0	94.0	135.0	100.0	53.0	20.0	9.0	25.0	1.0	76.0	367.0	38.0
Молдавии	5086.0	408.0	614.0	1890.0	1181.0	670.0	202.0	63.0	56.0	2.0	687.0	4257.0	140.0
Таджикистана	1820.0	264.0	224.0	596.0	491.0	181.0	48.0	10.0	4.0	2.0	364.0	1435.0	19.0
Туркмении	332.0	24.0	58.0	69.0	68.0	49.0	31.0	21.0	12.0	-	51.0	236.0	45.0
Узбекистана	2943.0	281.0	360.0	817.0	701.0	371.0	199.0	132.0	81.0	1.0	479.0	2197.0	266.0
Украины	16160.0	1150.0	1905.0	4436.0	3466.0	2461.0	961.0	776.0	1001.0	4.0	2072.0	12145.0	1939.0
других стран мира	2365.0	283.0	266.0	533.0	643.0	337.0	150.0	84.0	67.0	2.0	423.0	1770.0	170.0
Афганистана	267.0	64.0	54.0	53.0	56.0	28.0	8.0	3.0	1.0	-	95.0	167.0	5.0
Болгарии	131.0	7.0	15.0	18.0	27.0	31.0	16.0	13.0	4.0	-	18.0	94.0	19.0
Вьетнама	167.0	19.0	12.0	41.0	72.0	21.0	2.0	-	-	-	22.0	145.0	-
Германии	49.0	7.0	6.0	8.0	10.0	8.0	8.0	1.0	1.0	-	13.0	32.0	4.0
Греции	23.0	3.0	-	4.0	7.0	5.0	2.0	-	2.0	-	3.0	17.0	3.0
Израиля	19.0	3.0	-	5.0	3.0	1.0	-	2.0	5.0	-	3.0	9.0	7.0
Индии	18.0	-	-	6.0	8.0	3.0	1.0	-	-	-	-	18.0	-
Китая	119.0	1.0	30.0	59.0	17.0	6.0	3.0	-	3.0	-	4.0	112.0	3.0
Латвии	194.0	30.0	40.0	38.0	38.0	23.0	14.0	6.0	5.0	-	57.0	122.0	15.0
Литвы	208.0	17.0	20.0	30.0	59.0	43.0	22.0	6.0	11.0	-	29.0	159.0	20.0
Сирии	32.0	-	-	6.0	20.0	3.0	2.0	-	-	1.0	-	31.0	-
США	16.0	11.0	-	-	-	2.0	2.0	-	1.0	-	11.0	3.0	2.0
Турции	157.0	4.0	3.0	61.0	69.0	19.0	1.0	-	-	-	4.0	153.0	-
Финляндии	5.0	1.0	1.0	-	-	2.0	1.0	-	-	-	2.0	3.0	-
Эстонии	39.0	6.0	6.0	7.0	10.0	4.0	1.0	1.0	3.0	1.0	7.0	27.0	4.0
без гражданства	12646.0	1704.0	2356.0	2138.0	2196.0	1667.0	857.0	828.0	839.0	61.0	3313.0	7446.0	1826.0
гражданство не указано	160638.0	10712.0	19622.0	24435.0	25514.0	28983.0	19473.0	15327.0	11344.0	5228.0	21632.0	103410.0	30368.0
Орловская область													
Все население	860262.0	72911.0	126362.0	118200.0	114004.0	145465.0	94340.0	94687.0	94129.0	164.0	145024.0	508716.0	206358.0
в том числе:													
граждане России	847492.0	71793.0	124178.0	115846.0	111762.0	143470.0	93170.0	93765.0	93396.0	112.0	142597.0	500292.0	204491.0
из них имеющие два гражданства	150.0	14.0	12.0	32.0	33.0	29.0	12.0	10.0	8.0	-	19.0	110.0	21.0
иностранные граждане	4473.0	409.0	734.0	933.0	882.0	723.0	338.0	261.0	190.0	3.0	822.0	3152.0	496.0
из них имеющие гражданство:													
стран СНГ	4277.0	402.0	705.0	850.0	856.0	700.0	318.0	259.0	184.0	3.0	800.0	2990.0	484.0
Азербайджана	437.0	69.0	66.0	78.0	135.0	70.0	11.0	6.0	2.0	-	113.0	313.0	11.0
Армении	758.0	97.0	151.0	143.0	157.0	117.0	49.0	33.0	11.0	-	203.0	504.0	51.0
Белоруссии	171.0	10.0	22.0	22.0	31.0	37.0	15.0	17.0	17.0	-	16.0	120.0	35.0
Грузии	162.0	9.0	20.0	37.0	40.0	21.0	18.0	15.0	2.0	-	19.0	125.0	18.0
Казахстана	368.0	39.0	78.0	80.0	49.0	51.0	32.0	18.0	18.0	3.0	78.0	248.0	39.0
Киргизии	98.0	11.0	14.0	25.0	14.0	19.0	6.0	4.0	5.0	-	20.0	68.0	10.0
Молдавии	265.0	18.0	57.0	67.0	49.0	36.0	19.0	10.0	9.0	-	46.0	197.0	22.0
Таджикистана	89.0	8.0	14.0	18.0	15.0	24.0	8.0	-	2.0	-	16.0	69.0	4.0
Туркмении	26.0	-	3.0	7.0	6.0	5.0	3.0	2.0	-	-	3.0	21.0	2.0
Узбекистана	301.0	43.0	39.0	66.0	50.0	43.0	33.0	19.0	8.0	-	67.0	201.0	33.0
Украины	1602.0	98.0	241.0	307.0	310.0	277.0	124.0	135.0	110.0	-	219.0	1124.0	259.0
других стран мира	196.0	7.0	29.0	83.0	26.0	23.0	20.0	2.0	6.0	-	22.0	162.0	12.0
Афганистана	19.0	1.0	6.0	1.0	4.0	6.0	1.0	-	-	-	7.0	12.0	-
Болгарии	15.0	-	3.0	3.0	2.0	-	5.0	1.0	1.0	-	1.0	12.0	2.0
Вьетнама	25.0	2.0	5.0	8.0	8.0	2.0	-	-	-	-	3.0	22.0	-
Германии	3.0	-	-	2.0	-	-	1.0	-	-	-	-	2.0	1.0
Греции	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Израиля	1.0	-	-	-	-	-	-	-	1.0	-	-	-	1.0
Китая	59.0	-	5.0	52.0	2.0	-	-	-	-	-	-	59.0	-
Латвии	16.0	1.0	6.0	2.0	5.0	1.0	1.0	-	-	-	7.0	9.0	-
Литвы	20.0	-	1.0	3.0	3.0	3.0	6.0	1.0	3.0	-	-	14.0	6.0
США	1.0	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Турции	2.0	-	-	-	-	1.0	1.0	-	-	-	-	2.0	-
Эстонии	4.0	-	1.0	-	-	3.0	-	-	-	-	1.0	3.0	-
без гражданства	3454.0	373.0	775.0	627.0	603.0	456.0	249.0	189.0	180.0	2.0	881.0	2150.0	421.0
гражданство не указано	4843.0	336.0	675.0	794.0	757.0	816.0	583.0	472.0	363.0	47.0	724.0	3122.0	950.0
Рязанская область													
Все население	1227910.0	94644.0	175949.0	162933.0	158917.0	200812.0	139775.0	152663.0	142047.0	170.0	193871.0	711120.0	322749.0
в том числе:													
граждане России	1203563.0	92571.0	172122.0	158572.0	154845.0	196934.0	137275.0	150610.0	140616.0	18.0	189615.0	695150.0	318780.0
из них имеющие два гражданства	167.0	8.0	24.0	37.0	37.0	22.0	12.0	16.0	11.0	-	22.0	114.0	31.0
иностранные граждане	6608.0	687.0	1195.0	1647.0	1318.0	858.0	370.0	295.0	238.0	-	1298.0	4706.0	604.0
из них имеющие гражданство:													
стран СНГ	5882.0	663.0	1010.0	1310.0	1199.0	823.0	357.0	289.0	231.0	-	1260.0	4036.0	586.0
Азербайджана	951.0	189.0	154.0	178.0	262.0	120.0	28.0	12.0	8.0	-	307.0	619.0	25.0
Армении	1057.0	129.0	233.0	205.0	225.0	162.0	49.0	37.0	17.0	-	292.0	703.0	62.0
Белоруссии	222.0	6.0	23.0	28.0	41.0	40.0	29.0	28.0	27.0	-	23.0	136.0	63.0
Грузии	233.0	19.0	32.0	49.0	62.0	38.0	14.0	14.0	5.0	-	42.0	170.0	21.0
Казахстана	606.0	61.0	131.0	157.0	86.0	70.0	34.0	32.0	35.0	-	118.0	414.0	74.0
Киргизии	235.0	24.0	55.0	70.0	31.0	30.0	12.0	9.0	4.0	-	37.0	185.0	13.0
Молдавии	335.0	49.0	51.0	88.0	68.0	50.0	17.0	7.0	5.0	-	73.0	250.0	12.0
Таджикистана	240.0	20.0	28.0	80.0	54.0	39.0	16.0	1.0	2.0	-	34.0	203.0	3.0
Туркмении	72.0	4.0	18.0	13.0	12.0	7.0	9.0	7.0	2.0	-	15.0	44.0	13.0
Узбекистана	855.0	96.0	162.0	196.0	153.0	99.0	62.0	52.0	35.0	-	181.0	573.0	101.0
Украины	1076.0	66.0	123.0	246.0	205.0	168.0	87.0	90.0	91.0	-	138.0	739.0	199.0
других стран мира	726.0	24.0	185.0	337.0	119.0	35.0	13.0	6.0	7.0	-	38.0	670.0	18.0
Афганистана	20.0	3.0	5.0	3.0	6.0	2.0	1.0	-	-	-	8.0	11.0	1.0
Болгарии	3.0	2.0	-	-	1.0	-	-	-	-	-	2.0	1.0	-
Вьетнама	102.0	6.0	2.0	24.0	60.0	10.0	-	-	-	-	7.0	95.0	-
Германии	4.0	-	1.0	-	1.0	-	1.0	1.0	-	-	-	3.0	1.0
Израиля	8.0	3.0	1.0	4.0	-	-	-	-	-	-	3.0	5.0	-
Индии	150.0	-	88.0	54.0	7.0	1.0	-	-	-	-	-	150.0	-
Китая	3.0	-	-	1.0	-	2.0	-	-	-	-	-	3.0	-
Латвии	17.0	1.0	1.0	2.0	6.0	2.0	1.0	1.0	3.0	-	2.0	11.0	4.0
Литвы	37.0	5.0	6.0	7.0	4.0	8.0	5.0	1.0	1.0	-	7.0	27.0	3.0
Сирии	16.0	-	7.0	7.0	2.0	-	-	-	-	-	-	16.0	-
США	4.0	1.0	-	2.0	-	-	-	-	1.0	-	1.0	2.0	1.0
Турции	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Эстонии	2.0	-	-	-	-	-	1.0	1.0	-	-	-	-	2.0
без гражданства	4560.0	512.0	976.0	768.0	782.0	616.0	370.0	310.0	223.0	3.0	1153.0	2809.0	595.0
гражданство не указано	13179.0	874.0	1656.0	1946.0	1972.0	2404.0	1760.0	1448.0	970.0	149.0	1805.0	8455.0	2770.0
Смоленская область													
Все население	1049574.0	80860.0	157759.0	146068.0	137661.0	180461.0	116786.0	107004.0	117304.0	5671.0	169764.0	628117.0	246022.0
в том числе:													
граждане России	1029721.0	79580.0	155412.0	143435.0	135086.0	178126.0	115367.0	105859.0	116339.0	517.0	167226.0	618315.0	243663.0
из них имеющие два гражданства	215.0	17.0	22.0	41.0	45.0	30.0	23.0	27.0	10.0	-	26.0	149.0	40.0
иностранные граждане	5477.0	486.0	893.0	1166.0	1101.0	728.0	399.0	387.0	316.0	1.0	882.0	3820.0	774.0
из них имеющие гражданство:													
стран СНГ	5124.0	464.0	851.0	1050.0	1028.0	682.0	370.0	372.0	306.0	1.0	839.0	3544.0	740.0
Азербайджана	569.0	110.0	99.0	86.0	164.0	70.0	20.0	12.0	8.0	-	179.0	369.0	21.0
Армении	655.0	98.0	134.0	118.0	152.0	92.0	36.0	17.0	8.0	-	181.0	444.0	30.0
Белоруссии	1278.0	57.0	249.0	252.0	218.0	179.0	122.0	113.0	87.0	1.0	101.0	959.0	217.0
Грузии	186.0	15.0	19.0	46.0	42.0	37.0	13.0	9.0	5.0	-	23.0	149.0	14.0
Казахстана	409.0	35.0	91.0	112.0	60.0	45.0	14.0	29.0	23.0	-	67.0	286.0	56.0
Киргизии	120.0	17.0	19.0	30.0	25.0	14.0	5.0	4.0	6.0	-	30.0	79.0	11.0
Молдавии	167.0	15.0	27.0	45.0	36.0	20.0	11.0	7.0	6.0	-	28.0	125.0	14.0
Таджикистана	122.0	14.0	20.0	39.0	20.0	14.0	10.0	2.0	3.0	-	22.0	94.0	6.0
Туркмении	71.0	6.0	12.0	19.0	13.0	4.0	5.0	8.0	4.0	-	12.0	44.0	15.0
Узбекистана	322.0	27.0	49.0	79.0	51.0	41.0	33.0	30.0	12.0	-	51.0	220.0	51.0
Украины	1225.0	70.0	132.0	224.0	247.0	166.0	101.0	141.0	144.0	-	145.0	775.0	305.0
других стран мира	353.0	22.0	42.0	116.0	73.0	46.0	29.0	15.0	10.0	-	43.0	276.0	34.0
Болгарии	9.0	1.0	-	-	3.0	3.0	1.0	-	1.0	-	1.0	7.0	1.0
Вьетнама	9.0	-	-	2.0	6.0	1.0	-	-	-	-	-	9.0	-
Германии	2.0	1.0	-	-	-	1.0	-	-	-	-	1.0	1.0	-
Израиля	3.0	-	-	1.0	-	1.0	-	-	1.0	-	-	2.0	1.0
Индии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Китая	9.0	-	1.0	3.0	4.0	1.0	-	-	-	-	-	9.0	-
Латвии	46.0	4.0	9.0	3.0	17.0	2.0	8.0	3.0	-	-	9.0	32.0	5.0
Литвы	115.0	6.0	15.0	10.0	26.0	29.0	16.0	9.0	4.0	-	16.0	81.0	18.0
Сирии	6.0	-	-	6.0	-	-	-	-	-	-	-	6.0	-
США	2.0	-	-	1.0	-	1.0	-	-	-	-	-	2.0	-
Турции	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Финляндии	1.0	-	-	-	-	-	1.0	-	-	-	-	-	1.0
Эстонии	12.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	-	-	4.0	6.0	2.0
без гражданства	3396.0	317.0	652.0	513.0	610.0	505.0	292.0	288.0	214.0	5.0	714.0	2122.0	555.0
гражданство не указано	10980.0	477.0	802.0	954.0	864.0	1102.0	728.0	470.0	435.0	5148.0	942.0	3860.0	1030.0
Тамбовская область													
Все население	1178443.0	97329.0	170517.0	153460.0	156420.0	195298.0	128767.0	138623.0	137529.0	500.0	197385.0	679812.0	300746.0
в том числе:													
граждане России	1166453.0	96202.0	168522.0	151288.0	154473.0	193465.0	127744.0	137742.0	136849.0	168.0	195060.0	672200.0	299025.0
из них имеющие два гражданства	226.0	14.0	34.0	42.0	47.0	37.0	18.0	20.0	14.0	-	30.0	157.0	39.0
иностранные граждане	4601.0	495.0	870.0	1062.0	882.0	658.0	268.0	209.0	156.0	1.0	985.0	3215.0	400.0
из них имеющие гражданство:													
стран СНГ	4324.0	484.0	787.0	957.0	845.0	634.0	257.0	204.0	155.0	1.0	966.0	2964.0	393.0
Азербайджана	750.0	149.0	146.0	110.0	214.0	107.0	15.0	7.0	2.0	-	268.0	472.0	10.0
Армении	1052.0	144.0	237.0	193.0	205.0	154.0	60.0	41.0	17.0	1.0	297.0	690.0	64.0
Белоруссии	137.0	6.0	21.0	40.0	19.0	15.0	14.0	12.0	10.0	-	10.0	102.0	25.0
Грузии	167.0	11.0	23.0	32.0	45.0	26.0	15.0	6.0	9.0	-	26.0	126.0	15.0
Казахстана	370.0	28.0	82.0	115.0	43.0	30.0	23.0	28.0	21.0	-	63.0	254.0	53.0
Киргизии	114.0	10.0	20.0	31.0	21.0	17.0	5.0	2.0	8.0	-	26.0	78.0	10.0
Молдавии	137.0	13.0	29.0	36.0	26.0	22.0	2.0	5.0	4.0	-	25.0	103.0	9.0
Таджикистана	167.0	20.0	29.0	49.0	27.0	23.0	10.0	4.0	5.0	-	37.0	119.0	11.0
Туркмении	59.0	3.0	11.0	14.0	7.0	10.0	6.0	5.0	3.0	-	9.0	41.0	9.0
Узбекистана	350.0	24.0	62.0	102.0	56.0	54.0	22.0	17.0	13.0	-	57.0	261.0	32.0
Украины	1021.0	76.0	127.0	235.0	182.0	176.0	85.0	77.0	63.0	-	148.0	718.0	155.0
других стран мира	277.0	11.0	83.0	105.0	37.0	24.0	11.0	5.0	1.0	-	19.0	251.0	7.0
Болгарии	8.0	-	3.0	1.0	-	2.0	2.0	-	-	-	2.0	6.0	-
Вьетнама	70.0	1.0	42.0	15.0	6.0	5.0	1.0	-	-	-	2.0	68.0	-
Германии	5.0	-	-	-	2.0	1.0	-	1.0	1.0	-	-	3.0	2.0
Греции	1.0	-	1.0	-	-	-	-	-	-	-	1.0	-	-
Индии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Китая	75.0	1.0	13.0	37.0	14.0	6.0	4.0	-	-	-	1.0	74.0	-
Латвии	8.0	3.0	1.0	2.0	1.0	-	1.0	-	-	-	4.0	4.0	-
Литвы	11.0	2.0	-	2.0	1.0	1.0	1.0	4.0	-	-	2.0	5.0	4.0
Сирии	2.0	-	-	2.0	-	-	-	-	-	-	-	2.0	-
США	5.0	3.0	-	-	1.0	1.0	-	-	-	-	3.0	2.0	-
Турции	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Эстонии	2.0	-	-	-	1.0	-	1.0	-	-	-	-	1.0	1.0
без гражданства	2701.0	315.0	560.0	479.0	447.0	376.0	190.0	193.0	138.0	3.0	684.0	1658.0	356.0
гражданство не указано	4688.0	317.0	565.0	631.0	618.0	799.0	565.0	479.0	386.0	328.0	656.0	2739.0	965.0
Тверская область													
Все население	1471459.0	116040.0	212617.0	195224.0	186267.0	245531.0	163401.0	172223.0	179452.0	704.0	238425.0	850050.0	382280.0
в том числе:													
граждане России	1447345.0	113774.0	209219.0	190730.0	182284.0	241816.0	161179.0	170231.0	177854.0	258.0	234130.0	834702.0	378255.0
из них имеющие два гражданства	427.0	36.0	48.0	71.0	104.0	75.0	31.0	33.0	29.0	-	65.0	298.0	64.0
иностранные граждане	7514.0	847.0	1149.0	2001.0	1538.0	914.0	436.0	351.0	276.0	2.0	1506.0	5289.0	717.0
из них имеющие гражданство:													
стран СНГ	6492.0	800.0	956.0	1464.0	1406.0	862.0	406.0	330.0	267.0	1.0	1434.0	4375.0	682.0
Азербайджана	1287.0	234.0	223.0	242.0	338.0	185.0	39.0	14.0	11.0	1.0	403.0	852.0	31.0
Армении	1114.0	166.0	202.0	208.0	252.0	164.0	71.0	33.0	18.0	-	308.0	739.0	67.0
Белоруссии	327.0	20.0	28.0	52.0	67.0	54.0	26.0	42.0	38.0	-	39.0	201.0	87.0
Грузии	455.0	59.0	66.0	119.0	111.0	57.0	17.0	13.0	13.0	-	109.0	319.0	27.0
Казахстана	440.0	41.0	65.0	115.0	69.0	46.0	38.0	35.0	31.0	-	77.0	290.0	73.0
Киргизии	119.0	20.0	19.0	28.0	21.0	12.0	10.0	4.0	5.0	-	27.0	81.0	11.0
Молдавии	250.0	25.0	27.0	84.0	49.0	33.0	16.0	10.0	6.0	-	39.0	191.0	20.0
Таджикистана	426.0	66.0	52.0	153.0	103.0	29.0	15.0	7.0	1.0	-	96.0	322.0	8.0
Туркмении	72.0	8.0	12.0	20.0	8.0	11.0	11.0	1.0	1.0	-	14.0	54.0	4.0
Узбекистана	681.0	73.0	103.0	153.0	115.0	92.0	61.0	58.0	26.0	-	134.0	448.0	99.0
Украины	1321.0	88.0	159.0	290.0	273.0	179.0	102.0	113.0	117.0	-	188.0	878.0	255.0
других стран мира	1022.0	47.0	193.0	537.0	132.0	52.0	30.0	21.0	9.0	1.0	72.0	914.0	35.0
Афганистана	2.0	-	-	1.0	-	1.0	-	-	-	-	-	2.0	-
Болгарии	20.0	2.0	1.0	1.0	4.0	4.0	5.0	2.0	1.0	-	3.0	14.0	3.0
Вьетнама	69.0	5.0	11.0	31.0	19.0	1.0	2.0	-	-	-	5.0	63.0	1.0
Германии	7.0	1.0	1.0	2.0	1.0	1.0	-	1.0	-	-	1.0	5.0	1.0
Греции	7.0	-	-	5.0	2.0	-	-	-	-	-	-	7.0	-
Израиля	4.0	-	1.0	2.0	1.0	-	-	-	-	-	-	4.0	-
Индии	330.0	2.0	115.0	208.0	4.0	1.0	-	-	-	-	2.0	328.0	-
Китая	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Латвии	65.0	9.0	19.0	9.0	17.0	2.0	5.0	4.0	-	-	20.0	40.0	5.0
Литвы	76.0	4.0	8.0	13.0	15.0	14.0	13.0	8.0	1.0	-	6.0	58.0	12.0
Сирии	15.0	1.0	1.0	7.0	5.0	1.0	-	-	-	-	1.0	14.0	-
США	4.0	2.0	-	-	1.0	1.0	-	-	-	-	2.0	2.0	-
Турции	13.0	2.0	-	4.0	6.0	1.0	-	-	-	-	2.0	11.0	-
Финляндии	2.0	-	-	-	1.0	-	1.0	-	-	-	-	2.0	-
Эстонии	20.0	1.0	3.0	4.0	1.0	6.0	1.0	2.0	2.0	-	1.0	15.0	4.0
без гражданства	3410.0	425.0	671.0	626.0	572.0	403.0	248.0	259.0	206.0	-	878.0	2023.0	509.0
гражданство не указано	13190.0	994.0	1578.0	1867.0	1873.0	2398.0	1538.0	1382.0	1116.0	444.0	1911.0	8036.0	2799.0
Тульская область													
Все население	1675758.0	124780.0	226208.0	229413.0	213536.0	273068.0	198467.0	205028.0	204707.0	551.0	251297.0	974891.0	449019.0
в том числе:													
граждане России	1655526.0	122523.0	222754.0	225607.0	210094.0	270372.0	196892.0	203627.0	203546.0	111.0	247002.0	962253.0	446160.0
из них имеющие два гражданства	343.0	31.0	42.0	66.0	61.0	65.0	34.0	20.0	24.0	-	48.0	245.0	50.0
иностранные граждане	7757.0	847.0	1314.0	1847.0	1551.0	977.0	504.0	412.0	305.0	-	1543.0	5402.0	812.0
из них имеющие гражданство:													
стран СНГ	7024.0	832.0	1142.0	1434.0	1472.0	947.0	493.0	403.0	301.0	-	1517.0	4709.0	798.0
