8. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
	Численность населения соответству-ющей националь-ности	Всего указали источников средств к существова-нию
	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали
			
			доход от трудовой деятель-ности (кроме работы в личном подсобном хозяйстве)
	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государст-венного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию					
																один источник средств к существова-нию	два источника
	три источника
	четыре источника и более
Городское и сельское население																			
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ненцы	39813.0	56917.0	11315.0	3340.0	583.0	5332.0	914.0	11608.0	1084.0	2521.0	38.0	44.0	19301.0	837.0	40.0	24514.0	13447.0	1739.0	73.0
в том числе в возрасте, лет:																			
до 15	14529.0	25032.0	1.0	11.0	1.0	874.0	112.0	9419.0	-	1683.0	1.0	11.0	12895.0	24.0	14.0	5100.0	8356.0	1016.0	43.0
15 – 19	4469.0	6754.0	545.0	229.0	421.0	291.0	84.0	1212.0	117.0	516.0	1.0	5.0	3270.0	63.0	5.0	2557.0	1538.0	355.0	14.0
20 – 29	5951.0	7150.0	3235.0	952.0	158.0	28.0	170.0	371.0	289.0	130.0	11.0	10.0	1563.0	233.0	7.0	4851.0	985.0	103.0	5.0
30 – 49	10314.0	12062.0	6721.0	1585.0	3.0	231.0	417.0	470.0	655.0	148.0	19.0	14.0	1333.0	466.0	10.0	8673.0	1507.0	121.0	3.0
50 – 54	1286.0	1735.0	510.0	190.0	-	814.0	58.0	28.0	21.0	8.0	4.0	2.0	64.0	36.0	1.0	890.0	341.0	53.0	1.0
55 – 59	775.0	1046.0	135.0	100.0	-	715.0	27.0	27.0	2.0	7.0	1.0	1.0	27.0	4.0	-	534.0	212.0	28.0	1.0
60 – 64	816.0	1062.0	93.0	99.0	-	790.0	17.0	17.0	-	5.0	-	-	38.0	3.0	-	600.0	189.0	24.0	3.0
65 и более	1626.0	2017.0	63.0	168.0	-	1578.0	27.0	56.0	-	22.0	1.0	1.0	98.0	3.0	-	1280.0	304.0	39.0	3.0
