4. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИИ, СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В СОСТАВЕ ФЕДЕРАЛЬНЫХ ОКРУГОВ, РАЙОНОВ, ГОРОДСКИХ ПОСЕЛЕНИЙ, СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ – РАЙОННЫХ ЦЕНТРОВ И СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ С НАСЕЛЕНИЕМ 3 ТЫСЯЧИ И БОЛЕЕ ЧЕЛОВЕК					
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов	
				мужчины	женщины
    Сельское население	9178.0	4504.0	4674.0	49.1	50.9
  Тунгиро-Олекминский район - сельское население	1643.0	833.0	810.0	50.7	49.3
      с. Тупик (рц)	1041.0	496.0	545.0	47.6	52.4
      прочие сельские населенные пункты	602.0	337.0	265.0	56.0	44.0
  Тунгокоченский район	14207.0	6913.0	7294.0	48.7	51.3
    Городское население - пгт Вершино-Дарасунский	6743.0	3241.0	3502.0	48.1	51.9
    Сельское население	7464.0	3672.0	3792.0	49.2	50.8
      с. Верх-Усугли (рц)	2690.0	1276.0	1414.0	47.4	52.6
      прочие сельские населенные пункты	4774.0	2396.0	2378.0	50.2	49.8
  Улетовский район	21337.0	10224.0	11113.0	47.9	52.1
    Городское население - пгт Дровяная	3230.0	1562.0	1668.0	48.4	51.6
    Сельское население	18107.0	8662.0	9445.0	47.8	52.2
      с. Улеты (рц)	6350.0	2987.0	3363.0	47.0	53.0
      прочие сельские населенные пункты	11757.0	5675.0	6082.0	48.3	51.7
  Хилокский район	33434.0	16115.0	17319.0	48.2	51.8
    Городское население	15607.0	7375.0	8232.0	47.3	52.7
      г. Хилок (рц)	11152.0	5212.0	5940.0	46.7	53.3
      пгт Могзон	4455.0	2163.0	2292.0	48.6	51.4
    Сельское население	17827.0	8740.0	9087.0	49.0	51.0
      с. Бада	5382.0	2698.0	2684.0	50.1	49.9
      прочие сельские населенные пункты	12445.0	6042.0	6403.0	48.5	51.5
  Чернышевский район	38146.0	18190.0	19956.0	47.7	52.3
    Городское население	24776.0	11683.0	13093.0	47.2	52.8
      пгт Чернышевск (рц)	13031.0	6100.0	6931.0	46.8	53.2
      пгт Аксеново-Зиловское	4283.0	2046.0	2237.0	47.8	52.2
      пгт Букачача	3525.0	1646.0	1879.0	46.7	53.3
      пгт Жирекен	3937.0	1891.0	2046.0	48.0	52.0
    Сельское население	13370.0	6507.0	6863.0	48.7	51.3
  Читинский район	62221.0	30514.0	31707.0	49.0	51.0
    Городское население	20115.0	9712.0	10403.0	48.3	51.7
      пгт Атамановка	9463.0	4718.0	4745.0	49.9	50.1
      пгт Новокручининский	9817.0	4607.0	5210.0	46.9	53.1
      пгт Яблоново	835.0	387.0	448.0	46.3	53.7
    Сельское население	42106.0	20802.0	21304.0	49.4	50.6
      с. Домна	6874.0	3495.0	3379.0	50.8	49.2
      с. Маккавеево	4100.0	1917.0	2183.0	46.8	53.2
      с. Смоленка	3066.0	1575.0	1491.0	51.4	48.6
      прочие сельские населенные пункты	28066.0	13815.0	14251.0	49.2	50.8
  Шелопугинский район	9773.0	4758.0	5015.0	48.7	51.3
    Городское население - пгт Вершино-Шахтаминский	1707.0	804.0	903.0	47.1	52.9
    Сельское население	8066.0	3954.0	4112.0	49.0	51.0
      с. Шелопугино (рц)	3571.0	1714.0	1857.0	48.0	52.0
      прочие сельские населенные пункты	4495.0	2240.0	2255.0	49.8	50.2
  Шилкинский район	47453.0	22406.0	25047.0	47.2	52.8
    Городское население	31242.0	14431.0	16811.0	46.2	53.8
      г. Шилка (рц)	14748.0	6809.0	7939.0	46.2	53.8
      пгт Арбагар	744.0	353.0	391.0	47.4	52.6
      пгт Первомайский	13098.0	6026.0	7072.0	46.0	54.0
      пгт Холбон	2652.0	1243.0	1409.0	46.9	53.1
    Сельское население	16211.0	7975.0	8236.0	49.2	50.8
Агинский Бурятский автономный округ	72213.0	35127.0	37086.0	48.6	51.4
    Городское население	25510.0	12018.0	13492.0	47.1	52.9
    Сельское население	46703.0	23109.0	23594.0	49.5	50.5
  Агинский район	29511.0	14304.0	15207.0	48.5	51.5
    Городское население	16924.0	8041.0	8883.0	47.5	52.5
      пгт Агинское (рц)	11717.0	5515.0	6202.0	47.1	52.9
      пгт Новоорловск	2859.0	1360.0	1499.0	47.6	52.4
      пгт Орловский	2348.0	1166.0	1182.0	49.7	50.3
    Сельское население	12587.0	6263.0	6324.0	49.8	50.2
  Дульдургинский район - сельское население	15316.0	7416.0	7900.0	48.4	51.6
      с. Дульдурга (рц)	6382.0	3058.0	3324.0	47.9	52.1
      прочие сельские населенные пункты	8934.0	4358.0	4576.0	48.8	51.2
  Могойтуйский район 	27386.0	13407.0	13979.0	49.0	51.0
    Городское население - пгт Могойтуй (рц)	8586.0	3977.0	4609.0	46.3	53.7
    Сельское население	18800.0	9430.0	9370.0	50.2	49.8
Дальневосточный федеральный округ	6692865.0	3254984.0	3437881.0	48.6	51.4
    Городское население	5081575.0	2440462.0	2641113.0	48.0	52.0
    Сельское население	1611290.0	814522.0	796768.0	50.6	49.4
Республика Саха (Якутия)	949280.0	464217.0	485063.0	48.9	51.1
    Городское население	609999.0	296155.0	313844.0	48.6	51.4
    Сельское население	339281.0	168062.0	171219.0	49.5	50.5
  г. Якутск с подчиненными его администрации населенными пунктами	246279.0	115967.0	130312.0	47.1	52.9
    Городское население	238356.0	112057.0	126299.0	47.0	53.0
      г. Якутск	210642.0	97632.0	113010.0	46.3	53.7
      пгт Жатай	8405.0	3959.0	4446.0	47.1	52.9
      пгт Кангалассы	1779.0	861.0	918.0	48.4	51.6
      пгт Маган	1743.0	820.0	923.0	47.0	53.0
      пгт Марха	12041.0	6368.0	5673.0	52.9	47.1
      пгт Табага	3746.0	2417.0	1329.0	64.5	35.5
    Сельское население	7923.0	3910.0	4013.0	49.3	50.7
      с. Хатассы	3800.0	1842.0	1958.0	48.5	51.5
      прочие сельские населенные пункты 	4123.0	2068.0	2055.0	50.2	49.8
  г. Мирный	39981.0	19749.0	20232.0	49.4	50.6
  г. Нерюнгри с подчиненными его администрации населенными пунктами	89796.0	43253.0	46543.0	48.2	51.8
    Городское население	88074.0	42422.0	45652.0	48.2	51.8
      г. Нерюнгри	66269.0	31713.0	34556.0	47.9	52.1
      пгт Беркакит	4925.0	2402.0	2523.0	48.8	51.2
      пгт Золотинка	566.0	269.0	297.0	47.5	52.5
      пгт Нагорный	152.0	84.0	68.0	55.3	44.7
      пгт Серебряный Бор	4447.0	2246.0	2201.0	50.5	49.5
      пгт Хани	933.0	474.0	459.0	50.8	49.2
      пгт Чульман	10782.0	5234.0	5548.0	48.5	51.5
    Сельское население	1722.0	831.0	891.0	48.3	51.7
  г. Нюрба	10309.0	4856.0	5453.0	47.1	52.9
  г. Покровск	10092.0	4737.0	5355.0	46.9	53.1
  Абыйский улус 	4750.0	2320.0	2430.0	48.8	51.2
    Городское население - пгт Белая Гора (рц)	2463.0	1187.0	1276.0	48.2	51.8
    Сельское население	2287.0	1133.0	1154.0	49.5	50.5
  Алданский улус 	49346.0	24753.0	24593.0	50.2	49.8
    Городское население	45230.0	22662.0	22568.0	50.1	49.9
      г. Алдан (рц)	24715.0	12705.0	12010.0	51.4	48.6
      г. Томмот	9032.0	4423.0	4609.0	49.0	51.0
      пгт Безымянный	111.0	57.0	54.0	51.4	48.6
      пгт Большой Нимныр	479.0	235.0	244.0	49.1	50.9
      пгт Лебединый	1254.0	605.0	649.0	48.2	51.8
      пгт Ленинский	2112.0	997.0	1115.0	47.2	52.8
      пгт Нижний Куранах	7027.0	3414.0	3613.0	48.6	51.4
      пгт Ыллымах	500.0	226.0	274.0	45.2	54.8
    Сельское население	4116.0	2091.0	2025.0	50.8	49.2
  Аллаиховский улус 	3421.0	1684.0	1737.0	49.2	50.8
    Городское население - пгт Чокурдах (рц)	2591.0	1259.0	1332.0	48.6	51.4
    Сельское население	830.0	425.0	405.0	51.2	48.8
  Амгинский улус - сельское население	17251.0	8401.0	8850.0	48.7	51.3
      с. Амга (рц)	6359.0	2977.0	3382.0	46.8	53.2
      прочие сельские населенные пункты  	10892.0	5424.0	5468.0	49.8	50.2
  Анабарский национальный улус - сельское население  	4024.0	2020.0	2004.0	50.2	49.8
      с. Саскылах (рц)	1985.0	970.0	1015.0	48.9	51.1
      прочие сельские населенные пункты  	2039.0	1050.0	989.0	51.5	48.5
  Булунский улус 	9775.0	5082.0	4693.0	52.0	48.0
    Городское население - пгт Тикси (рц)	5873.0	3112.0	2761.0	53.0	47.0
    Сельское население	3902.0	1970.0	1932.0	50.5	49.5
  Верхневилюйский улус - сельское население	21383.0	10519.0	10864.0	49.2	50.8
      с. Верхневилюйск (рц)	6555.0	3109.0	3446.0	47.4	52.6
      прочие сельские населенные пункты  	14828.0	7410.0	7418.0	50.0	50.0
  Верхнеколымский улус 	5653.0	2835.0	2818.0	50.2	49.8
    Городское население - пгт Зырянка (рц)	3749.0	1871.0	1878.0	49.9	50.1
    Сельское население	1904.0	964.0	940.0	50.6	49.4
  Верхоянский улус 	13666.0	6826.0	6840.0	49.9	50.1
    Городское население	6366.0	3036.0	3330.0	47.7	52.3
      г. Верхоянск	1434.0	648.0	786.0	45.2	54.8
      пгт Батагай (рц)	4589.0	2215.0	2374.0	48.3	51.7
      пгт Эсэ-Хайя	343.0	173.0	170.0	50.4	49.6
    Сельское население	7300.0	3790.0	3510.0	51.9	48.1
  Вилюйский улус 	25696.0	12402.0	13294.0	48.3	51.7
    Городское население	13385.0	6287.0	7098.0	47.0	53.0
      г. Вилюйск (рц)	9776.0	4435.0	5341.0	45.4	54.6
      пгт Кысыл-Сыр	3609.0	1852.0	1757.0	51.3	48.7
    Сельское население	12311.0	6115.0	6196.0	49.7	50.3
  Горный улус - сельское население	11422.0	5585.0	5837.0	48.9	51.1
      с. Бердигестях (рц)	6149.0	2994.0	3155.0	48.7	51.3
      прочие сельские населенные пункты  	5273.0	2591.0	2682.0	49.1	50.9
  Жиганский улус - сельское население	4312.0	2083.0	2229.0	48.3	51.7
      с. Жиганск (рц)	3346.0	1583.0	1763.0	47.3	52.7
      прочие сельские населенные пункты  	966.0	500.0	466.0	51.8	48.2
  Кобяйский улус 	14178.0	6988.0	7190.0	49.3	50.7
    Городское население - пгт Сангар (рц)	4789.0	2317.0	2472.0	48.4	51.6
    Сельское население	9389.0	4671.0	4718.0	49.7	50.3
  Ленский улус 	38669.0	19095.0	19574.0	49.4	50.6
    Городское население	33241.0	16392.0	16849.0	49.3	50.7
      г. Ленск (рц)	24558.0	12089.0	12469.0	49.2	50.8
      пгт Витим	3973.0	1992.0	1981.0	50.1	49.9
      пгт Пеледуй	4710.0	2311.0	2399.0	49.1	50.9
    Сельское население	5428.0	2703.0	2725.0	49.8	50.2
  Мегино-Кангаласский улус 	32288.0	15745.0	16543.0	48.8	51.2
    Городское население -  пгт Нижний Бестях	3327.0	1667.0	1660.0	50.1	49.9
    Сельское население	28961.0	14078.0	14883.0	48.6	51.4
      с. Майя (рц)	7023.0	3264.0	3759.0	46.5	53.5
      прочие сельские населенные пункты  	21938.0	10814.0	11124.0	49.3	50.7
  Мирнинский улус 	46032.0	23475.0	22557.0	51.0	49.0
    Городское население	42092.0	21428.0	20664.0	50.9	49.1
      г. Удачный	15698.0	7858.0	7840.0	50.1	49.9
      пгт Айхал	15782.0	8277.0	7505.0	52.4	47.6
      пгт Алмазный	1756.0	841.0	915.0	47.9	52.1
      пгт Светлый	3546.0	1792.0	1754.0	50.5	49.5
      пгт Чернышевский	5310.0	2660.0	2650.0	50.1	49.9
    Сельское население	3940.0	2047.0	1893.0	52.0	48.0
  Момский национальный улус - сельское население 	4699.0	2303.0	2396.0	49.0	51.0
      с. Хонуу (рц)	2494.0	1177.0	1317.0	47.2	52.8
      прочие сельские населенные пункты  	2205.0	1126.0	1079.0	51.1	48.9
  Намский улус - сельское население	21454.0	10323.0	11131.0	48.1	51.9
      с. Намцы (рц)	8249.0	3834.0	4415.0	46.5	53.5
      прочие сельские населенные пункты  	13205.0	6489.0	6716.0	49.1	50.9
  Нижнеколымский улус 	5932.0	2944.0	2988.0	49.6	50.4
    Городское население - пгт Черский (рц)	3832.0	1885.0	1947.0	49.2	50.8
    Сельское население	2100.0	1059.0	1041.0	50.4	49.6
  Нюрбинский улус - сельское население	15549.0	7795.0	7754.0	50.1	49.9
  Оймяконский улус 	14670.0	7835.0	6835.0	53.4	46.6
    Городское население	10869.0	5869.0	5000.0	54.0	46.0
      пгт Усть-Нера (рц)	9457.0	4907.0	4550.0	51.9	48.1
      пгт Артык	633.0	329.0	304.0	52.0	48.0
      пгт Нелькан	140.0	129.0	11.0	92.1	7.9
      пгт Предпорожный	247.0	195.0	52.0	78.9	21.1
      пгт Эльгинский	392.0	309.0	83.0	78.8	21.2
    Сельское население	3801.0	1966.0	1835.0	51.7	48.3
  Олекминский улус 	27563.0	13709.0	13854.0	49.7	50.3
    Городское население	10774.0	5243.0	5531.0	48.7	51.3
      г. Олекминск (рц)	10003.0	4838.0	5165.0	48.4	51.6
      пгт Заречный	674.0	343.0	331.0	50.9	49.1
      пгт Торго	97.0	62.0	35.0	63.9	36.1
    Сельское население	16789.0	8466.0	8323.0	50.4	49.6
  Оленекский национальный улус - сельское население	4091.0	2054.0	2037.0	50.2	49.8
      с. Оленек (рц)	2228.0	1078.0	1150.0	48.4	51.6
      прочие сельские населенные пункты   	1863.0	976.0	887.0	52.4	47.6
  Среднеколымский улус 	8353.0	4094.0	4259.0	49.0	51.0
    Городское население - г. Среднеколымск (рц)	3587.0	1717.0	1870.0	47.9	52.1
    Сельское население	4766.0	2377.0	2389.0	49.9	50.1
  Сунтарский улус - сельское население	25485.0	12448.0	13037.0	48.8	51.2
      с. Сунтар (рц)	8930.0	4183.0	4747.0	46.8	53.2
      прочие сельские населенные пункты	16555.0	8265.0	8290.0	49.9	50.1
  Таттинский улус - сельское население	16601.0	8146.0	8455.0	49.1	50.9
      с. Ытык-Кюель (рц)	6267.0	2987.0	3280.0	47.7	52.3
      прочие сельские населенные пункты  	10334.0	5159.0	5175.0	49.9	50.1
  Томпонский улус 	15275.0	7576.0	7699.0	49.6	50.4
    Городское население	9150.0	4468.0	4682.0	48.8	51.2
      пгт Хандыга (рц)	7025.0	3392.0	3633.0	48.3	51.7
      пгт Джебарики-Хая	2125.0	1076.0	1049.0	50.6	49.4
    Сельское население	6125.0	3108.0	3017.0	50.7	49.3
  Усть-Алданский улус - сельское население	22372.0	10820.0	11552.0	48.4	51.6
      с. Борогонцы (рц)	5458.0	2484.0	2974.0	45.5	54.5
      прочие сельские населенные пункты	16914.0	8336.0	8578.0	49.3	50.7
  Усть-Майский улус 	11568.0	6020.0	5548.0	52.0	48.0
    Городское население	8740.0	4578.0	4162.0	52.4	47.6
      пгт Усть-Мая (рц)	3165.0	1571.0	1594.0	49.6	50.4
      пгт Аллах-Юнь	306.0	188.0	118.0	61.4	38.6
      пгт Бриндакит	15.0	11.0	4.0	73.3	26.7
      пгт Звездочка	566.0	422.0	144.0	74.6	25.4
      пгт Солнечный	1272.0	649.0	623.0	51.0	49.0
      пгт Ыныкчан	392.0	191.0	201.0	48.7	51.3
      пгт Эльдикан	2119.0	1062.0	1057.0	50.1	49.9
      пгт Югоренок	905.0	484.0	421.0	53.5	46.5
    Сельское население	2828.0	1442.0	1386.0	51.0	49.0
  Усть-Янский улус 	10009.0	5197.0	4812.0	51.9	48.1
    Городское население	5948.0	3128.0	2820.0	52.6	47.4
      пгт Депутатский (рц)	3602.0	1829.0	1773.0	50.8	49.2
      пгт Нижнеянск	701.0	374.0	327.0	53.4	46.6
      пгт Северный	77.0	63.0	14.0	81.8	18.2
      пгт Усть-Куйга	1568.0	862.0	706.0	55.0	45.0
    Сельское население	4061.0	2069.0	1992.0	50.9	49.1
  Хангаласский улус 	25109.0	13560.0	11549.0	54.0	46.0
    Городское население - пгт Мохсоголлох	7181.0	4228.0	2953.0	58.9	41.1
    Сельское население	17928.0	9332.0	8596.0	52.1	47.9
  Чурапчинский улус - сельское население	19466.0	9633.0	9833.0	49.5	50.5
      с. Чурапча (рц)	7526.0	3633.0	3893.0	48.3	51.7
      прочие сельские населенные пункты	11940.0	6000.0	5940.0	50.3	49.7
  Эвено-Бытантайский национальный улус - сельское население	2761.0	1385.0	1376.0	50.2	49.8
      с. Батагай-Алыта (рц)	1722.0	861.0	861.0	50.0	50.0
      прочие сельские населенные пункты	1039.0	524.0	515.0	50.4	49.6
Приморский край	2071210.0	1002723.0	1068487.0	48.4	51.6
    Городское население	1621977.0	776824.0	845153.0	47.9	52.1
    Сельское население	449233.0	225899.0	223334.0	50.3	49.7
  г. Владивосток с подчиненными его администрации населенными пунктами	620689.0	291968.0	328721.0	47.0	53.0
    Городское население	620156.0	291708.0	328448.0	47.0	53.0
      г. Владивосток	594701.0	279568.0	315133.0	47.0	53.0
          городские районы					
        Ленинский 	151532.0	70452.0	81080.0	46.5	53.5
        Первомайский 	153051.0	72165.0	80886.0	47.2	52.8
        Первореченский 	138266.0	65134.0	73132.0	47.1	52.9
        Советский	93514.0	43693.0	49821.0	46.7	53.3
        Фрунзенский 	58338.0	28124.0	30214.0	48.2	51.8
      пгт Попова	1316.0	648.0	668.0	49.2	50.8
      пгт Русский	5204.0	2574.0	2630.0	49.5	50.5
      пгт Трудовое	18935.0	8918.0	10017.0	47.1	52.9
    Сельское население	533.0	260.0	273.0	48.8	51.2
  г. Арсеньев	62896.0	29101.0	33795.0	46.3	53.7
  г. Артем с подчиненными его администрации населенными пунктами	110963.0	53306.0	57657.0	48.0	52.0
    Городское население	101833.0	48880.0	52953.0	48.0	52.0
      г. Артем	64145.0	29377.0	34768.0	45.8	54.2
      пгт Артемовский	9728.0	4665.0	5063.0	48.0	52.0
      пгт Заводской	15228.0	8735.0	6493.0	57.4	42.6
      пгт Угловое	12732.0	6103.0	6629.0	47.9	52.1
    Сельское население	9130.0	4426.0	4704.0	48.5	51.5
      с. Кневичи	4717.0	2328.0	2389.0	49.4	50.6
      прочие сельские населенные пункты	4413.0	2098.0	2315.0	47.5	52.5
  г. Большой Камень с подчиненными его администрации населенными пунктами	39356.0	19297.0	20059.0	49.0	51.0
    Городское население - г. Большой Камень	38394.0	18817.0	19577.0	49.0	51.0
    Сельское население	962.0	480.0	482.0	49.9	50.1
  г. Дальнегорск с подчиненными его администрации населенными пунктами	50271.0	23351.0	26920.0	46.5	53.5
    Городское население	48118.0	22329.0	25789.0	46.4	53.6
      г. Дальнегорск	40069.0	18471.0	21598.0	46.1	53.9
      пгт Каменка	1734.0	840.0	894.0	48.4	51.6
      пгт Краснореченский	3926.0	1879.0	2047.0	47.9	52.1
      пгт Рудная Пристань	2389.0	1139.0	1250.0	47.7	52.3
    Сельское население	2153.0	1022.0	1131.0	47.5	52.5
  г. Дальнереченск с подчиненными его администрации населенными пунктами	34671.0	16959.0	17712.0	48.9	51.1
    Городское население - г. Дальнереченск	30092.0	14611.0	15481.0	48.6	51.4
    Сельское население	4579.0	2348.0	2231.0	51.3	48.7
      с. Лазо	3319.0	1650.0	1669.0	49.7	50.3
      прочие сельские населенные пункты	1260.0	698.0	562.0	55.4	44.6
  г. Лесозаводск	42185.0	19956.0	22229.0	47.3	52.7
  г. Находка с подчиненными его администрации населенными пунктами	178813.0	87616.0	91197.0	49.0	51.0
    Городское население	177133.0	86786.0	90347.0	49.0	51.0
      г. Находка	148826.0	72853.0	75973.0	49.0	51.0
      пгт Врангель	15346.0	7622.0	7724.0	49.7	50.3
      пгт Ливадия	12961.0	6311.0	6650.0	48.7	51.3
    Сельское население	1680.0	830.0	850.0	49.4	50.6
  г. Партизанск с подчиненными его администрации населенными пунктами	53061.0	24939.0	28122.0	47.0	53.0
    Городское население	50289.0	23523.0	26766.0	46.8	53.2
      г. Партизанск	43670.0	20385.0	23285.0	46.7	53.3
      пгт Углекаменск	6619.0	3138.0	3481.0	47.4	52.6
    Сельское население	2772.0	1416.0	1356.0	51.1	48.9
  г. Спасск-Дальний	51691.0	24654.0	27037.0	47.7	52.3
  г. Уссурийск	157759.0	76744.0	81015.0	48.6	51.4
  г. Фокино с подчиненными его администрации населенными пунктами - городское население	36189.0	19277.0	16912.0	53.3	46.7
      г. Фокино	26457.0	14396.0	12061.0	54.4	45.6
      пгт Дунай	8599.0	4323.0	4276.0	50.3	49.7
      пгт Путятин	1133.0	558.0	575.0	49.2	50.8
  Анучинский район - сельское население	16010.0	7896.0	8114.0	49.3	50.7
      с. Анучино (рц)	4772.0	2281.0	2491.0	47.8	52.2
      прочие сельские населенные пункты	11238.0	5615.0	5623.0	50.0	50.0
  Дальнереченский район - сельское население	13995.0	6869.0	7126.0	49.1	50.9
  Кавалеровский район 	29488.0	13958.0	15530.0	47.3	52.7
    Городское население	27618.0	13040.0	14578.0	47.2	52.8
      пгт Кавалерово (рц)	17358.0	8139.0	9219.0	46.9	53.1
      пгт Высокогорск	474.0	223.0	251.0	47.0	53.0
      пгт Горнореченский	3492.0	1686.0	1806.0	48.3	51.7
      пгт Рудный	2630.0	1281.0	1349.0	48.7	51.3
      пгт Хрустальный	3664.0	1711.0	1953.0	46.7	53.3
    Сельское население	1870.0	918.0	952.0	49.1	50.9
  Кировский район 	24618.0	11775.0	12843.0	47.8	52.2
    Городское население	15189.0	7119.0	8070.0	46.9	53.1
      пгт Кировский (рц)	9698.0	4628.0	5070.0	47.7	52.3
      пгт Горные Ключи 	5272.0	2391.0	2881.0	45.4	54.6
      пгт Горный	219.0	100.0	119.0	45.7	54.3
    Сельское население	9429.0	4656.0	4773.0	49.4	50.6
  Красноармейский район 	20820.0	10312.0	10508.0	49.5	50.5
    Городское население - пгт Восток	3536.0	1708.0	1828.0	48.3	51.7
    Сельское население	17284.0	8604.0	8680.0	49.8	50.2
      с. Новопокровка (рц)	4042.0	1975.0	2067.0	48.9	51.1
      с. Рощино	4343.0	2144.0	2199.0	49.4	50.6
      прочие сельские населенные пункты	8899.0	4485.0	4414.0	50.4	49.6
  Лазовский район 	17521.0	8968.0	8553.0	51.2	48.8
    Городское население - пгт Преображение	9335.0	4903.0	4432.0	52.5	47.5
    Сельское население	8186.0	4065.0	4121.0	49.7	50.3
      с. Лазо (рц)	3638.0	1771.0	1867.0	48.7	51.3
      прочие сельские населенные пункты	4548.0	2294.0	2254.0	50.4	49.6
  Лесозаводский район - сельское население	10059.0	4999.0	5060.0	49.7	50.3
  Михайловский район 	37541.0	17539.0	20002.0	46.7	53.3
    Городское население - пгт Новошахтинский	8288.0	3940.0	4348.0	47.5	52.5
    Сельское население	29253.0	13599.0	15654.0	46.5	53.5
      с. Михайловка (рц)	9319.0	4310.0	5009.0	46.2	53.8
      с. Ивановка	3084.0	1480.0	1604.0	48.0	52.0
      прочие сельские населенные пункты	16850.0	7809.0	9041.0	46.3	53.7
  Надеждинский район 	40197.0	19303.0	20894.0	48.0	52.0
    Городское население	22389.0	10827.0	11562.0	48.4	51.6
      пгт Новый	5998.0	2763.0	3235.0	46.1	53.9
      пгт Раздольное	7835.0	3972.0	3863.0	50.7	49.3
      пгт Тавричанка	8556.0	4092.0	4464.0	47.8	52.2
    Сельское население	17808.0	8476.0	9332.0	47.6	52.4
      с. Вольно-Надеждинское (рц)	6765.0	3199.0	3566.0	47.3	52.7
      прочие сельские населенные пункты	11043.0	5277.0	5766.0	47.8	52.2
  Октябрьский район 	34367.0	17090.0	17277.0	49.7	50.3
    Городское население - пгт Липовцы	6742.0	3157.0	3585.0	46.8	53.2
    Сельское население	27625.0	13933.0	13692.0	50.4	49.6
      с. Покровка (рц)	10873.0	5265.0	5608.0	48.4	51.6
      с. Галёнки	5356.0	2782.0	2574.0	51.9	48.1
      прочие сельские населенные пункты	11396.0	5886.0	5510.0	51.6	48.4
  Ольгинский район 	12044.0	5888.0	6156.0	48.9	51.1
    Городское население - пгт Ольга (рц)	4453.0	2127.0	2326.0	47.8	52.2
    Сельское население	7591.0	3761.0	3830.0	49.5	50.5
  Партизанский район - сельское население	31666.0	17098.0	14568.0	54.0	46.0
      с. Владимиро-Александровское (рц)	5577.0	2634.0	2943.0	47.2	52.8
      п. Волчанец	4111.0	3374.0	737.0	82.1	17.9
      с. Екатериновка	3642.0	1779.0	1863.0	48.8	51.2
      п. Николаевка	4150.0	2227.0	1923.0	53.7	46.3
      с. Сергеевка	3852.0	1902.0	1950.0	49.4	50.6
      прочие сельские населенные пункты	10334.0	5182.0	5152.0	50.1	49.9
  Пограничный район 	25761.0	14334.0	11427.0	55.6	44.4
    Городское население - пгт Пограничный (рц)	12221.0	6454.0	5767.0	52.8	47.2
    Сельское население	13540.0	7880.0	5660.0	58.2	41.8
      с. Сергеевка	5205.0	3627.0	1578.0	69.7	30.3
      прочие сельские населенные пункты	8335.0	4253.0	4082.0	51.0	49.0
  Пожарский район 	34120.0	16433.0	17687.0	48.2	51.8
    Городское население - пгт Лучегорск (рц)	22365.0	10682.0	11683.0	47.8	52.2
    Сельское население	11755.0	5751.0	6004.0	48.9	51.1
  Спасский район - сельское население	29570.0	14515.0	15055.0	49.1	50.9
      с. Спасское	6185.0	2828.0	3357.0	45.7	54.3
      с. Чкаловское	3694.0	2003.0	1691.0	54.2	45.8
      прочие сельские населенные пункты	19691.0	9684.0	10007.0	49.2	50.8
  Тернейский район 	14487.0	7443.0	7044.0	51.4	48.6
    Городское население	11337.0	5720.0	5617.0	50.5	49.5
      пгт Терней (рц)	3971.0	1992.0	1979.0	50.2	49.8
      пгт Пластун	6230.0	3081.0	3149.0	49.5	50.5
      пгт Светлая	1136.0	647.0	489.0	57.0	43.0
    Сельское население	3150.0	1723.0	1427.0	54.7	45.3
  Уссурийский район - сельское население	26767.0	13317.0	13450.0	49.8	50.2
      с. Воздвиженка	7275.0	3700.0	3575.0	50.9	49.1
      с. Новоникольск	4165.0	1993.0	2172.0	47.9	52.1
      прочие сельские населенные пункты	15327.0	7624.0	7703.0	49.7	50.3
  Ханкайский район - сельское население	28939.0	14987.0	13952.0	51.8	48.2
      с. Камень-Рыболов (рц)	11769.0	6598.0	5171.0	56.1	43.9
      прочие сельские населенные пункты	17170.0	8389.0	8781.0	48.9	51.1
  Хасанский район 	37459.0	19930.0	17529.0	53.2	46.8
    Городское население	27490.0	14396.0	13094.0	52.4	47.6
      пгт Славянка (рц)	15045.0	7273.0	7772.0	48.3	51.7
      пгт Зарубино	3522.0	1784.0	1738.0	50.7	49.3
      пгт Краскино	3451.0	1721.0	1730.0	49.9	50.1
      пгт Посьет	2927.0	1983.0	944.0	67.7	32.3
      пгт Приморский	1750.0	1229.0	521.0	70.2	29.8
      пгт Хасан	795.0	406.0	389.0	51.1	48.9
    Сельское население	9969.0	5534.0	4435.0	55.5	44.5
      с. Барабаш	3691.0	2023.0	1668.0	54.8	45.2
      прочие сельские населенные пункты	6278.0	3511.0	2767.0	55.9	44.1
  Хорольский район 	34555.0	16299.0	18256.0	47.2	52.8
    Городское население - пгт Ярославский	10254.0	4782.0	5472.0	46.6	53.4
    Сельское население	24301.0	11517.0	12784.0	47.4	52.6
      с. Хороль (рц)	11519.0	5264.0	6255.0	45.7	54.3
      прочие сельские населенные пункты	12782.0	6253.0	6529.0	48.9	51.1
  Черниговский район 	39554.0	19376.0	20178.0	49.0	51.0
    Городское население	12229.0	5814.0	6415.0	47.5	52.5
      пгт Реттиховка	2778.0	1375.0	1403.0	49.5	50.5
      пгт Сибирцево	9451.0	4439.0	5012.0	47.0	53.0
    Сельское население	27325.0	13562.0	13763.0	49.6	50.4
      с. Черниговка (рц)	14310.0	6828.0	7482.0	47.7	52.3
