4. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИИ, СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В СОСТАВЕ ФЕДЕРАЛЬНЫХ ОКРУГОВ, РАЙОНОВ, ГОРОДСКИХ ПОСЕЛЕНИЙ, СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ – РАЙОННЫХ ЦЕНТРОВ И СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ С НАСЕЛЕНИЕМ 3 ТЫСЯЧИ И БОЛЕЕ ЧЕЛОВЕК					
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов	
				мужчины	женщины
        Октябрьский 	79991.0	36172.0	43819.0	45.2	54.8
        Фрунзенский 	116607.0	52910.0	63697.0	45.4	54.6
      пгт Энергетик	6029.0	2747.0	3282.0	45.6	54.4
      пгт Юрьевец	11618.0	5364.0	6254.0	46.2	53.8
    Сельское население - п. Лесной	3280.0	1498.0	1782.0	45.7	54.3
  г. Александров	64824.0	28983.0	35841.0	44.7	55.3
  г. Вязники	40398.0	18074.0	22324.0	44.7	55.3
  г. Гусь-Хрустальный с подчиненными его администрации населенными пунктами 	70926.0	31092.0	39834.0	43.8	56.2
    Городское население	70675.0	30992.0	39683.0	43.9	56.1
      г. Гусь-Хрустальный	67121.0	29372.0	37749.0	43.8	56.2
      пгт Гусевский	3554.0	1620.0	1934.0	45.6	54.4
    Сельское население	251.0	100.0	151.0	39.8	60.2
  г. Ковров	155499.0	72361.0	83138.0	46.5	53.5
  г. Кольчугино	47059.0	21062.0	25997.0	44.8	55.2
  г. Муром	126901.0	56743.0	70158.0	44.7	55.3
  г. Собинка с подчиненными его администрации населенными пунктами - городское население	38140.0	16897.0	21243.0	44.3	55.7
      г. Собинка	21054.0	9275.0	11779.0	44.1	55.9
      г. Лакинск	17086.0	7622.0	9464.0	44.6	55.4
  г. Суздаль	11357.0	5112.0	6245.0	45.0	55.0
  г. Радужный	17506.0	8396.0	9110.0	48.0	52.0
  Александровский район 	55207.0	24565.0	30642.0	44.5	55.5
    Городское население	41212.0	18116.0	23096.0	44.0	56.0
      г. Карабаново	16015.0	6981.0	9034.0	43.6	56.4
      г. Струнино	16056.0	6974.0	9082.0	43.4	56.6
      пгт Балакирево	9141.0	4161.0	4980.0	45.5	54.5
    Сельское население	13995.0	6449.0	7546.0	46.1	53.9
  Вязниковский район	50692.0	22673.0	28019.0	44.7	55.3
    Городское население	25313.0	11241.0	14072.0	44.4	55.6
      пгт Лукново	2675.0	1198.0	1477.0	44.8	55.2
      пгт Мстера	5598.0	2518.0	3080.0	45.0	55.0
      пгт Никологоры	6390.0	2836.0	3554.0	44.4	55.6
      пгт Нововязники	5742.0	2509.0	3233.0	43.7	56.3
      пгт Октябрьский	2100.0	937.0	1163.0	44.6	55.4
      пгт Степанцево	2808.0	1243.0	1565.0	44.3	55.7
    Сельское население	25379.0	11432.0	13947.0	45.0	55.0
  Гороховецкий район 	25832.0	11537.0	14295.0	44.7	55.3
    Городское население - г. Гороховец (рц)	14524.0	6508.0	8016.0	44.8	55.2
    Сельское население	11308.0	5029.0	6279.0	44.5	55.5
  Гусь-Хрустальный район 	50813.0	23152.0	27661.0	45.6	54.4
    Городское население	28784.0	13060.0	15724.0	45.4	54.6
      г. Курлово	7433.0	3364.0	4069.0	45.3	54.7
      пгт Анопино	2018.0	899.0	1119.0	44.5	55.5
      пгт Великодворский	2270.0	1036.0	1234.0	45.6	54.4
      пгт Добрятино	1979.0	906.0	1073.0	45.8	54.2
      пгт Золотково	3741.0	1720.0	2021.0	46.0	54.0
      пгт Иванищи	2199.0	1022.0	1177.0	46.5	53.5
      пгт Красное Эхо	2295.0	1035.0	1260.0	45.1	54.9
      пгт Мезиновский	2166.0	940.0	1226.0	43.4	56.6
      пгт Уршельский	4683.0	2138.0	2545.0	45.7	54.3
    Сельское население	22029.0	10092.0	11937.0	45.8	54.2
  Камешковский район 	37961.0	16726.0	21235.0	44.1	55.9
    Городское население	18657.0	8135.0	10522.0	43.6	56.4
      г. Камешково (рц)	14161.0	6217.0	7944.0	43.9	56.1
      пгт Оргтруд	4496.0	1918.0	2578.0	42.7	57.3
    Сельское население	19304.0	8591.0	10713.0	44.5	55.5
  Киржачский район 	45188.0	20651.0	24537.0	45.7	54.3
    Городское население	32937.0	15006.0	17931.0	45.6	54.4
      г. Киржач (рц)	22704.0	10446.0	12258.0	46.0	54.0
      пгт Красный Октябрь	10233.0	4560.0	5673.0	44.6	55.4
    Сельское население	12251.0	5645.0	6606.0	46.1	53.9
  Ковровский район 	31148.0	15762.0	15386.0	50.6	49.4
    Городское население	9177.0	4924.0	4253.0	53.7	46.3
      пгт Красный Маяк	876.0	377.0	499.0	43.0	57.0
      пгт Красный Октябрь	1217.0	546.0	671.0	44.9	55.1
      пгт Мелехово	7084.0	4001.0	3083.0	56.5	43.5
    Сельское население	21971.0	10838.0	11133.0	49.3	50.7
