4. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Городское и сельское население КМН в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
50 – 59	210.0	150.0	122.0	28.0	29.0	17.0	14.0	-	328.0	213.0	184.0	29.0	21.0	62.0	32.0	-
60 – 69	171.0	111.0	96.0	15.0	10.0	39.0	11.0	-	318.0	116.0	97.0	19.0	20.0	154.0	28.0	-
70 и более	66.0	31.0	23.0	8.0	2.0	32.0	1.0	-	199.0	39.0	37.0	2.0	15.0	132.0	12.0	1.0
возраст не указан	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	1.0
Нагайбаки	3360.0	2464.0	2273.0	191.0	629.0	128.0	139.0	-	4199.0	2374.0	2188.0	186.0	641.0	938.0	246.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	146.0	-	-	-	146.0	-	-	-	159.0	1.0	1.0	-	158.0	-	-	-
18 – 19	117.0	6.0	5.0	1.0	111.0	-	-	-	148.0	17.0	12.0	5.0	130.0	-	1.0	-
20 – 29	428.0	191.0	164.0	27.0	219.0	-	18.0	-	488.0	282.0	250.0	32.0	175.0	6.0	25.0	-
30 – 39	561.0	445.0	414.0	31.0	66.0	1.0	49.0	-	520.0	425.0	397.0	28.0	31.0	26.0	38.0	-
40 – 49	910.0	799.0	736.0	63.0	63.0	9.0	39.0	-	947.0	746.0	694.0	52.0	58.0	64.0	79.0	-
50 – 59	433.0	390.0	373.0	17.0	15.0	12.0	16.0	-	532.0	368.0	339.0	29.0	26.0	103.0	35.0	-
60 – 69	453.0	388.0	356.0	32.0	7.0	44.0	14.0	-	692.0	343.0	321.0	22.0	23.0	282.0	44.0	-
70 и более	312.0	245.0	225.0	20.0	2.0	62.0	3.0	-	713.0	192.0	174.0	18.0	40.0	457.0	24.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Нанайцы	3808.0	1907.0	1449.0	458.0	1533.0	134.0	227.0	7.0	4608.0	2439.0	1764.0	675.0	1267.0	523.0	372.0	7.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	298.0	1.0	-	1.0	294.0	-	-	3.0	293.0	8.0	1.0	7.0	282.0	-	-	3.0
18 – 19	219.0	17.0	9.0	8.0	201.0	-	-	1.0	254.0	38.0	12.0	26.0	216.0	-	-	-
20 – 29	968.0	298.0	162.0	136.0	647.0	2.0	21.0	-	1097.0	519.0	294.0	225.0	511.0	10.0	55.0	2.0
30 – 39	777.0	506.0	389.0	117.0	191.0	5.0	74.0	1.0	935.0	657.0	497.0	160.0	123.0	48.0	107.0	-
40 – 49	852.0	595.0	471.0	124.0	142.0	27.0	87.0	1.0	1008.0	693.0	533.0	160.0	77.0	103.0	135.0	-
50 – 59	364.0	266.0	218.0	48.0	38.0	28.0	31.0	1.0	490.0	311.0	249.0	62.0	42.0	87.0	49.0	1.0
60 – 69	237.0	169.0	151.0	18.0	18.0	40.0	10.0	-	325.0	163.0	133.0	30.0	11.0	130.0	21.0	-
